date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Donauwörth.in,Donauwörth.out,Treuchtlingen.in,Treuchtlingen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-05-05,-1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,2.0,0.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0
2024-05-04,-1.0,28.0,27.0,27.0,25.0,26.0,27.0,26.0,24.0,23.0,19.0,19.0,19.0,18.0,13.0,10.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,-1.0,0.0,-1.0
2024-05-03,-1.0,0.0,-1.0,2.0,0.0,7.0,9.0,8.0,8.0,7.0,4.0,5.0,4.0,3.0,5.0,4.0,0.0,0.0,7.0,7.0,8.0,8.0,7.0,3.0,5.0,-1.0,1.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,1.0,6.0,6.0,5.0,4.0,3.0,1.0,7.0,6.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,3.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,10.0,16.0,16.0,11.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,-1.0,3.0,-1.0
2024-04-30,-1.0,2.0,1.0,2.0,5.0,6.0,5.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,-1.0,1.0,-1.0
2024-04-29,-1.0,0.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,7.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2024-04-28,-1.0,2.0,-1.0,4.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,8.0,9.0,5.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-27,-1.0,0.0,1.0,1.0,29.0,30.0,34.0,33.0,33.0,32.0,28.0,28.0,27.0,28.0,24.0,18.0,14.0,14.0,0.0,0.0,12.0,29.0,36.0,36.0,37.0,-1.0,37.0,-1.0
2024-04-26,-1.0,3.0,-1.0,4.0,0.0,1.0,3.0,2.0,5.0,4.0,20.0,22.0,18.0,21.0,16.0,10.0,14.0,16.0,0.0,0.0,14.0,14.0,9.0,8.0,11.0,-1.0,19.0,-1.0
2024-04-25,-1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,6.0,7.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,7.0,7.0,5.0,5.0,4.0,-1.0,2.0,-1.0
2024-04-24,-1.0,1.0,1.0,1.0,8.0,9.0,8.0,7.0,8.0,8.0,5.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,-1.0,9.0,-1.0
2024-04-23,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,6.0,3.0,6.0,5.0,1.0,1.0,5.0,5.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2024-04-22,-1.0,1.0,-1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,6.0,5.0,6.0,-1.0,9.0,-1.0
2024-04-21,-1.0,1.0,0.0,1.0,6.0,8.0,6.0,6.0,7.0,7.0,3.0,5.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,-1.0,2.0,-1.0
2024-04-20,-1.0,10.0,9.0,9.0,10.0,12.0,13.0,13.0,14.0,17.0,12.0,13.0,19.0,18.0,13.0,8.0,5.0,5.0,0.0,0.0,7.0,7.0,2.0,2.0,1.0,-1.0,2.0,-1.0
2024-04-19,-1.0,0.0,6.0,6.0,17.0,18.0,17.0,15.0,16.0,15.0,14.0,11.0,16.0,16.0,12.0,6.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-18,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,27.0,35.0,36.0,43.0,42.0,39.0,32.0,30.0,31.0,0.0,0.0,29.0,29.0,27.0,27.0,26.0,-1.0,26.0,-1.0
2024-04-17,-1.0,0.0,1.0,2.0,3.0,3.0,5.0,4.0,6.0,4.0,5.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,-1.0,6.0,-1.0
2024-04-15,-1.0,1.0,0.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,6.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-14,-1.0,1.0,0.0,1.0,9.0,11.0,10.0,9.0,15.0,14.0,10.0,7.0,14.0,13.0,8.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,117.0,117.0,1.0,-1.0,1.0,-1.0
