date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-16,-1.0,3.0,-1.0,3.0,-1.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,7.0,3.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,8.0,-1.0
2024-05-15,-1.0,16.0,9.0,13.0,19.0,20.0,23.0,24.0,14.0,13.0,20.0,20.0,20.0,19.0,21.0,23.0,18.0,18.0,0.0,0.0,19.0,19.0,18.0,17.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,-1.0
2024-05-14,-1.0,1.0,-1.0,6.0,9.0,9.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,-1.0
2024-05-13,-1.0,1.0,-1.0,2.0,2.0,4.0,0.0,0.0,1.0,41.0,21.0,21.0,20.0,21.0,26.0,28.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,24.0,26.0,29.0,28.0,30.0,32.0,36.0,-1.0
2024-05-12,-1.0,1.0,-1.0,3.0,0.0,1.0,3.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,6.0,5.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,8.0,7.0,7.0,7.0,3.0,-1.0
2024-05-11,-1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,5.0,8.0,15.0,14.0,0.0,0.0,16.0,16.0,17.0,17.0,17.0,19.0,19.0,18.0,17.0,17.0,17.0,-1.0
2024-05-10,-1.0,2.0,-1.0,2.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,16.0,17.0,0.0,0.0,17.0,17.0,17.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,16.0,-1.0
2024-05-09,-1.0,5.0,5.0,7.0,6.0,6.0,-1.0,-1.0,110.0,112.0,110.0,110.0,109.0,109.0,117.0,122.0,126.0,129.0,0.0,0.0,130.0,130.0,130.0,129.0,133.0,134.0,136.0,137.0,135.0,135.0,133.0,-1.0
2024-05-08,-1.0,4.0,-1.0,2.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,6.0,1.0,19.0,0.0,0.0,19.0,19.0,18.0,17.0,17.0,18.0,22.0,22.0,22.0,21.0,21.0,-1.0
2024-05-07,-1.0,2.0,-1.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,5.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,3.0,3.0,2.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,0.0,-1.0
