date,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-03,-1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,-1.0
2024-05-02,-1.0,2.0,9.0,10.0,8.0,9.0,7.0,7.0,-1.0,0.0,6.0,6.0,8.0,5.0,5.0,6.0,4.0,5.0,3.0,2.0,0.0,2.0,1.0,-1.0
2024-05-01,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,3.0,3.0,7.0,5.0,2.0,2.0,0.0,-1.0
2024-04-30,-1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0,12.0,12.0,14.0,14.0,12.0,12.0,14.0,13.0,8.0,-1.0
2024-04-29,-1.0,-1.0,2.0,3.0,1.0,2.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,9.0,9.0,7.0,2.0,2.0,2.0,-1.0
2024-04-28,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-27,-1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,3.0,6.0,6.0,5.0,8.0,5.0,4.0,2.0,2.0,0.0,-1.0
2024-04-26,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,4.0,8.0,8.0,-1.0,-1.0,54.0,53.0,50.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,2.0,4.0,5.0,5.0,6.0,20.0,20.0,25.0,26.0,27.0,-1.0
2024-04-24,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,3.0,11.0,11.0,10.0,11.0,19.0,17.0,14.0,14.0,13.0,-1.0
2024-04-22,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,4.0,9.0,9.0,9.0,10.0,7.0,5.0,2.0,2.0,9.0,-1.0
2024-04-21,-1.0,0.0,1.0,2.0,4.0,5.0,3.0,3.0,-1.0,0.0,5.0,6.0,3.0,1.0,1.0,1.0,-1.0,-1.0,61.0,60.0,62.0,62.0,64.0,-1.0
2024-04-20,-1.0,10.0,11.0,11.0,9.0,11.0,8.0,8.0,-1.0,0.0,6.0,7.0,7.0,6.0,8.0,8.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,-1.0
2024-04-19,-1.0,0.0,3.0,4.0,3.0,4.0,2.0,2.0,-1.0,0.0,1.0,2.0,4.0,3.0,11.0,11.0,9.0,9.0,6.0,5.0,38.0,39.0,37.0,-1.0
2024-04-18,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,-1.0
2024-04-17,-1.0,1.0,1.0,20.0,25.0,25.0,23.0,23.0,-1.0,0.0,20.0,21.0,19.0,13.0,12.0,12.0,11.0,11.0,8.0,7.0,4.0,4.0,5.0,-1.0
2024-04-16,-1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,11.0,-1.0
2024-04-15,-1.0,5.0,7.0,7.0,7.0,7.0,4.0,5.0,-1.0,0.0,3.0,4.0,2.0,2.0,9.0,9.0,10.0,10.0,9.0,8.0,5.0,6.0,3.0,-1.0
2024-04-14,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-12,-1.0,0.0,15.0,18.0,16.0,16.0,13.0,13.0,-1.0,0.0,11.0,12.0,10.0,3.0,6.0,11.0,12.0,13.0,10.0,9.0,4.0,5.0,6.0,-1.0
2024-04-11,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,7.0,6.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,2.0,8.0,9.0,7.0,8.0,3.0,2.0,1.0,1.0,2.0,-1.0
2024-04-09,-1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,-1.0
2024-04-08,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-07,-1.0,2.0,4.0,4.0,2.0,2.0,0.0,1.0,-1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-1.0
2024-04-05,-1.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,4.0,28.0,29.0,27.0,27.0,28.0,28.0,27.0,28.0,23.0,-1.0
2024-04-04,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,17.0,16.0,20.0,20.0,19.0,-1.0
2024-04-03,-1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,4.0,8.0,7.0,6.0,6.0,4.0,2.0,1.0,1.0,0.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,-1.0
2024-04-01,-1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,-1.0
