date,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Elsterwerda.in,Elsterwerda.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,-1.0,-1.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,9.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,-1.0,-1.0,-1.0
2024-05-02,-1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,-1.0,-1.0,-1.0
2024-05-01,-1.0,3.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,-1.0,1.0,1.0,1.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,-1.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,-1.0
2024-04-25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,12.0,-1.0,13.0,12.0,12.0,-1.0
2024-04-23,-1.0,1.0,1.0,1.0,2.0,1.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,4.0,1.0,15.0,14.0,13.0,7.0,8.0,8.0,8.0,2.0,2.0,1.0,0.0,-1.0,0.0,0.0,2.0,-1.0
2024-04-19,-1.0,1.0,14.0,13.0,17.0,16.0,19.0,18.0,19.0,13.0,14.0,15.0,16.0,7.0,9.0,9.0,18.0,11.0,18.0,18.0,18.0,-1.0
2024-04-18,-1.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,7.0,7.0,13.0,-1.0
