date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-17,-1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,0.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0,7.0,1.0,16.0,16.0,0.0,0.0,2.0,-1.0
2024-05-14,-1.0,9.0,8.0,6.0,6.0,6.0,9.0,8.0,7.0,7.0,8.0,10.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-12,-1.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-11,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,57.0,37.0,31.0,29.0,0.0,0.0,28.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-08,-1.0,0.0,6.0,6.0,13.0,8.0,8.0,9.0,6.0,6.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
