date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,10.0,12.0,18.0,18.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,-1.0
2024-05-29,-1.0,0.0,1.0,1.0,6.0,5.0,15.0,22.0,30.0,31.0,31.0,32.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,-1.0
2024-05-28,-1.0,0.0,1.0,1.0,4.0,4.0,9.0,10.0,28.0,30.0,29.0,31.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,-1.0
2024-05-27,-1.0,0.0,4.0,4.0,6.0,5.0,7.0,7.0,3.0,5.0,4.0,3.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,33.0,34.0,35.0,35.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-1.0
2024-05-25,-1.0,0.0,2.0,1.0,1.0,5.0,5.0,10.0,39.0,40.0,38.0,30.0,21.0,20.0,27.0,27.0,25.0,25.0,25.0,25.0,21.0,21.0,22.0,-1.0
2024-05-24,-1.0,0.0,1.0,2.0,5.0,6.0,6.0,7.0,4.0,5.0,2.0,0.0,0.0,0.0,123.0,123.0,123.0,123.0,123.0,122.0,123.0,123.0,112.0,-1.0
2024-05-23,-1.0,0.0,8.0,9.0,15.0,12.0,14.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,109.0,-1.0
2024-05-22,-1.0,1.0,1.0,2.0,2.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,0.0,2.0,3.0,8.0,9.0,12.0,14.0,4.0,5.0,0.0,1.0,0.0,0.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,108.0,-1.0
