date,Pescara_Centrale.in,Pescara_Centrale.out,Giulianova.in,Giulianova.out,San_Benedetto_del_Tronto.in,San_Benedetto_del_Tronto.out,Porto_S._Giorgio_Fermo.in,Porto_S._Giorgio_Fermo.out,Civitanova_Marche.in,Civitanova_Marche.out,Ancona.in,Ancona.out,Senigallia.in,Senigallia.out,Fano.in,Fano.out,Pesaro.in,Pesaro.out,Riccione.in,Riccione.out,Rimini.in,Rimini.out,Riminifiera.in,Riminifiera.out,Cesena.in,Cesena.out,Forlì.in,Forlì.out,Imola.in,Imola.out,Faenza.in,Faenza.out,Bologna_Centrale.in,Bologna_Centrale.out,Modena.in,Modena.out,Reggio_Emilia.in,Reggio_Emilia.out,Parma.in,Parma.out,Fidenza.in,Fidenza.out,Piacenza.in,Piacenza.out,Lodi.in,Lodi.out,Milano_Centrale.in,Milano_Centrale.out
2024-05-30,-1.0,2.0,2.0,4.0,5.0,6.0,2.0,3.0,0.0,1.0,6.0,7.0,5.0,6.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,1.0,5.0,10.0,11.0,12.0,8.0,8.0,1.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,5.0,8.0,8.0,9.0,9.0,13.0,14.0,14.0,-1.0
2024-05-28,-1.0,2.0,3.0,5.0,7.0,12.0,9.0,12.0,10.0,11.0,5.0,6.0,3.0,5.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,-1.0
2024-05-27,-1.0,2.0,3.0,8.0,9.0,11.0,6.0,8.0,1.0,2.0,0.0,5.0,3.0,5.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,5.0,-1.0
2024-05-26,-1.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-25,-1.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,16.0,7.0,9.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,5.0,15.0,17.0,13.0,-1.0
2024-05-24,-1.0,1.0,3.0,5.0,7.0,8.0,4.0,6.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,8.0,-1.0
2024-05-23,-1.0,2.0,7.0,9.0,13.0,14.0,10.0,10.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,12.0,-1.0
2024-05-22,-1.0,2.0,6.0,8.0,10.0,11.0,7.0,8.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,0.0,-1.0
2024-05-21,-1.0,1.0,23.0,27.0,30.0,30.0,27.0,28.0,25.0,30.0,25.0,25.0,24.0,24.0,21.0,22.0,21.0,21.0,16.0,17.0,16.0,19.0,0.0,0.0,13.0,14.0,15.0,16.0,0.0,0.0,15.0,15.0,6.0,7.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,-1.0
