date,Koblenz_Hbf.in,Koblenz_Hbf.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,17.0,18.0,26.0,26.0,31.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,8.0,14.0,15.0,2.0,3.0,0.0,0.0,28.0,28.0,2.0,0.0,15.0,15.0,12.0,0.0
2024-05-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,18.0,17.0,16.0,0.0
2024-05-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,7.0,8.0,8.0,7.0,0.0,0.0,34.0,38.0,37.0,37.0,42.0,37.0,47.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,3.0,3.0,0.0,0.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0
2024-05-03,0.0,4.0,4.0,4.0,3.0,3.0,12.0,11.0,13.0,12.0,0.0,0.0,0.0,0.0,23.0,22.0,23.0,30.0,9.0,10.0,10.0,10.0,0.0,0.0,40.0,41.0,8.0,7.0,67.0,66.0,65.0,0.0
2024-05-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,11.0,11.0,17.0,17.0,17.0,0.0,0.0,30.0,30.0,7.0,6.0,28.0,26.0,28.0,0.0
2024-05-01,0.0,30.0,34.0,34.0,33.0,32.0,31.0,31.0,37.0,38.0,0.0,0.0,0.0,0.0,35.0,35.0,36.0,36.0,7.0,8.0,10.0,9.0,0.0,0.0,43.0,42.0,32.0,32.0,31.0,31.0,28.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,6.0,61.0,62.0,63.0,65.0,0.0,0.0,38.0,44.0,62.0,61.0,34.0,33.0,31.0,0.0
2024-04-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,16.0,17.0,0.0,0.0,13.0,13.0,4.0,3.0,17.0,16.0,0.0,0.0
2024-04-28,0.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,20.0,21.0,13.0,12.0,19.0,19.0,26.0,0.0
2024-04-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,0.0,0.0,21.0,20.0,13.0,13.0,16.0,0.0,23.0,0.0
2024-04-26,0.0,1.0,2.0,1.0,1.0,0.0,11.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,16.0,15.0,16.0,36.0,35.0,0.0,0.0,13.0,14.0,10.0,10.0,13.0,12.0,13.0,0.0
2024-04-25,0.0,3.0,2.0,1.0,1.0,1.0,12.0,12.0,37.0,36.0,0.0,0.0,0.0,0.0,34.0,34.0,36.0,37.0,36.0,35.0,35.0,35.0,0.0,0.0,36.0,35.0,28.0,28.0,28.0,0.0,0.0,0.0
2024-04-24,0.0,2.0,0.0,0.0,0.0,0.0,17.0,17.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,39.0,38.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,8.0,9.0,8.0,7.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,10.0,7.0,14.0,0.0,0.0,22.0,21.0,13.0,13.0,8.0,0.0,0.0,0.0
