date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-26,-1.0,0.0,0.0,4.0,0.0,1.0,4.0,5.0,5.0,8.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,31.0,42.0,42.0,42.0,42.0,41.0,42.0,43.0,-1.0
2024-04-25,-1.0,1.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,5.0,5.0,5.0,7.0,5.0,6.0,3.0,-1.0
2024-04-24,-1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,12.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,-1.0
2024-04-23,-1.0,1.0,7.0,6.0,2.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,23.0,25.0,25.0,27.0,27.0,27.0,28.0,28.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,13.0,13.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,-1.0
2024-04-21,-1.0,39.0,40.0,39.0,48.0,48.0,45.0,46.0,44.0,50.0,0.0,0.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,45.0,-1.0
2024-04-19,-1.0,2.0,3.0,4.0,9.0,10.0,7.0,7.0,4.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,-1.0
2024-04-18,-1.0,2.0,4.0,4.0,1.0,1.0,0.0,3.0,5.0,10.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,12.0,13.0,13.0,13.0,12.0,13.0,10.0,-1.0
2024-04-17,-1.0,0.0,1.0,1.0,2.0,5.0,11.0,12.0,12.0,17.0,0.0,0.0,16.0,16.0,13.0,13.0,-1.0,0.0,20.0,22.0,23.0,28.0,30.0,30.0,31.0,31.0,37.0,38.0,37.0,37.0,40.0,43.0,42.0,-1.0
2024-04-16,-1.0,0.0,9.0,10.0,3.0,3.0,5.0,5.0,10.0,11.0,0.0,0.0,14.0,14.0,11.0,11.0,-1.0,0.0,18.0,19.0,0.0,0.0,21.0,24.0,22.0,23.0,24.0,25.0,24.0,24.0,23.0,24.0,24.0,-1.0
