source,target,sumDelay,numTrains,numDelayedTrains
Darmstadt Hbf,Frankfurt (Main) Hbf,403.0,331,131
Köln Hbf,Köln/Bonn Flughafen,162.0,81,55
Köln/Bonn Flughafen,Siegburg/Bonn,-27.0,160,128
Siegburg/Bonn,Montabaur,-764.0,851,551
Montabaur,Limburg Süd,-728.0,959,525
Limburg Süd,Frankfurt am Main Flughafen Fernbahnhof,2014.0,906,556
Frankfurt am Main Flughafen Fernbahnhof,Frankfurt (Main) Hbf,39.0,1756,1468
Frankfurt (Main) Hbf,Hanau Hbf,706.0,376,302
Hanau Hbf,Aschaffenburg Hbf,90.0,239,227
Aschaffenburg Hbf,Würzburg Hbf,-377.0,742,728
Würzburg Hbf,Nürnberg Hbf,-375.0,1741,1593
Nürnberg Hbf,Ingolstadt Hbf,-506.0,1108,935
Ingolstadt Hbf,München Hbf,775.0,1089,919
Kassel-Wilhelmshöhe,Göttingen,1811.0,1824,1308
Göttingen,Hildesheim Hbf,33.0,667,390
Hildesheim Hbf,Braunschweig Hbf,-121.0,723,417
Braunschweig Hbf,Wolfsburg Hbf,35.0,913,526
Oberstdorf,Fischen,51.0,56,56
Fischen,Sonthofen,199.0,56,56
Sonthofen,Immenstadt,-28.0,56,56
Immenstadt,Kempten (Allgäu) Hbf,-39.0,56,54
Kempten (Allgäu) Hbf,Kaufbeuren,-62.0,55,52
Kaufbeuren,Buchloe,-64.0,55,49
Buchloe,Augsburg Hbf,91.0,56,48
Augsburg Hbf,Donauwörth,491.0,470,434
Donauwörth,Treuchtlingen,83.0,260,231
Treuchtlingen,Ansbach,-455.0,96,96
Ansbach,Würzburg Hbf,250.0,96,96
Würzburg Hbf,Fulda,13.0,863,774
Fulda,Kassel-Wilhelmshöhe,105.0,1551,1118
Göttingen,Hannover Hbf,-703.0,1157,859
Hannover Hbf,Celle,120.0,682,373
Celle,Uelzen,-706.0,655,368
Uelzen,Lüneburg,-18.0,790,470
Lüneburg,Hamburg-Harburg,1274.0,930,589
Hamburg-Harburg,Hamburg Hbf,9701.0,2099,1776
Hamburg Hbf,Hamburg Dammtor,1482.0,1618,1468
Hamburg Dammtor,Hamburg-Altona,-890.0,1365,1186
München Hbf,Ingolstadt Hbf,772.0,1299,1084
Ingolstadt Hbf,Nürnberg Hbf,1337.0,1409,1149
Nürnberg Hbf,Würzburg Hbf,758.0,1799,1616
Würzburg Hbf,Kassel-Wilhelmshöhe,21.0,51,39
Göttingen,Celle,53.0,46,44
Celle,Hannover Hbf,-24.0,611,303
Hannover Hbf,Uelzen,-350.0,102,93
Kassel-Wilhelmshöhe,Düsseldorf Hbf,0.0,22,0
Duisburg Hbf,Essen Hbf,-155.0,2476,1959
Essen Hbf,Eisenach,0.0,40,0
Eisenach,Gotha,-129.0,659,448
Gotha,Bochum Hbf,-1.0,56,20
Bochum Hbf,Erfurt Hbf,0.0,40,0
Erfurt Hbf,Köln Hbf,0.0,6,0
Köln Hbf,Dortmund Hbf,278.0,57,26
Dortmund Hbf,Gera Hbf,0.0,5,0
Gera Hbf,Hermsdorf-Klosterlausnitz,-23.0,98,46
Hermsdorf-Klosterlausnitz,Stadtroda,-1.0,97,52
Stadtroda,Jena-Göschwitz,8.0,134,40
Jena-Göschwitz,Weimar,10.0,57,16
Berlin Ostbahnhof,Berlin Hbf,708.0,842,698
Wolfsburg Hbf,Hannover Hbf,1153.0,1717,1318
Hannover Hbf,Nienburg (Weser),404.0,302,276
Nienburg (Weser),Verden (Aller),-64.0,297,230
Verden (Aller),Hamburg-Harburg,-461.0,57,38
Hamburg-Harburg,Bremen Hbf,2794.0,700,629
Bremen Hbf,Delmenhorst,47.0,378,341
Delmenhorst,Oldenburg (Oldb) Hbf,233.0,60,49
Hamburg Hbf,Hamburg-Harburg,-7914.0,2011,1481
Hamburg-Harburg,Hannover Hbf,6094.0,659,502
Hannover Hbf,Göttingen,269.0,1498,1168
Fulda,Würzburg Hbf,-77.0,947,853
Treuchtlingen,Nürnberg Hbf,-16.0,155,130
Nürnberg Hbf,Erlangen,553.0,459,421
Erlangen,Bamberg,592.0,423,366
Bamberg,Coburg,44.0,105,93
Coburg,Erfurt Hbf,-92.0,154,144
Erfurt Hbf,Leipzig Hbf,-1555.0,1147,928
Köln Hbf,Siegburg/Bonn,1055.0,624,450
Frankfurt (Main) Hbf,Friedberg (Hess),-53.0,90,39
Friedberg (Hess),Gießen,64.0,148,33
Gießen,Marburg (Lahn),5.0,153,33
Marburg (Lahn),Treysa,33.0,154,33
Treysa,Wabern (Bz Kassel),-57.0,105,32
Wabern (Bz Kassel),Kassel-Wilhelmshöhe,58.0,91,20
Hamburg-Altona,Hamburg Dammtor,169.0,1123,675
Hamburg Dammtor,Hamburg Hbf,-3.0,1097,688
Hamburg Hbf,Ludwigslust,-455.0,488,379
Ludwigslust,Berlin-Spandau,-61.0,205,172
Berlin Hbf,Berlin Südkreuz,67.0,2328,2006
Hannover Hbf,Braunschweig Hbf,211.0,441,390
Wolfsburg Hbf,Stendal Hbf,65.0,613,486
Stendal Hbf,Berlin-Spandau,-1133.0,600,491
Hannover Hbf,Hamburg-Harburg,-2083.0,681,444
Ostseebad Binz,Bergen auf Rügen,50.0,434,142
Bergen auf Rügen,Stralsund Hbf,54.0,393,165
Stralsund Hbf,Greifswald,39.0,276,135
Greifswald,Ribnitz-Damgarten West,-118.0,110,52
Ribnitz-Damgarten West,Züssow,67.0,110,14
Züssow,Anklam,-46.0,330,100
Anklam,Pasewalk,328.0,332,160
Pasewalk,Neustrelitz Hbf,-177.0,57,56
Neustrelitz Hbf,Prenzlau,186.0,57,56
Prenzlau,Angermünde,-103.0,315,164
Angermünde,Eberswalde Hbf,-201.0,274,208
Eberswalde Hbf,Berlin Gesundbrunnen,51.0,268,164
Berlin Gesundbrunnen,Berlin Hbf,1040.0,760,574
Hamburg-Harburg,Lüneburg,2043.0,865,533
Lüneburg,Uelzen,157.0,675,394
Uelzen,Celle,-553.0,659,317
Magdeburg Hbf,Helmstedt,78.0,289,253
Helmstedt,Braunschweig Hbf,-88.0,343,236
Nienburg (Weser),Minden (Westf),-244.0,49,34
Minden (Westf),Verden (Aller),982.0,186,154
Verden (Aller),Bremen Hbf,725.0,288,253
Delmenhorst,Hude,32.0,321,260
Hude,Oldenburg (Oldb) Hbf,-67.0,332,274
Oldenburg (Oldb) Hbf,Bad Zwischenahn,71.0,274,251
Bad Zwischenahn,Westerstede-Ocholt,-173.0,335,293
Westerstede-Ocholt,Augustfehn,-141.0,336,271
Augustfehn,Leer (Ostfriesl),50.0,290,251
Hamburg Hbf,Berlin-Spandau,841.0,529,397
Berlin Südkreuz,Leipzig Hbf,35.0,522,456
Leipzig Hbf,Erfurt Hbf,399.0,845,668
Erfurt Hbf,Würzburg Hbf,-169.0,20,11
Würzburg Hbf,Bamberg,103.0,50,4
Bamberg,Augsburg Hbf,-105.0,50,6
Augsburg Hbf,Erlangen,120.0,50,5
Erlangen,Nürnberg Hbf,1539.0,573,477
Berlin Hbf,Berlin Zoologischer Garten,-734.0,298,259
Berlin Zoologischer Garten,Berlin-Spandau,475.0,287,148
Berlin-Spandau,Wolfsburg Hbf,-444.0,1638,1241
Hannover Hbf,Minden (Westf),30.0,840,772
Minden (Westf),Bielefeld Hbf,1886.0,535,527
Bielefeld Hbf,Hagen Hbf,1591.0,363,360
Hagen Hbf,Wuppertal Hbf,3487.0,1354,1048
Wuppertal Hbf,Köln Hbf,998.0,552,542
Köln Hbf,Bonn Hbf,1171.0,664,555
München Hbf,Augsburg Hbf,93.0,111,94
Augsburg Hbf,Esslingen (Neckar),-672.0,164,122
Esslingen (Neckar),Ulm Hbf,2430.0,373,303
Ulm Hbf,Stuttgart Hbf,653.0,717,670
Mannheim Hbf,Limburg Süd,-243.0,57,52
Frankfurt am Main Flughafen Fernbahnhof,Siegburg/Bonn,-1958.0,593,585
Siegburg/Bonn,Köln Messe/Deutz,1362.0,844,761
Köln Messe/Deutz,Düsseldorf Hbf,848.0,999,901
Düsseldorf Hbf,Duisburg Hbf,2419.0,1866,1580
Essen Hbf,Bochum Hbf,-345.0,1879,1490
Bochum Hbf,Dortmund Hbf,624.0,1764,1511
Augsburg Hbf,Ulm Hbf,253.0,1195,999
Mannheim Hbf,Frankfurt am Main Flughafen Fernbahnhof,4991.0,1007,993
Kassel-Wilhelmshöhe,Wabern (Bz Kassel),145.0,247,54
