source,target,maxDelay,minDelay,stdDev,connections,pureDelay,punctuality,avgDelay
Berlin-Spandau,Stendal Hbf,99.0,-22.0,19.92262,14.0,-0.56182,0.41349,-0.32952
Stendal Hbf,Wolfsburg Hbf,33.0,-38.0,13.45522,13.0,-0.0271,0.49243,-0.01376
Wolfsburg Hbf,Braunschweig Hbf,89.0,-25.0,24.89865,14.0,1.87895,0.52441,0.89362
Braunschweig Hbf,Hildesheim Hbf,18.0,-3.0,6.8172,11.0,2.13761,0.48986,1.09048
Hildesheim Hbf,Göttingen,40.0,-63.0,12.91317,13.0,-1.18367,0.54083,-0.54351
Göttingen,Kassel-Wilhelmshöhe,197.0,-69.0,69.53998,46.0,3.49053,0.5423,1.59761
Kassel-Wilhelmshöhe,Fulda,56.0,-119.0,38.55348,27.0,-1.84762,0.36789,-1.16789
München Hbf,Nürnberg Hbf,133.0,-23.0,44.27596,37.0,2.94892,0.25469,2.19786
Nürnberg Hbf,Erfurt Hbf,327.0,-94.0,54.41926,15.0,1.49844,0.14628,1.27926
Erfurt Hbf,Halle (Saale) Hbf,55.0,-93.0,32.71698,22.0,-1.46942,0.36438,-0.934
Halle (Saale) Hbf,Berlin Südkreuz,104.0,-107.0,41.55593,22.0,1.87116,0.23715,1.42741
Berlin Hbf,Berlin Gesundbrunnen,74.0,-41.0,36.03261,20.0,1.00149,0.4048,0.59609
München Hbf,München-Pasing,56.0,-60.0,23.63025,38.0,-1.83303,0.48656,-0.94115
München-Pasing,Augsburg Hbf,69.0,-10.0,31.98747,39.0,1.56904,0.27285,1.14093
Augsburg Hbf,Günzburg,16.0,-31.0,9.2808,4.0,0.19876,0.29386,0.14035
Günzburg,Ulm Hbf,29.0,-16.0,6.31847,4.0,1.35036,0.39912,0.8114
Ulm Hbf,Esslingen (Neckar),12.0,-128.0,39.92379,17.0,-5.49418,0.21283,-4.32485
Stuttgart Hbf,Mannheim Hbf,72.0,-145.0,36.69349,34.0,0.37475,0.23778,0.28564
Mannheim Hbf,Heidelberg Hbf,116.0,-117.0,69.18988,19.0,-6.76606,0.41522,-3.95665
Heidelberg Hbf,Bensheim,23.0,-15.0,7.28098,6.0,3.18072,0.63755,1.15284
Bensheim,Darmstadt Hbf,163.0,-4.0,26.43482,12.0,1.61654,0.72349,0.44699
Darmstadt Hbf,Frankfurt (Main) Hbf,44.0,-46.0,16.09141,11.0,4.43636,0.59854,1.78102
Köln Hbf,Köln/Bonn Flughafen,35.0,-11.0,7.65355,2.0,4.07812,0.46218,2.19328
Köln/Bonn Flughafen,Siegburg/Bonn,12.0,-5.0,3.16721,3.0,-0.25,0.48538,-0.12865
Siegburg/Bonn,Montabaur,50.0,-40.0,14.72753,16.0,-1.54343,0.45545,-0.84048
Montabaur,Limburg Süd,12.0,-105.0,17.13498,21.0,-1.71503,0.5207,-0.82202
Limburg Süd,Frankfurt am Main Flughafen Fernbahnhof,104.0,-12.0,36.15766,17.0,4.80824,0.43003,2.74055
Frankfurt am Main Flughafen Fernbahnhof,Frankfurt (Main) Hbf,164.0,-78.0,47.11362,43.0,0.41447,0.3703,0.26099
Frankfurt (Main) Hbf,Hanau Hbf,65.0,-92.0,26.91814,9.0,-0.0731,0.28151,-0.05252
Hanau Hbf,Aschaffenburg Hbf,130.0,-81.0,35.41506,6.0,5.11765,0.19499,4.11978
Aschaffenburg Hbf,Würzburg Hbf,148.0,-39.0,40.2096,17.0,0.10192,0.17751,0.08383
Würzburg Hbf,Nürnberg Hbf,107.0,-46.0,40.1944,39.0,-0.03201,0.24788,-0.02407
Nürnberg Hbf,Ingolstadt Hbf,55.0,-106.0,43.61854,26.0,-1.48343,0.25971,-1.09816
Ingolstadt Hbf,München Hbf,156.0,-53.0,42.66655,25.0,2.21571,0.29601,1.55983
Kassel-Wilhelmshöhe,Göttingen,284.0,-185.0,62.37909,50.0,1.28431,0.45346,0.70192
Göttingen,Hildesheim Hbf,32.0,-89.0,15.67398,15.0,-0.17486,0.57883,-0.07365
Hildesheim Hbf,Braunschweig Hbf,84.0,-6.0,15.60967,16.0,-0.17413,0.56728,-0.07535
Braunschweig Hbf,Wolfsburg Hbf,88.0,-84.0,28.54268,20.0,-0.36852,0.53408,-0.1717
Oberstdorf,Fischen,8.0,-2.0,1.81254,2.0,0.91176,0.43333,0.51667
Fischen,Sonthofen,11.0,0.0,3.52024,2.0,4.1913,0.04167,4.01667
Sonthofen,Immenstadt,57.0,-3.0,7.87383,2.0,0.10526,0.20833,0.08333
Immenstadt,Kempten (Allgäu) Hbf,15.0,-4.0,2.93407,2.0,0.03659,0.31667,0.025
Kempten (Allgäu) Hbf,Kaufbeuren,8.0,-10.0,2.61871,1.0,-1.44444,0.1,-1.3
Kaufbeuren,Buchloe,24.0,-3.0,3.33493,1.0,-0.91489,0.21667,-0.71667
Buchloe,Augsburg Hbf,14.0,-5.0,4.18833,1.0,2.06977,0.28333,1.48333
Augsburg Hbf,Donauwörth,34.0,-7.0,9.82468,9.0,1.37805,0.21154,1.08654
Donauwörth,Treuchtlingen,37.0,-35.0,11.47298,5.0,0.31878,0.18794,0.25887
Treuchtlingen,Ansbach,4.0,-16.0,4.5896,2.0,-5.06897,0.03333,-4.9
Ansbach,Würzburg Hbf,20.0,-3.0,5.76469,2.0,3.20755,0.11667,2.83333
Würzburg Hbf,Fulda,61.0,-13.0,22.123,18.0,-0.08712,0.21584,-0.06832
Fulda,Kassel-Wilhelmshöhe,168.0,-152.0,58.84874,34.0,-0.48403,0.3624,-0.30862
Göttingen,Hannover Hbf,105.0,-19.0,37.60084,32.0,0.10835,0.40176,0.06482
Hannover Hbf,Celle,133.0,-76.0,65.95938,20.0,2.70905,0.58645,1.12032
Celle,Uelzen,123.0,-114.0,38.35551,19.0,-1.022,0.53681,-0.47339
Uelzen,Lüneburg,160.0,-127.0,33.09149,19.0,-0.61307,0.54824,-0.27696
Lüneburg,Hamburg-Harburg,125.0,-123.0,52.65597,22.0,2.61728,0.46459,1.40132
Hamburg-Harburg,Hamburg Hbf,175.0,-221.0,90.70654,56.0,4.70204,0.26377,3.46177
Hamburg Hbf,Hamburg Dammtor,97.0,-300.0,69.86374,41.0,-0.13388,0.39282,-0.08129
Hamburg Dammtor,Hamburg-Altona,94.0,-285.0,66.65303,34.0,-2.35274,0.35255,-1.52328
München Hbf,Ingolstadt Hbf,82.0,-57.0,26.22379,27.0,0.75506,0.32222,0.51176
Ingolstadt Hbf,Nürnberg Hbf,94.0,-61.0,41.27617,30.0,2.04362,0.29592,1.43887
Nürnberg Hbf,Würzburg Hbf,220.0,-56.0,47.29988,39.0,0.7467,0.23857,0.56856
Würzburg Hbf,Kassel-Wilhelmshöhe,207.0,-57.0,39.37629,1.0,-0.76744,0.27119,-0.55932
Göttingen,Celle,242.0,-129.0,48.66043,1.0,12.62745,0.13559,10.91525
Celle,Hannover Hbf,62.0,-103.0,23.60807,16.0,-0.02903,0.53101,-0.01362
Hannover Hbf,Uelzen,20.0,-160.0,22.31661,1.0,-6.65854,0.30508,-4.62712
Kassel-Wilhelmshöhe,Düsseldorf Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
