source,target,maxDelay,minDelay,stdDev,connections,pureDelay,punctuality,avgDelay
Hamburg-Harburg,Lüneburg,111.0,-95.0,41.29424,24.0,3.71453,0.47674,1.94365
Lüneburg,Uelzen,107.0,-109.0,28.80885,17.0,0.45378,0.54113,0.20823
Uelzen,Celle,19.0,-107.0,19.18501,17.0,-2.3872,0.53475,-1.11064
Leipzig Hbf,Halle (Saale) Hbf,107.0,-140.0,51.02505,26.0,3.05023,0.42969,1.73958
Halle (Saale) Hbf,Köthen,13.0,-11.0,5.58648,12.0,0.22,0.37413,0.13769
Köthen,Magdeburg Hbf,46.0,-8.0,10.99168,12.0,0.88956,0.30737,0.61613
Magdeburg Hbf,Helmstedt,39.0,-25.0,11.27045,7.0,0.31834,0.31026,0.21957
Helmstedt,Braunschweig Hbf,80.0,-5.0,12.38407,8.0,-0.43581,0.37553,-0.27215
Braunschweig Hbf,Hannover Hbf,48.0,-80.0,19.46657,10.0,1.0575,0.33222,0.70618
Nienburg (Weser),Minden (Westf),1.0,-51.0,11.16972,1.0,-8.04878,0.31667,-5.5
Minden (Westf),Verden (Aller),80.0,-9.0,17.41655,3.0,7.3037,0.25,5.47778
Verden (Aller),Bremen Hbf,76.0,-55.0,23.99208,9.0,3.14763,0.24895,2.36402
Delmenhorst,Hude,18.0,-9.0,4.31322,9.0,0.30233,0.59662,0.12195
Hude,Oldenburg (Oldb) Hbf,17.0,-4.0,4.74779,9.0,-0.56647,0.35084,-0.36773
Oldenburg (Oldb) Hbf,Bad Zwischenahn,45.0,-33.0,9.22213,8.0,0.78261,0.51883,0.37657
Bad Zwischenahn,Westerstede-Ocholt,10.0,-15.0,4.11036,9.0,-0.69876,0.39587,-0.42214
Westerstede-Ocholt,Augustfehn,33.0,-4.0,5.32171,9.0,-0.57492,0.38649,-0.35272
Augustfehn,Leer (Ostfriesl),160.0,-7.0,24.79715,8.0,1.03188,0.27061,0.75264
Hamburg Hbf,Büchen,97.0,-59.0,28.02349,12.0,-2.16777,0.30308,-1.51077
Büchen,Ludwigslust,38.0,-4.0,6.41553,12.0,0.73373,0.74,0.19077
Wittenberge,Berlin-Spandau,131.0,-10.0,55.58675,15.0,5.71429,0.23253,4.38554
Berlin Südkreuz,Lutherstadt Wittenberg Hauptbahnhof,69.0,-49.0,24.94926,15.0,0.56207,0.28659,0.40098
Lutherstadt Wittenberg Hauptbahnhof,Leipzig Hbf,53.0,-6.0,18.76945,13.0,-0.01542,0.35511,-0.00994
Leipzig Hbf,Erfurt Hbf,274.0,-124.0,52.69414,19.0,-0.25332,0.30056,-0.17718
Erfurt Hbf,Würzburg Hbf,0.0,-132.0,21.22047,1.0,-29.0,0.78333,-6.28333
Würzburg Hbf,Bamberg,243.0,0.0,33.16829,1.0,70.0,0.9,7.0
Bamberg,Augsburg Hbf,0.0,-243.0,33.11024,1.0,-52.625,0.86667,-7.01667
Augsburg Hbf,Erlangen,243.0,0.0,33.29013,1.0,62.28571,0.88333,7.26667
Erlangen,Nürnberg Hbf,264.0,-6.0,63.58126,17.0,4.744,0.36094,3.0317
Berlin Hbf,Berlin Zoologischer Garten,19.0,-75.0,14.16623,7.0,-3.22778,0.13876,-2.7799
Berlin Zoologischer Garten,Berlin-Spandau,75.0,-10.0,12.95622,7.0,3.82353,0.55263,1.71053
Berlin-Spandau,Wolfsburg Hbf,50.0,-33.0,30.35446,31.0,-0.24855,0.32225,-0.16845
Hannover Hbf,Minden (Westf),82.0,-164.0,51.54724,20.0,0.45961,0.2117,0.36231
Minden (Westf),Bielefeld Hbf,164.0,-72.0,47.3096,10.0,3.89634,0.15464,3.29381
Wuppertal Hbf,Köln Hbf,60.0,-82.0,28.8274,11.0,2.89432,0.14548,2.47324
Köln Hbf,Bonn Hbf,60.0,-83.0,29.40483,17.0,1.35223,0.41858,0.78621
München Hbf,Augsburg Hbf,23.0,-6.0,5.02292,3.0,0.96512,0.51412,0.46893
Augsburg Hbf,Ulm Hbf,128.0,-12.0,30.27687,28.0,0.25661,0.30258,0.17897
Mannheim Hbf,Frankfurt am Main Flughafen Fernbahnhof,121.0,-44.0,41.11883,22.0,5.15398,0.11189,4.57731
Frankfurt am Main Flughafen Fernbahnhof,Limburg Süd,24.0,-208.0,58.97465,15.0,-11.38108,0.09512,-10.29845
Limburg Süd,Siegburg/Bonn,106.0,-5.0,36.13554,3.0,21.9883,0.03933,21.1236
Siegburg/Bonn,Köln Messe/Deutz,123.0,-62.0,35.61814,15.0,1.4844,0.18818,1.20507
Köln Messe/Deutz,Düsseldorf Hbf,63.0,-125.0,45.9035,23.0,1.28894,0.2617,0.95163
Düsseldorf Hbf,Duisburg Hbf,67.0,-349.0,56.75862,47.0,1.84052,0.3811,1.1391
Essen Hbf,Bochum Hbf,79.0,-210.0,39.63572,43.0,-0.65767,0.43499,-0.37159
Bochum Hbf,Dortmund Hbf,210.0,-37.0,50.9262,39.0,1.28591,0.3479,0.83854
Limburg Süd,Montabaur,20.0,-28.0,5.71459,12.0,-1.26877,0.59968,-0.50791
Montabaur,Siegburg/Bonn,156.0,-48.0,43.69186,16.0,5.36344,0.46901,2.84795
Bruchsal,Wiesloch-Walldorf,7.0,-2.0,2.24673,5.0,0.96226,0.77056,0.22078
Wiesloch-Walldorf,Heidelberg Hbf,43.0,-7.0,8.99664,11.0,0.97283,0.59649,0.39254
Heidelberg Hbf,Neu-Edingen/Friedrichsfeld,0.0,-31.0,6.79219,2.0,-5.8,0.86111,-0.80556
Neu-Edingen/Friedrichsfeld,Bensheim,34.0,0.0,7.56783,2.0,5.71429,0.80556,1.11111
Friedberg (Hess),Göttingen,22.0,-18.0,7.76101,1.0,-0.7,0.52381,-0.33333
Hannover Hbf,Gießen,77.0,0.0,16.96355,1.0,12.2,0.52381,5.80952
Treysa,Kassel-Wilhelmshöhe,49.0,-8.0,8.8337,2.0,2.625,0.80247,0.51852
Kassel-Wilhelmshöhe,Wabern (Bz Kassel),21.0,-35.0,10.59492,8.0,2.5,0.90741,0.23148
Wabern (Bz Kassel),Treysa,14.0,-2.0,4.50124,8.0,0.96,0.92284,0.07407
Treysa,Marburg (Lahn),18.0,-5.0,6.52597,9.0,-0.54545,0.87283,-0.06936
Marburg (Lahn),Gießen,25.0,-16.0,8.51328,9.0,0.3,0.88439,0.03468
Gießen,Friedberg (Hess),4.0,-3.0,2.35697,9.0,-1.28205,0.88728,-0.14451
Friedberg (Hess),Frankfurt (Main) Hbf,51.0,-6.0,9.02742,7.0,2.5,0.90909,0.22727
Berlin Südkreuz,Berlin Ostbahnhof,64.0,-317.0,45.16455,3.0,-11.15663,0.45395,-6.09211
Stuttgart Hbf,Heidelberg Hbf,30.0,-126.0,18.84764,3.0,-3.65421,0.40556,-2.17222
Heidelberg Hbf,Mannheim Hbf,117.0,-43.0,25.51858,15.0,2.62611,0.40682,1.55774
Mannheim Hbf,Mainz Hbf,133.0,-22.0,24.7549,11.0,3.72468,0.26527,2.73664
Mainz Hbf,Bingen (Rhein) Hbf,70.0,-89.0,16.91395,6.0,1.49091,0.45902,0.80656
Bingen (Rhein) Hbf,Koblenz Hbf,106.0,-5.0,21.61161,5.0,1.61749,0.268,1.184
Koblenz Hbf,Köln Messe/Deutz,90.0,-77.0,31.57031,6.0,-7.25229,0.39444,-4.39167
Köln Messe/Deutz,Andernach,122.0,-60.0,37.03451,6.0,8.67582,0.37884,5.38908
Andernach,Remagen,20.0,-2.0,6.12669,7.0,0.44565,0.74011,0.11582
Remagen,Bonn Hbf,57.0,-40.0,14.48878,10.0,1.03404,0.55993,0.45506
Bonn Hbf,Köln Hbf,173.0,-18.0,46.76329,23.0,5.859,0.4658,3.12987
Köln Hbf,Wuppertal Hbf,58.0,-28.0,21.60425,10.0,3.37901,0.17782,2.77817
Hagen Hbf,Berlin Zoologischer Garten,0.0,-66.0,16.15693,1.0,-18.34483,0.03333,-17.73333
Berlin Zoologischer Garten,Bielefeld Hbf,65.0,0.0,16.33473,1.0,18.01887,0.11667,15.91667
Hannover Hbf,Berlin-Spandau,138.0,-94.0,57.44322,11.0,-1.81738,0.14286,-1.55775
Dortmund Hbf,Hamm (Westf) Hbf,150.0,-55.0,48.84183,36.0,3.00899,0.28909,2.13913
Bielefeld Hbf,Minden (Westf),133.0,-111.0,47.23579,8.0,-0.8087,0.27975,-0.58246
Minden (Westf),Hannover Hbf,126.0,-133.0,49.52371,14.0,2.55026,0.24647,1.92169
Frankfurt (Main) Hbf,Mannheim Hbf,181.0,-38.0,41.9374,11.0,5.5,0.30964,3.79695
Mannheim Hbf,Karlsruhe Hbf,190.0,-3.0,35.56514,4.0,17.78626,0.28022,12.8022
Karlsruhe Hbf,Baden-Baden,65.0,-34.0,21.37663,5.0,5.74324,0.65581,1.97674
Baden-Baden,Offenburg,25.0,-56.0,20.93725,4.0,0.27907,0.72436,0.07692
Offenburg,Freiburg (Breisgau) Hbf,9.0,-4.0,2.80362,1.0,0.2,0.41176,0.11765
Emden Hbf,Marienhafe,32.0,-21.0,7.61477,4.0,0.00735,0.42857,0.0042
Marienhafe,Norden,11.0,-38.0,6.90576,4.0,-1.25217,0.51681,-0.60504
Halle (Saale) Hbf,Köln Messe/Deutz,0.0,-1.0,0.25156,1.0,-1.0,0.93333,-0.06667
Bonn-Beuel,Köthen,3.0,0.0,0.43957,1.0,1.5,0.93333,0.1
Köthen,Bonn Hbf,0.0,-2.0,0.33404,1.0,-1.25,0.93333,-0.08333
Bonn Hbf,Koblenz Hbf,94.0,-23.0,38.33876,11.0,5.77053,0.37082,3.6307
Koblenz Hbf,Mainz Hbf,99.0,-74.0,27.00016,12.0,-0.48565,0.41783,-0.28273
Mainz Hbf,Frankfurt am Main Flughafen Fernbahnhof,66.0,-89.0,16.77824,10.0,0.78662,0.46599,0.42007
Frankfurt (Main) Hbf,Magdeburg Hbf,3.0,0.0,0.40616,1.0,2.0,0.96667,0.06667
Minden (Westf),Bad Oeynhausen,18.0,-37.0,7.10963,7.0,-0.67138,0.32619,-0.45238
Bad Oeynhausen,Herford,12.0,-5.0,4.00861,7.0,0.57944,0.49048,0.29524
Bielefeld Hbf,Gütersloh Hbf,15.0,-138.0,32.10413,10.0,-2.675,0.22807,-2.06491
Gütersloh Hbf,Hamm (Westf) Hbf,139.0,-8.0,47.36849,11.0,4.52099,0.35714,2.90635
Dortmund Hbf,Hagen Hbf,161.0,-144.0,46.23015,20.0,1.72891,0.24979,1.29705
Wuppertal Hbf,Solingen Hbf,40.0,-47.0,13.72059,11.0,-0.53286,0.34962,-0.34656
Stuttgart Hbf,Chemnitz Hbf,0.0,-11.0,1.86151,1.0,-2.14815,0.54237,-0.98305
Chemnitz Hbf,Schorndorf,16.0,0.0,2.76754,1.0,3.45833,0.59322,1.40678
Schorndorf,Schwäbisch Gmünd,7.0,-2.0,2.48397,2.0,-0.43836,0.38655,-0.26891
Ellwangen,Dresden Hbf,0.0,-21.0,3.87947,1.0,-3.5,0.38983,-2.13559
Dresden Hbf,Crailsheim,20.0,0.0,3.78491,1.0,3.60526,0.35593,2.32203
Ostseebad Binz,Hamburg Dammtor,32.0,-3.0,5.02971,1.0,11.0,0.91667,0.91667
Hamburg Dammtor,Bergen auf Rügen,2.0,-33.0,5.12695,1.0,-8.14286,0.88333,-0.95
Stralsund Hbf,Velgast,12.0,-3.0,2.63997,10.0,-0.4188,0.73826,-0.10962
Velgast,Ribnitz-Damgarten West,10.0,-3.0,2.68581,10.0,-0.31461,0.80089,-0.06264
Ribnitz-Damgarten West,Rostock Hbf,40.0,-14.0,8.49786,9.0,0.71795,0.72727,0.1958
Rostock Hbf,Hamburg-Harburg,11.0,-43.0,6.19593,1.0,-6.77778,0.85,-1.01667
Hamburg-Harburg,Recklinghausen Hbf,59.0,0.0,15.20774,1.0,16.81818,0.45,9.25
Recklinghausen Hbf,Essen Hbf,189.0,-101.0,35.18655,6.0,3.53012,0.46104,1.9026
Essen Hbf,Köln Messe/Deutz,29.0,-190.0,34.81888,3.0,-14.90566,0.40782,-8.82682
Köln Messe/Deutz,Duisburg Hbf,190.0,-58.0,35.52861,3.0,11.69444,0.19553,9.40782
Düsseldorf Hbf,Bützow,11.0,-188.0,28.22338,1.0,-20.64444,0.25,-15.48333
Bützow,Schwerin Hbf,52.0,-113.0,16.66854,6.0,-1.0,0.77606,-0.22394
Schwerin Hbf,Hamburg-Altona,0.0,-53.0,8.67368,1.0,-14.0,0.81667,-2.56667
Hamburg-Altona,Bonn-Beuel,38.0,-25.0,7.46245,1.0,-3.6,0.66667,-1.2
Bonn-Beuel,Hamburg Hbf,61.0,-42.0,13.3461,1.0,12.54167,0.6,5.01667
Hamburg Hbf,Solingen Hbf,28.0,-59.0,14.1547,1.0,-6.51351,0.38333,-4.01667
Aschaffenburg Hbf,Fürth (Bay) Hbf,87.0,-108.0,31.1244,1.0,-30.98,0.16667,-25.81667
Fürth (Bay) Hbf,Würzburg Hbf,112.0,-10.0,28.69644,1.0,35.1875,0.2,28.15
Dortmund Hbf,Köln Hbf,169.0,-22.0,27.77604,3.0,9.39286,0.68715,2.93855
Essen Hbf,Solingen Hbf,103.0,-175.0,44.4417,6.0,-9.74153,0.33144,-6.51275
Solingen Hbf,Münster (Westf) Hbf,201.0,-17.0,59.35735,5.0,20.46275,0.14716,17.45151
Münster (Westf) Hbf,Hamburg-Harburg,115.0,-18.0,28.26432,4.0,-0.8134,0.12552,-0.7113
Hamburg Dammtor,Itzehoe,85.0,-56.0,19.96799,6.0,0.5,0.4106,0.2947
Itzehoe,Heide (Holst),20.0,-13.0,10.27034,7.0,4.30667,0.37845,2.6768
Heide (Holst),Husum,70.0,-3.0,13.42832,7.0,2.11399,0.46685,1.12707
Husum,Niebüll,100.0,-64.0,17.99649,7.0,1.68246,0.41713,0.98066
Stuttgart Hbf,Vaihingen (Enz),55.0,-53.0,17.29138,17.0,-0.34629,0.38811,-0.21189
Vaihingen (Enz),Bruchsal,20.0,-14.0,5.2228,1.0,4.40909,0.25424,3.28814
Bruchsal,Karlsruhe Hbf,28.0,-9.0,8.18705,7.0,0.425,0.42446,0.2446
Frankfurt (Main) Hbf,Fulda,326.0,-176.0,71.23271,18.0,-5.76432,0.24484,-4.353
Fulda,Bad Hersfeld,17.0,-24.0,7.9499,8.0,0.9083,0.47477,0.47706
Bad Hersfeld,Eisenach,91.0,-17.0,20.77657,8.0,2.74583,0.44954,1.51147
Gotha,Erfurt Hbf,83.0,-11.0,29.42039,14.0,0.58135,0.30584,0.40355
Leipzig Hbf,Riesa,80.0,-70.0,21.1259,16.0,-0.1945,0.34258,-0.12786
Riesa,Dresden-Neustadt,21.0,-80.0,15.08928,14.0,0.84821,0.25033,0.63588
Dresden-Neustadt,Dresden Hbf,52.0,-215.0,39.10999,23.0,-0.82644,0.39791,-0.49759
Köln Hbf,Köln Messe/Deutz,180.0,-202.0,63.25272,9.0,-1.1284,0.22265,-0.87716
Köln Messe/Deutz,Solingen Hbf,79.0,-106.0,39.17008,8.0,8.43983,0.4806,4.38362
Solingen Hbf,Düsseldorf Hbf,97.0,-201.0,82.59599,18.0,-10.12956,0.19526,-8.15166
Düsseldorf Flughafen,Wuppertal Hbf,59.0,-92.0,22.33108,2.0,-8.92982,0.45714,-4.84762
Wuppertal Hbf,Duisburg Hbf,90.0,-59.0,28.85682,5.0,9.10795,0.38028,5.64437
Duisburg Hbf,Mülheim (Ruhr) Hbf,20.0,-2.0,4.08173,3.0,1.47917,0.70186,0.44099
Mülheim (Ruhr) Hbf,Essen Hbf,13.0,-5.0,2.43274,3.0,-0.08696,0.71429,-0.02484
Essen Hbf,Hagen Hbf,63.0,-74.0,22.4875,5.0,-0.31633,0.31707,-0.21603
Hagen Hbf,Bochum Hbf,75.0,-64.0,23.34639,5.0,-0.27751,0.27178,-0.20209
Dortmund Hbf,Münster (Westf) Hbf,74.0,-73.0,28.27542,14.0,4.55814,0.25495,3.39604
Münster (Westf) Hbf,Osnabrück Hbf,84.0,-75.0,25.90131,18.0,-0.1175,0.21215,-0.09257
Osnabrück Hbf,Diepholz,58.0,-11.0,8.63519,2.0,-1.65333,0.28571,-1.18095
Diepholz,Bremen Hbf,9.0,-55.0,8.34963,2.0,-1.54717,0.49524,-0.78095
Bremen Hbf,Hamburg-Harburg,114.0,-57.0,34.60894,15.0,0.61078,0.2178,0.47775
Hamburg Hbf,Hamburg-Altona,21.0,-253.0,45.45306,14.0,-1.83812,0.46508,-0.98324
Koblenz Hbf,Radolfzell,3.0,-50.0,7.6661,1.0,-4.62069,0.47273,-2.43636
Radolfzell,Köln Messe/Deutz,13.0,-3.0,2.45594,1.0,1.93333,0.72727,0.52727
Andernach,Donaueschingen,5.0,-50.0,7.81663,1.0,-4.92593,0.50909,-2.41818
Donaueschingen,Villingen (Schwarzw),0.0,-1.0,0.29014,1.0,-1.0,0.90909,-0.09091
Villingen (Schwarzw),Triberg,2.0,0.0,0.72567,1.0,1.72727,0.8,0.34545
Triberg,Hausach,3.0,0.0,0.77503,1.0,1.72727,0.8,0.34545
Hausach,Offenburg,28.0,0.0,4.66688,1.0,6.13333,0.72727,1.67273
Offenburg,Baden-Baden,54.0,-11.0,10.02112,3.0,2.41935,0.78621,0.51724
Baden-Baden,Karlsruhe Hbf,4.0,-4.0,2.08655,3.0,0.78788,0.77241,0.17931
Karlsruhe Hbf,Mannheim Hbf,17.0,-12.0,4.59981,5.0,0.21687,0.68441,0.06844
Mannheim Hbf,Worms Hbf,4.0,-23.0,4.07955,2.0,-2.4375,0.76471,-0.57353
Worms Hbf,Mainz Hbf,19.0,-3.0,3.17774,2.0,1.125,0.76471,0.26471
Bingen (Rhein) Hbf,Remagen,49.0,-1.0,7.65621,1.0,7.09524,0.61818,2.70909
Remagen,Bonn-Beuel,17.0,-49.0,9.48584,2.0,-4.19565,0.58929,-1.72321
Bonn-Beuel,Bonn Hbf,87.0,-41.0,34.11815,5.0,10.86243,0.35274,7.03082
Emden Hbf,Konstanz,0.0,0.0,0.0,1.0,,1.0,0.0
Konstanz,Singen (Hohentwiel),1.0,-1.0,0.35581,1.0,0.42857,0.87273,0.05455
Stuttgart Hbf,Bruchsal,18.0,-108.0,18.22207,6.0,-1.19577,0.36577,-0.75839
Dortmund Hbf,Witten Hbf,49.0,-14.0,8.13029,5.0,1.51534,0.43206,0.86063
Witten Hbf,Altena (Westf),59.0,-32.0,12.14597,5.0,2.55738,0.36237,1.63066
Altena (Westf),Werdohl,7.0,-4.0,1.98408,5.0,0.83486,0.62021,0.31707
Werdohl,Plettenberg,7.0,-5.0,2.06425,5.0,0.76522,0.5993,0.30662
Plettenberg,Finnentrop,40.0,-4.0,6.41253,5.0,0.78409,0.69338,0.24042
Finnentrop,Lennestadt-Grevenbrück,38.0,-45.0,7.95135,5.0,0.0125,0.72125,0.00348
Lennestadt-Grevenbrück,Lennestadt-Altenhundem,9.0,-38.0,5.60898,5.0,-1.21762,0.32753,-0.81882
Lennestadt-Altenhundem,Kreuztal,14.0,-26.0,4.84702,5.0,1.02419,0.56794,0.44251
Kreuztal,Siegen-Weidenau,37.0,-3.0,5.38612,5.0,1.52101,0.58537,0.63066
Siegen-Weidenau,Dillenburg,100.0,-38.0,21.67926,4.0,1.55556,0.28947,1.10526
Dillenburg,Wetzlar,11.0,-119.0,16.93203,5.0,0.14504,0.54355,0.0662
Wetzlar,Bad Nauheim,40.0,-23.0,12.81547,6.0,2.1866,0.39769,1.317
Bad Nauheim,Frankfurt (Main) West,119.0,-48.0,18.37883,6.0,1.38278,0.39769,0.83285
Frankfurt (Main) West,Frankfurt (Main) Hbf,150.0,-149.0,33.90656,7.0,-3.97143,0.23077,-3.05495
Bremen Hbf,Osnabrück Hbf,114.0,-35.0,22.3864,13.0,-1.63174,0.12534,-1.42722
Osnabrück Hbf,Münster (Westf) Hbf,36.0,-41.0,16.56046,20.0,0.04584,0.26311,0.03378
Münster (Westf) Hbf,Dortmund Hbf,180.0,-107.0,40.74004,12.0,4.53744,0.15826,3.81933
Wuppertal Hbf,Bochum Hbf,150.0,-30.0,21.09849,2.0,6.16418,0.3964,3.72072
Essen Hbf,Duisburg Hbf,99.0,-77.0,37.15316,56.0,0.48655,0.48939,0.24844
Solingen Hbf,Köln Messe/Deutz,134.0,-201.0,57.22177,10.0,-11.58056,0.38983,-7.0661
Köln Messe/Deutz,Köln Hbf,226.0,-127.0,100.72018,20.0,6.78032,0.14528,5.79524
Köln Hbf,Frankfurt am Main Flughafen Fernbahnhof,111.0,-125.0,38.11442,6.0,-0.07317,0.20278,-0.05833
Frankfurt am Main Flughafen Fernbahnhof,Mannheim Hbf,261.0,-20.0,62.78546,22.0,6.13516,0.13124,5.33001
Gelsenkirchen Hbf,Oberhausen Hbf,190.0,-55.0,31.82259,5.0,3.84768,0.48288,1.98973
Düsseldorf Hbf,Köln Hbf,208.0,-64.0,78.63547,31.0,10.69126,0.31053,7.37135
Mannheim Hbf,Radolfzell,0.0,-17.0,2.22213,1.0,-10.0,0.96667,-0.33333
Radolfzell,Konstanz,7.0,-3.0,1.1781,2.0,1.25,0.96226,0.04717
Konstanz,Karlsruhe Hbf,19.0,0.0,2.5258,1.0,12.0,0.96667,0.4
Offenburg,Hausach,4.0,-4.0,1.86392,3.0,0.46154,0.88983,0.05085
Hausach,Triberg,4.0,-2.0,1.11968,3.0,1.25,0.86441,0.16949
Triberg,Donaueschingen,4.0,-10.0,1.39855,1.0,-3.0,0.96667,-0.1
Donaueschingen,Immendingen,1.0,-1.0,0.2472,2.0,-0.33333,0.9717,-0.00943
Immendingen,Singen (Hohentwiel),0.0,-4.0,1.04049,2.0,-2.83333,0.9434,-0.16038
Singen (Hohentwiel),Villingen (Schwarzw),3.0,0.0,0.3873,1.0,3.0,0.98333,0.05
Münster (Westf) Hbf,Hamm (Westf) Hbf,33.0,-40.0,12.1192,5.0,0.74208,0.24315,0.56164
Bochum Hbf,Hagen Hbf,31.0,-117.0,21.6567,3.0,-5.92683,0.31667,-4.05
Hagen Hbf,Essen Hbf,117.0,-61.0,36.78888,5.0,9.54854,0.30405,6.64527
Duisburg Hbf,Wuppertal Hbf,64.0,-124.0,29.75527,5.0,-2.15948,0.22408,-1.67559
Wuppertal Hbf,Düsseldorf Flughafen,91.0,-21.0,15.42409,2.0,8.38776,0.59167,3.425
Düsseldorf Flughafen,Düsseldorf Hbf,96.0,-121.0,36.81249,15.0,2.18828,0.36095,1.39841
Köln Hbf,Remagen,24.0,-33.0,11.49717,2.0,-0.21154,0.56667,-0.09167
Bonn Hbf,Mainz Hbf,28.0,-47.0,11.43158,1.0,-1.97619,0.3,-1.38333
Frankfurt am Main Flughafen Fernbahnhof,Koblenz Hbf,155.0,-69.0,30.93361,3.0,5.55975,0.11667,4.91111
Bingen (Rhein) Hbf,Frankfurt (Main) Hbf,33.0,-8.0,7.03141,1.0,2.09302,0.28333,1.5
Berlin Ostbahnhof,Wolfsburg Hbf,1.0,-11.0,1.79264,1.0,-2.18182,0.63333,-0.8
Wolfsburg Hbf,Berlin Hbf,5.0,-26.0,3.53238,1.0,-0.77778,0.85,-0.11667
Bielefeld Hbf,Wuppertal Hbf,4.0,-91.0,14.59288,1.0,-6.92157,0.15,-5.88333
Köln Hbf,Aachen Hbf,15.0,-21.0,5.37687,1.0,-4.75676,0.38333,-2.93333
Stuttgart Hbf,Böblingen,72.0,-5.0,11.41979,3.0,2.10526,0.64596,0.74534
Böblingen,Herrenberg,5.0,-12.0,2.97389,3.0,1.30508,0.63354,0.47826
Herrenberg,Gäufelden,4.0,-20.0,4.16301,3.0,-2.12069,0.63975,-0.76398
Gäufelden,Bondorf (b Herrenberg),18.0,-4.0,3.85224,2.0,1.69231,0.76147,0.40367
Bondorf (b Herrenberg),Horb,16.0,-4.0,3.56516,2.0,2.66,0.54128,1.22018
Horb,Berlin-Spandau,20.0,-17.0,4.62048,1.0,-2.83333,0.34545,-1.85455
Berlin-Spandau,Oberndorf (Neckar),19.0,0.0,3.13694,1.0,4.875,0.70909,1.41818
Sulz (Neckar),Rottweil,18.0,-4.0,3.13683,1.0,1.97222,0.34545,1.29091
Würzburg Hbf,Aschaffenburg Hbf,155.0,-98.0,35.85813,20.0,0.61227,0.25571,0.45571
Aschaffenburg Hbf,Frankfurt (Main) Hbf,231.0,-60.0,50.4131,19.0,3.95337,0.21256,3.11304
Frankfurt (Main) Hbf,Frankfurt am Main Flughafen Fernbahnhof,70.0,-215.0,63.11306,38.0,-0.03789,0.30151,-0.02647
Frankfurt am Main Flughafen Fernbahnhof,Köln Hbf,34.0,-67.0,14.64247,2.0,-5.97345,0.05833,-5.625
Essen Hbf,Düsseldorf Hbf,63.0,-2.0,17.04934,3.0,10.11494,0.39583,6.11111
Wuppertal Hbf,Gelsenkirchen Hbf,23.0,-14.0,5.24195,1.0,-0.33333,0.79661,-0.0678
Gelsenkirchen Hbf,Bochum Hbf,160.0,-29.0,43.64368,3.0,16.21118,0.10056,14.58101
Düsseldorf Hbf,Köln Messe/Deutz,74.0,-98.0,41.56938,26.0,-2.23535,0.33028,-1.49706
Köln Hbf,Montabaur,47.0,-95.0,34.70329,5.0,-11.88953,0.42475,-6.83946
Siegburg/Bonn,Frankfurt am Main Flughafen Fernbahnhof,147.0,-70.0,44.29743,9.0,2.12215,0.0904,1.93032
Frankfurt am Main Flughafen Fernbahnhof,Köln Messe/Deutz,115.0,-93.0,33.01993,7.0,-5.83095,0.07427,-5.39788
Dresden Hbf,Dresden-Neustadt,20.0,-31.0,10.0356,22.0,-0.80153,0.49146,-0.40761
Dresden-Neustadt,Berlin Südkreuz,8.0,-7.0,3.24425,1.0,1.19608,0.15,1.01667
Berlin Hbf,Berlin-Lichtenberg,13.0,-16.0,3.52794,1.0,-1.25,0.06667,-1.16667
Berlin-Lichtenberg,Berlin Gesundbrunnen,18.0,-10.0,3.74127,3.0,0.73684,0.78286,0.16
Berlin Gesundbrunnen,Berlin-Spandau,68.0,-36.0,22.60381,7.0,7.11842,0.63549,2.59472
Berlin-Spandau,Wittenberge,49.0,-86.0,22.91586,8.0,-2.15141,0.28283,-1.54293
Wittenberge,Ludwigslust,8.0,-48.0,7.6219,10.0,-0.7384,0.51829,-0.35569
Ludwigslust,Büchen,20.0,-4.0,3.51465,5.0,-0.88298,0.59307,-0.35931
Büchen,Hamburg-Bergedorf,11.0,-35.0,5.33351,2.0,0.2,0.63158,0.07368
Hamburg-Bergedorf,Hamburg Hbf,10.0,-6.0,2.48452,2.0,0.5625,0.49474,0.28421
München Hbf,München Ost,0.0,0.0,0.0,5.0,,1.0,0.0
München Ost,Rosenheim,0.0,0.0,0.0,5.0,,1.0,0.0
Bruchsal,Stuttgart Hbf,19.0,-6.0,5.85775,2.0,1.10309,0.17094,0.91453
Stuttgart Hbf,Esslingen (Neckar),47.0,-76.0,24.76193,5.0,-7.06464,0.11448,-6.25589
Esslingen (Neckar),Ulm Hbf,85.0,-3.0,24.90967,5.0,9.11382,0.17172,7.54882
Dortmund Hbf,Unna,45.0,-77.0,17.92124,2.0,1.37624,0.15126,1.16807
Unna,Siegen-Weidenau,45.0,-45.0,12.18987,1.0,-4.85366,0.31667,-3.31667
Siegen-Weidenau,Schwerte (Ruhr),42.0,-84.0,15.11197,1.0,4.06667,0.5,2.03333
Schwerte (Ruhr),Lennestadt-Altenhundem,81.0,-1.0,20.68523,2.0,10.4902,0.14286,8.9916
Lennestadt-Altenhundem,Dillenburg,140.0,-40.0,21.21715,2.0,4.49495,0.16807,3.7395
Dillenburg,Friedberg (Hess),0.0,-148.0,24.74683,1.0,-23.02128,0.21667,-18.03333
Friedberg (Hess),Wetzlar,149.0,0.0,25.27675,1.0,24.95833,0.2,19.96667
Mainz Hbf,Mannheim Hbf,176.0,-105.0,33.16015,11.0,4.32558,0.35392,2.79466
