name,federalState,latitude,longitude,type,segment,platforms,stationManagement,controlCenter,operator,operatorShort,regionalSector,delay,pureDelayNum,punctuality,pureDelay,handledTrains
Duisburg Hbf,Nordrhein-Westfalen,51.429785,6.775903,Metropolbahnhof,Metropolbahnhof,12.0,Duisburg,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,0.327,5755,0.31643,0.47837,8419
Solingen Hbf,Nordrhein-Westfalen,51.160766,7.004187,Knotenbahnhof,Großstadtknoten,5.0,Düsseldorf,Düsseldorf Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,0.12399,1815,0.62243,0.32837,4807
Straubing,Bayern,48.876978,12.574094,Knotenbahnhof,Regionaler Knoten,5.0,Regensburg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.79167,65,0.45833,1.46154,120
Stuttgart Hbf,Baden-Württemberg,48.784084,9.181635,Metropolbahnhof,Metropolbahnhof,18.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-2.08659,6005,0.24313,-2.75687,7934
Essen Hbf,Nordrhein-Westfalen,51.451355,7.014793,Metropolbahnhof,Metropolbahnhof,11.0,Essen,Essen Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.33779,5071,0.3353,-0.50818,7629
Eutingen im Gäu,Baden-Württemberg,48.479952,8.782236,Zubringerbahnhof,Regionaler Zubringer,3.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.01667,1,0.98333,1.0,60
Finnentrop,Nordrhein-Westfalen,51.173048,7.964563,Zubringerbahnhof,Regionaler Zubringer,4.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.39003,469,0.19416,0.48401,582
Frankfurt (Main) Hbf,Hessen,50.107145,8.663789,Metropolbahnhof,Metropolbahnhof,29.0,Frankfurt a. M.,Frankfurt (Main) Hbf,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,-0.59869,6439,0.32178,-0.88275,9494
Freiburg (Breisgau) Hbf,Baden-Württemberg,47.997697,7.84117,Knotenbahnhof,Großstadtknoten,8.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.07784,86,0.48503,-0.15116,167
Freilassing,Bayern,47.836916,12.977193,Knotenbahnhof,Regionaler Knoten,9.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.00704,54,0.61972,0.01852,142
Friedberg (Hess),Hessen,50.332606,8.762056,Knotenbahnhof,Regionaler Knoten,10.0,Gießen,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.02649,93,0.89735,0.25806,906
Friedrichshafen Stadt,Baden-Württemberg,47.653224,9.4739,Knotenbahnhof,Regionaler Knoten,11.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.0,0,1.0,,60
Fürth (Bay) Hbf,Bayern,49.469707,10.989988,Knotenbahnhof,Regionaler Knoten,8.0,Nürnberg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.03333,6,0.9,-0.33333,60
Fulda,Hessen,50.554723,9.683977,Knotenbahnhof,Großstadtknoten,10.0,Kassel,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.60577,3147,0.39481,1.00095,5200
Traunstein,Bayern,47.869727,12.638801,Knotenbahnhof,Regionaler Knoten,6.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.27465,52,0.6338,-0.75,142
Gelsenkirchen Hbf,Nordrhein-Westfalen,51.504903,7.102455,Knotenbahnhof,Großstadtknoten,6.0,Essen,Essen Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,0.10494,587,0.63765,0.28961,1620
Treuchtlingen,Bayern,48.961267,10.908159,Knotenbahnhof,Regionaler Knoten,7.0,Nürnberg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.46199,309,0.09649,0.51133,342
Gießen,Hessen,50.579059,8.661462,Knotenbahnhof,Regionaler Knoten,11.0,Gießen,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.31373,94,0.84641,2.04255,612
Göppingen,Baden-Württemberg,48.700027,9.651969,Knotenbahnhof,Regionaler Knoten,7.0,Ulm,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.18333,50,0.16667,-0.22,60
Göttingen,Niedersachsen,51.536815,9.926072,Knotenbahnhof,Großstadtknoten,8.0,Braunschweig / Göttingen,Hannover Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-1.93732,3320,0.40374,-3.2491,5568
Treysa,Hessen,50.910661,9.185673,Zubringerbahnhof,Regionaler Zubringer,4.0,Kassel,Kassel-Wilhelmshöhe,nordhessischer-verkehrsverbund-mbh,NVV,RB Mitte,0.05719,95,0.84477,0.36842,612
Günzburg,Bayern,48.4605626,10.2792621,Knotenbahnhof,Regionaler Knoten,6.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.18413,431,0.31587,-0.26914,630
Tübingen Hbf,Baden-Württemberg,48.515811,9.055407,Knotenbahnhof,Regionaler Knoten,6.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-15.66154,39,0.4,-26.10256,65
Hagen Hbf,Nordrhein-Westfalen,51.362747,7.460249,Knotenbahnhof,Großstadtknoten,12.0,Hagen,Düsseldorf Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,0.23155,3277,0.36183,0.36283,5135
Hamburg-Harburg,Hamburg,53.455908,9.991701,Knotenbahnhof,Großstadtknoten,8.0,Hamburg,Hamburg Hbf,hamburger-verkehrsverbund-gmbh,BWVI,RB Nord,0.23122,2885,0.53483,0.49705,6202
Hamm (Westf) Hbf,Nordrhein-Westfalen,51.678078,7.807821,Knotenbahnhof,Großstadtknoten,14.0,Dortmund,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,1.43301,4280,0.15914,1.70421,5090
Hanau Hbf,Hessen,50.120953,8.929,Knotenbahnhof,Regionaler Knoten,11.0,Frankfurt a. M.,Frankfurt (Main) Hbf,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.31536,839,0.4273,0.55066,1465
Hannover Hbf,Niedersachsen,52.376761,9.741021,Metropolbahnhof,Metropolbahnhof,12.0,Hannover,Hannover Hbf,region-hannover,RH,RB Nord,-0.09634,7650,0.28864,-0.13542,10754
