date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-15,-1.0,3.0,-1.0,9.0,13.0,13.0,16.0,16.0,18.0,19.0,17.0,16.0,14.0,15.0,4.0,3.0,16.0,17.0,6.0,5.0,20.0,20.0,0.0,1.0,11.0,10.0,10.0,-1.0
2024-05-14,-1.0,3.0,3.0,8.0,8.0,15.0,17.0,18.0,19.0,20.0,17.0,16.0,19.0,20.0,7.0,6.0,32.0,32.0,12.0,11.0,32.0,33.0,28.0,28.0,2.0,2.0,3.0,-1.0
2024-05-13,-1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,22.0,21.0,5.0,7.0,29.0,27.0,12.0,15.0,53.0,54.0,58.0,55.0,59.0,-1.0
2024-05-12,-1.0,2.0,-1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,7.0,9.0,6.0,7.0,30.0,29.0,0.0,1.0,32.0,32.0,0.0,0.0,3.0,2.0,3.0,-1.0
2024-05-11,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,5.0,5.0,27.0,25.0,25.0,24.0,24.0,23.0,24.0,25.0,24.0,22.0,23.0,6.0,5.0,20.0,19.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,10.0,-1.0
2024-05-09,-1.0,8.0,7.0,15.0,12.0,12.0,13.0,13.0,12.0,13.0,14.0,12.0,11.0,38.0,38.0,37.0,37.0,37.0,38.0,45.0,-1.0,-1.0,-1.0,50.0,155.0,155.0,155.0,-1.0
2024-05-08,-1.0,15.0,15.0,17.0,20.0,20.0,19.0,21.0,22.0,23.0,22.0,22.0,21.0,21.0,6.0,6.0,22.0,22.0,5.0,3.0,20.0,20.0,15.0,14.0,12.0,11.0,11.0,-1.0
2024-05-07,-1.0,5.0,5.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,6.0,5.0,5.0,6.0,17.0,17.0,4.0,4.0,21.0,19.0,3.0,3.0,15.0,15.0,17.0,15.0,16.0,-1.0
2024-05-05,-1.0,1.0,-1.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,3.0,2.0,1.0,6.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-05-04,-1.0,11.0,10.0,13.0,13.0,14.0,15.0,15.0,15.0,16.0,23.0,24.0,24.0,24.0,8.0,9.0,23.0,23.0,9.0,8.0,30.0,31.0,3.0,1.0,27.0,-1.0,2.0,-1.0
2024-05-03,-1.0,12.0,20.0,20.0,65.0,65.0,66.0,67.0,66.0,68.0,67.0,66.0,66.0,66.0,65.0,64.0,64.0,64.0,28.0,27.0,60.0,60.0,27.0,26.0,27.0,26.0,26.0,-1.0
2024-05-02,-1.0,2.0,2.0,5.0,5.0,5.0,7.0,7.0,8.0,9.0,10.0,9.0,12.0,25.0,-1.0,-1.0,95.0,95.0,94.0,94.0,98.0,99.0,101.0,101.0,102.0,98.0,102.0,-1.0
