date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,1.0,1.0,7.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,-1.0,3.0,2.0,11.0,9.0,9.0,3.0,6.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,-1.0,3.0,-1.0,12.0,11.0,11.0,6.0,7.0,7.0,7.0,8.0,8.0,11.0,11.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,-1.0,1.0,-1.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,2.0,1.0,2.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,2.0,-1.0,4.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,-1.0,9.0,7.0,11.0,5.0,9.0,5.0,5.0,11.0,11.0,6.0,6.0,8.0,9.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,-1.0,3.0,-1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,-1.0,1.0,-1.0,6.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,-1.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,-1.0,30.0,-1.0,29.0,27.0,27.0,22.0,23.0,23.0,24.0,20.0,20.0,25.0,24.0,19.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,-1.0,2.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,-1.0,4.0,-1.0,2.0,1.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,-1.0,2.0,-1.0,1.0,-1.0,1.0,1.0,6.0,-1.0,-1.0,54.0,54.0,60.0,59.0,52.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,-1.0,1.0,-1.0,1.0,-1.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,-1.0,2.0,-1.0,2.0,0.0,0.0,20.0,23.0,29.0,30.0,33.0,33.0,33.0,36.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,-1.0,3.0,-1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,8.0,9.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,4.0,-1.0,7.0,5.0,6.0,3.0,4.0,9.0,9.0,8.0,9.0,12.0,12.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,-1.0,14.0,-1.0,18.0,16.0,16.0,10.0,11.0,11.0,11.0,6.0,6.0,5.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,1.0,3.0,2.0,5.0,7.0,8.0,26.0,26.0,22.0,21.0,24.0,24.0,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,-1.0,1.0,1.0,7.0,4.0,4.0,6.0,7.0,6.0,7.0,3.0,3.0,4.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,3.0,-1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,-1.0,3.0,-1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,1.0,1.0,1.0,1.0,10.0,6.0,7.0,9.0,9.0,5.0,7.0,10.0,9.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
