date,Leipzig_Hbf.in,Leipzig_Hbf.out,Weißenfels.in,Weißenfels.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Jena_Paradies.in,Jena_Paradies.out,Jena-Göschwitz.in,Jena-Göschwitz.out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Saalfeld(Saale).in,Saalfeld(Saale).out,Ludwigsstadt.in,Ludwigsstadt.out,Kronach.in,Kronach.out,Lichtenfels.in,Lichtenfels.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ansbach.in,Ansbach.out,Crailsheim.in,Crailsheim.out,Ellwangen.in,Ellwangen.out,Aalen_Hbf.in,Aalen_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Schorndorf.in,Schorndorf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Mühlacker.in,Mühlacker.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-19,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,-1.0
2024-05-18,-1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,15.0,16.0,17.0,16.0,19.0,18.0,0.0,0.0,0.0,0.0,14.0,14.0,23.0,-1.0
2024-05-17,-1.0,2.0,2.0,2.0,1.0,0.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,7.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,-1.0,-1.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,6.0,6.0,5.0,6.0,2.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,13.0,12.0,13.0,12.0,11.0,10.0,13.0,13.0,13.0,12.0,7.0,-1.0
2024-05-14,-1.0,24.0,19.0,19.0,17.0,17.0,16.0,16.0,14.0,15.0,15.0,16.0,14.0,13.0,10.0,10.0,9.0,8.0,7.0,7.0,5.0,5.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,9.0,9.0,8.0,12.0,12.0,11.0,11.0,10.0,9.0,5.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,9.0,9.0,22.0,21.0,20.0,20.0,18.0,17.0,17.0,24.0,24.0,24.0,24.0,23.0,21.0,20.0,26.0,25.0,25.0,24.0,24.0,23.0,22.0,22.0,22.0,21.0,18.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,8.0,8.0,7.0,7.0,5.0,7.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,-1.0
2024-05-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,12.0,11.0,11.0,9.0,9.0,8.0,8.0,7.0,3.0,-1.0
2024-05-08,-1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,11.0,13.0,17.0,36.0,36.0,35.0,35.0,35.0,34.0,35.0,35.0,34.0,33.0,42.0,45.0,45.0,47.0,47.0,46.0,46.0,45.0,53.0,55.0,56.0,55.0,55.0,54.0,55.0,55.0,55.0,54.0,50.0,-1.0
2024-05-07,-1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,5.0,6.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,0.0,-1.0
