date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-10,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,8.0,7.0,0.0,0.0,7.0,6.0,12.0,-1.0
2024-05-09,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,5.0,0.0,0.0,11.0,11.0,9.0,-1.0
2024-05-08,-1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,4.0,10.0,9.0,0.0,0.0,13.0,13.0,16.0,-1.0
2024-05-07,-1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,8.0,8.0,0.0,0.0,40.0,39.0,12.0,-1.0
2024-05-06,-1.0,19.0,19.0,19.0,0.0,0.0,13.0,12.0,10.0,10.0,41.0,48.0,49.0,49.0,73.0,73.0,71.0,68.0,82.0,84.0,0.0,0.0,92.0,94.0,91.0,-1.0
2024-05-05,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-05-04,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,10.0,8.0,8.0,0.0,0.0,10.0,10.0,13.0,-1.0
2024-05-03,-1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,10.0,10.0,0.0,0.0,16.0,16.0,22.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,8.0,8.0,0.0,0.0,11.0,11.0,15.0,-1.0
2024-05-01,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,7.0,6.0,0.0,0.0,9.0,9.0,9.0,-1.0
2024-04-30,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,49.0,49.0,0.0,0.0,51.0,51.0,50.0,-1.0
2024-04-29,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,4.0,14.0,15.0,0.0,0.0,32.0,33.0,35.0,-1.0
2024-04-28,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,11.0,0.0,0.0,13.0,13.0,9.0,-1.0
2024-04-27,-1.0,2.0,-1.0,2.0,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,5.0,4.0,-1.0
2024-04-25,-1.0,5.0,-1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,4.0,6.0,9.0,11.0,0.0,0.0,27.0,27.0,32.0,-1.0
2024-04-24,-1.0,2.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,20.0,-1.0
2024-04-23,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,5.0,7.0,4.0,4.0,0.0,0.0,4.0,4.0,7.0,-1.0
2024-04-22,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17.0,18.0,19.0,22.0,22.0,21.0,0.0,0.0,24.0,23.0,22.0,-1.0
2024-04-21,-1.0,3.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,2.0,-1.0,2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,10.0,11.0,0.0,0.0,11.0,12.0,14.0,-1.0
2024-04-19,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,3.0,-1.0
2024-04-18,-1.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,3.0,-1.0
2024-04-17,-1.0,3.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,8.0,7.0,6.0,0.0,0.0,6.0,5.0,5.0,-1.0
2024-04-16,-1.0,3.0,-1.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,9.0,9.0,0.0,0.0,15.0,15.0,16.0,-1.0
