date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-17,-1.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,8.0,9.0,16.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,0.0,0.0,13.0,47.0,43.0,46.0,47.0,43.0,43.0,47.0,46.0,47.0,49.0,49.0,51.0,52.0,52.0,-1.0
2024-05-16,-1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,8.0,9.0,9.0,10.0,10.0,15.0,15.0,0.0,0.0,18.0,19.0,18.0,20.0,20.0,15.0,15.0,14.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,-1.0
2024-05-15,-1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,12.0,11.0,13.0,14.0,15.0,15.0,18.0,19.0,0.0,0.0,24.0,22.0,22.0,24.0,34.0,29.0,26.0,25.0,10.0,12.0,11.0,12.0,9.0,9.0,8.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,23.0,18.0,15.0,16.0,1.0,2.0,0.0,1.0,4.0,4.0,0.0,-1.0
2024-05-13,-1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,9.0,8.0,16.0,17.0,18.0,19.0,20.0,20.0,0.0,0.0,25.0,53.0,76.0,78.0,83.0,79.0,83.0,88.0,77.0,78.0,75.0,77.0,74.0,74.0,74.0,-1.0
2024-05-12,-1.0,6.0,7.0,6.0,7.0,7.0,3.0,2.0,0.0,1.0,6.0,7.0,11.0,11.0,14.0,14.0,13.0,14.0,15.0,15.0,0.0,0.0,13.0,11.0,10.0,11.0,10.0,5.0,14.0,13.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,-1.0
2024-05-11,-1.0,1.0,6.0,3.0,3.0,7.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-10,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,7.0,5.0,4.0,6.0,7.0,11.0,10.0,7.0,7.0,7.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,10.0,11.0,0.0,0.0,9.0,7.0,4.0,4.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0
2024-05-08,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,10.0,11.0,10.0,11.0,0.0,0.0,12.0,10.0,9.0,11.0,14.0,9.0,9.0,8.0,7.0,7.0,5.0,5.0,8.0,8.0,7.0,-1.0
2024-05-05,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,9.0,9.0,9.0,9.0,0.0,0.0,6.0,5.0,4.0,6.0,6.0,1.0,2.0,3.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,-1.0
2024-05-04,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,14.0,14.0,18.0,19.0,18.0,19.0,0.0,0.0,20.0,19.0,11.0,12.0,14.0,12.0,10.0,9.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,-1.0
2024-05-03,-1.0,0.0,4.0,2.0,5.0,5.0,7.0,25.0,19.0,20.0,18.0,19.0,20.0,18.0,26.0,26.0,30.0,33.0,32.0,33.0,0.0,0.0,32.0,32.0,33.0,33.0,42.0,37.0,35.0,34.0,25.0,24.0,30.0,29.0,33.0,33.0,34.0,-1.0
