date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Bitterfeld.in,Bitterfeld.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Bamberg.in,Bamberg.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Donauwörth.in,Donauwörth.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,0.0,0.0,-1.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,11.0,11.0,10.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,-1.0
2024-05-29,-1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,3.0,6.0,3.0,8.0,8.0,11.0,12.0,0.0,0.0,11.0,10.0,7.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,-1.0
2024-05-28,-1.0,0.0,2.0,2.0,2.0,3.0,7.0,7.0,6.0,2.0,3.0,3.0,7.0,7.0,0.0,0.0,6.0,7.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,-1.0
2024-05-27,-1.0,0.0,0.0,-1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,2.0,4.0,7.0,2.0,8.0,8.0,6.0,3.0,4.0,3.0,3.0,1.0,0.0,-1.0,7.0,-1.0
2024-05-26,-1.0,2.0,0.0,-1.0,0.0,4.0,0.0,0.0,3.0,6.0,6.0,6.0,4.0,5.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,10.0,10.0,8.0,8.0,7.0,10.0,7.0,6.0,4.0,-1.0
2024-05-25,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,4.0,3.0,7.0,11.0,11.0,10.0,12.0,9.0,9.0,8.0,-1.0
2024-05-24,-1.0,50.0,49.0,52.0,51.0,53.0,65.0,66.0,66.0,60.0,64.0,63.0,62.0,62.0,0.0,0.0,60.0,61.0,59.0,57.0,57.0,58.0,60.0,58.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,16.0,8.0,8.0,8.0,6.0,6.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,0.0,0.0,-1.0,2.0,2.0,1.0,1.0,2.0,3.0,7.0,7.0,8.0,9.0,0.0,0.0,7.0,10.0,4.0,-1.0,0.0,0.0,6.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,0.0,0.0,-1.0,0.0,0.0,4.0,4.0,5.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,5.0,6.0,4.0,1.0,0.0,0.0,5.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,-1.0
