date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-06,-1.0,4.0,4.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,12.0,13.0,42.0,36.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,7.0,5.0,4.0,4.0,2.0,-1.0
2024-05-05,-1.0,36.0,36.0,36.0,34.0,35.0,34.0,34.0,37.0,37.0,39.0,39.0,42.0,36.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,6.0,8.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,9.0,7.0,6.0,4.0,-1.0
2024-05-04,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,3.0,3.0,7.0,5.0,2.0,1.0,0.0,-1.0
2024-05-03,-1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,8.0,9.0,21.0,20.0,18.0,-1.0
2024-05-02,-1.0,0.0,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,7.0,6.0,6.0,6.0,7.0,16.0,16.0,21.0,20.0,17.0,17.0,13.0,-1.0
2024-05-01,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,8.0,13.0,11.0,9.0,10.0,7.0,7.0,4.0,4.0,1.0,-1.0
2024-04-30,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,6.0,6.0,6.0,3.0,3.0,8.0,10.0,10.0,11.0,8.0,8.0,7.0,-1.0
2024-04-29,0.0,0.0,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,1.0,1.0,1.0,6.0,6.0,9.0,10.0,9.0,8.0,6.0,4.0,7.0,8.0,7.0,9.0,6.0,6.0,4.0,-1.0
2024-04-28,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,7.0,10.0,9.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,-1.0
2024-04-27,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,10.0,11.0,14.0,10.0,9.0,8.0,8.0,5.0,6.0,2.0,2.0,1.0,-1.0
2024-04-26,0.0,0.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,7.0,7.0,8.0,9.0,4.0,5.0,4.0,4.0,9.0,9.0,7.0,7.0,6.0,7.0,4.0,5.0,3.0,3.0,2.0,-1.0
2024-04-25,0.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,2.0,2.0,5.0,6.0,21.0,22.0,28.0,28.0,29.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,21.0,-1.0
2024-04-24,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,13.0,11.0,12.0,12.0,9.0,9.0,10.0,9.0,6.0,-1.0
2024-04-21,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,21.0,83.0,84.0,79.0,81.0,92.0,92.0,90.0,95.0,101.0,100.0,102.0,103.0,106.0,105.0,103.0,-1.0
2024-04-20,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,0.0,5.0,7.0,7.0,8.0,12.0,10.0,10.0,5.0,5.0,13.0,12.0,11.0,-1.0
2024-04-19,0.0,0.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,22.0,22.0,25.0,24.0,24.0,26.0,10.0,15.0,28.0,28.0,28.0,26.0,26.0,25.0,25.0,26.0,-1.0,-1.0,23.0,-1.0
2024-04-18,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,2.0,3.0,8.0,7.0,6.0,4.0,0.0,1.0,0.0,4.0,-1.0,-1.0,-1.0,-1.0
2024-04-17,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,0.0,0.0,1.0,1.0,54.0,56.0,68.0,72.0,80.0,81.0,76.0,74.0,74.0,75.0,73.0,74.0,81.0,83.0,58.0,-1.0
2024-04-16,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,9.0,9.0,10.0,6.0,7.0,20.0,20.0,17.0,13.0,9.0,9.0,6.0,9.0,27.0,-1.0,0.0,0.0
2024-04-15,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,5.0,3.0,14.0,4.0,5.0,13.0,12.0,8.0,6.0,7.0,6.0,7.0,8.0,11.0,-1.0,0.0,0.0
2024-04-14,0.0,0.0,-1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,16.0,17.0,21.0,20.0,18.0,19.0,4.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,17.0,18.0,21.0,21.0,19.0,-1.0
2024-04-13,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,9.0,9.0,7.0,4.0,3.0,3.0,1.0,7.0,12.0,11.0,8.0,-1.0
2024-04-12,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,6.0,5.0,5.0,8.0,7.0,7.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,-1.0
2024-04-11,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,10.0,10.0,7.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,-1.0
2024-04-10,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,0.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-09,0.0,0.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-04-08,0.0,0.0,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,7.0,8.0,13.0,13.0,10.0,11.0,0.0,1.0,11.0,11.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,-1.0
2024-04-07,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,1.0,5.0,5.0,7.0,7.0,0.0,0.0,0.0,-1.0
2024-04-05,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,14.0,14.0,19.0,17.0,14.0,15.0,12.0,12.0,12.0,12.0,9.0,-1.0
2024-04-04,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,10.0,9.0,7.0,7.0,0.0,1.0,4.0,6.0,6.0,8.0,17.0,17.0,35.0,35.0,33.0,33.0,30.0,-1.0
2024-04-03,0.0,0.0,-1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,9.0,12.0,16.0,13.0,13.0,27.0,27.0,25.0,24.0,20.0,-1.0
2024-04-02,0.0,0.0,-1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,9.0,11.0,15.0,14.0,12.0,12.0,3.0,1.0,0.0,7.0,5.0,3.0,3.0,4.0,18.0,18.0,16.0,16.0,19.0,-1.0
2024-04-01,0.0,0.0,-1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,9.0,11.0,10.0,10.0,5.0,5.0,5.0,1.0,0.0,0.0,20.0,18.0,31.0,32.0,47.0,47.0,47.0,47.0,44.0,-1.0
