date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,19.0,19.0,22.0,21.0,21.0,-1.0
2024-05-29,-1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,26.0,28.0,26.0,26.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,1.0,0.0,-1.0
2024-05-27,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,7.0,7.0,8.0,7.0,10.0,-1.0
2024-05-26,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,78.0,80.0,81.0,81.0,79.0,-1.0
2024-05-25,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,5.0,12.0,13.0,13.0,12.0,-1.0
2024-05-24,-1.0,0.0,5.0,6.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,8.0,-1.0
2024-05-23,-1.0,3.0,8.0,13.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,63.0,63.0,62.0,-1.0
2024-05-22,-1.0,1.0,2.0,8.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,-1.0
2024-05-21,-1.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-1.0
