date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-19,-1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,8.0,8.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,9.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,1.0,1.0,1.0,5.0,6.0,3.0,5.0,17.0,17.0,45.0,46.0,0.0,0.0,55.0,54.0,0.0,0.0,0.0,0.0,60.0,59.0,59.0,58.0,54.0,53.0,56.0,55.0,60.0,54.0,56.0,56.0,55.0,54.0,52.0,52.0,51.0,51.0,50.0,49.0,51.0,53.0,56.0,43.0,60.0,59.0,58.0,61.0,63.0,62.0,60.0,53.0,53.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,1.0,2.0,7.0,9.0,7.0,8.0,11.0,14.0,13.0,12.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,22.0,22.0,29.0,30.0,26.0,26.0,25.0,25.0,29.0,24.0,46.0,46.0,45.0,44.0,43.0,44.0,42.0,42.0,41.0,40.0,39.0,39.0,38.0,22.0,20.0,19.0,18.0,17.0,19.0,17.0,17.0,11.0,10.0,3.0,3.0,4.0,7.0,6.0,16.0,-1.0
2024-05-16,-1.0,0.0,1.0,70.0,-1.0,-1.0,69.0,69.0,67.0,67.0,68.0,68.0,0.0,0.0,69.0,68.0,0.0,0.0,0.0,0.0,74.0,72.0,80.0,83.0,80.0,79.0,78.0,79.0,-1.0,-1.0,67.0,66.0,69.0,68.0,67.0,68.0,66.0,66.0,65.0,65.0,65.0,65.0,65.0,49.0,47.0,46.0,51.0,48.0,50.0,48.0,49.0,42.0,40.0,31.0,31.0,31.0,33.0,33.0,39.0,-1.0
2024-05-15,-1.0,10.0,10.0,9.0,7.0,7.0,4.0,5.0,17.0,18.0,12.0,12.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,21.0,19.0,19.0,18.0,14.0,13.0,11.0,11.0,12.0,8.0,7.0,6.0,10.0,9.0,8.0,8.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,3.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,6.0,6.0,-1.0
2024-05-14,-1.0,1.0,1.0,1.0,0.0,1.0,3.0,5.0,6.0,10.0,9.0,9.0,6.0,6.0,0.0,0.0,9.0,11.0,8.0,8.0,6.0,6.0,15.0,13.0,13.0,14.0,16.0,17.0,23.0,20.0,25.0,24.0,27.0,28.0,28.0,28.0,31.0,33.0,36.0,37.0,37.0,38.0,40.0,24.0,23.0,22.0,25.0,23.0,24.0,22.0,25.0,19.0,16.0,9.0,10.0,10.0,12.0,13.0,13.0,-1.0
2024-05-13,-1.0,14.0,15.0,16.0,14.0,15.0,13.0,14.0,21.0,21.0,19.0,19.0,17.0,19.0,0.0,0.0,22.0,22.0,21.0,22.0,0.0,0.0,24.0,23.0,23.0,22.0,28.0,29.0,31.0,29.0,33.0,33.0,33.0,35.0,35.0,36.0,36.0,36.0,38.0,38.0,38.0,38.0,37.0,23.0,24.0,24.0,23.0,59.0,-1.0,-1.0,-1.0,-1.0,56.0,56.0,-1.0,-1.0,-1.0,56.0,-1.0,-1.0
2024-05-12,-1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,6.0,5.0,6.0,6.0,6.0,4.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,7.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,5.0,3.0,-1.0
2024-05-10,-1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,-1.0,1.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,1.0,8.0,8.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,13.0,12.0,11.0,13.0,8.0,7.0,12.0,13.0,12.0,7.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,59.0,59.0,59.0,75.0,67.0,68.0,67.0,71.0,71.0,77.0,76.0,76.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.0,-1.0
