date,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Eisenach.in,Eisenach.out,Mainz_Hbf.in,Mainz_Hbf.out,Fulda.in,Fulda.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-27,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,-1.0
2024-04-26,-1.0,7.0,-1.0,6.0,7.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,2.0,-1.0,7.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,-1.0
2024-04-24,-1.0,27.0,27.0,27.0,31.0,31.0,26.0,28.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,21.0,21.0,6.0,6.0,4.0,-1.0
2024-04-23,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,-1.0
2024-04-22,-1.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,86.0,86.0,87.0,89.0,88.0,93.0,93.0,0.0,0.0,0.0,0.0,91.0,92.0,105.0,105.0,89.0,91.0,-1.0,-1.0,120.0,-1.0
2024-04-20,-1.0,1.0,0.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,2.0,0.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,9.0,7.0,-1.0
2024-04-18,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,-1.0
2024-04-17,-1.0,12.0,-1.0,12.0,4.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,24.0,26.0,0.0,0.0,25.0,25.0,16.0,16.0,15.0,-1.0
2024-04-16,-1.0,15.0,14.0,15.0,7.0,7.0,4.0,16.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,10.0,12.0,3.0,3.0,0.0,-1.0
2024-04-15,-1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,10.0,9.0,2.0,1.0,2.0,-1.0
2024-04-14,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,1.0,1.0,0.0,2.0,18.0,47.0,50.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,54.0,55.0,35.0,34.0,32.0,-1.0
2024-04-12,-1.0,1.0,-1.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,-1.0
2024-04-11,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,-1.0
2024-04-10,-1.0,1.0,6.0,7.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,6.0,12.0,12.0,8.0,-1.0
2024-04-09,-1.0,5.0,-1.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,5.0,-1.0
2024-04-08,-1.0,8.0,8.0,9.0,7.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,3.0,5.0,4.0,4.0,1.0,-1.0
2024-04-07,-1.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,-1.0
2024-04-06,-1.0,6.0,0.0,8.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,-1.0
2024-04-04,-1.0,11.0,11.0,13.0,10.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,9.0,5.0,4.0,5.0,-1.0
2024-04-03,-1.0,3.0,-1.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,-1.0
2024-04-02,-1.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,15.0,15.0,8.0,-1.0
2024-04-01,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
