date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-05,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,6.0,7.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,9.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,0.0,0.0,5.0,5.0,7.0,7.0,6.0,6.0,20.0,20.0,19.0,20.0,16.0,16.0,20.0,19.0,22.0,22.0,25.0,25.0,23.0,-1.0
2024-04-30,-1.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,7.0,0.0,0.0,4.0,4.0,12.0,12.0,10.0,9.0,39.0,38.0,50.0,55.0,76.0,76.0,76.0,75.0,84.0,83.0,84.0,83.0,82.0,-1.0
2024-04-29,-1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,3.0,6.0,6.0,4.0,3.0,2.0,-1.0
2024-04-28,-1.0,8.0,7.0,7.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,0.0,0.0,5.0,4.0,4.0,4.0,2.0,3.0,8.0,17.0,19.0,20.0,15.0,16.0,10.0,10.0,11.0,11.0,17.0,17.0,15.0,-1.0
2024-04-27,-1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,3.0,10.0,12.0,9.0,57.0,0.0,0.0,0.0,0.0,63.0,63.0,60.0,60.0,0.0,0.0,58.0,57.0,64.0,64.0,62.0,60.0,60.0,58.0,55.0,55.0,53.0,53.0,48.0,48.0,49.0,48.0,49.0,48.0,47.0,-1.0
2024-04-26,-1.0,1.0,1.0,1.0,12.0,12.0,9.0,10.0,12.0,10.0,7.0,2.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,0.0,0.0,7.0,6.0,7.0,9.0,10.0,9.0,13.0,14.0,12.0,30.0,34.0,34.0,111.0,111.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,6.0,3.0,2.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,0.0,0.0,11.0,11.0,14.0,15.0,15.0,15.0,15.0,14.0,12.0,12.0,8.0,7.0,3.0,50.0,55.0,55.0,56.0,55.0,54.0,-1.0
2024-04-24,-1.0,1.0,0.0,1.0,3.0,3.0,5.0,5.0,6.0,5.0,4.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0,2.0,1.0,5.0,5.0,6.0,6.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,-1.0
2024-04-23,-1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,21.0,22.0,0.0,0.0,19.0,19.0,18.0,21.0,18.0,18.0,21.0,20.0,18.0,18.0,13.0,16.0,16.0,15.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0
