date,Hamburg_Hbf.in,Hamburg_Hbf.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-29,-1.0,0.0,3.0,4.0,0.0,1.0,0.0,-1.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,14.0,19.0,19.0,18.0,17.0,19.0,17.0,20.0,18.0,18.0,-1.0
2024-04-27,-1.0,9.0,7.0,7.0,2.0,8.0,5.0,6.0,3.0,0.0,0.0,5.0,5.0,6.0,29.0,29.0,31.0,31.0,34.0,33.0,35.0,-1.0
2024-04-26,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0,1.0,-1.0
2024-04-22,-1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,1.0,-1.0
2024-04-21,-1.0,4.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,8.0,9.0,7.0,6.0,3.0,3.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,19.0,17.0,13.0,13.0,12.0,-1.0
2024-04-19,-1.0,3.0,6.0,6.0,2.0,3.0,2.0,15.0,-1.0,-1.0,53.0,53.0,60.0,60.0,58.0,58.0,53.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-18,-1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,6.0,5.0,2.0,1.0,1.0,0.0,3.0,-1.0
2024-04-17,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-16,-1.0,1.0,4.0,4.0,3.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,7.0,6.0,6.0,-1.0
2024-04-15,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-14,-1.0,1.0,5.0,5.0,1.0,3.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,-1.0
2024-04-13,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,1.0,0.0,3.0,3.0,2.0,-1.0
