date,Böblingen.in,Böblingen.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Herrenberg.in,Herrenberg.out
2024-05-30,0.0,0.0,-1.0,1.0,3.0,-1.0
2024-05-29,1.0,2.0,0.0,0.0,4.0,-1.0
2024-05-28,1.0,1.0,-1.0,1.0,0.0,0.0
2024-05-26,2.0,3.0,-1.0,0.0,8.0,-1.0
2024-05-25,1.0,1.0,-1.0,2.0,0.0,0.0
2024-05-24,0.0,0.0,-1.0,1.0,3.0,-1.0
2024-05-23,0.0,1.0,-1.0,1.0,3.0,-1.0
2024-05-22,0.0,1.0,-1.0,1.0,3.0,-1.0
2024-05-21,1.0,2.0,-1.0,1.0,9.0,-1.0
2024-05-20,4.0,4.0,-1.0,1.0,4.0,-1.0
2024-05-19,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-18,3.0,4.0,-1.0,2.0,9.0,-1.0
