date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-04-24,-1.0,6.0,0.0,0.0,11.0,10.0,10.0,3.0,12.0,0.0,0.0,3.0,4.0,4.0,6.0,4.0,10.0,8.0,6.0,-1.0
2024-04-23,-1.0,22.0,0.0,0.0,34.0,34.0,34.0,26.0,25.0,13.0,5.0,5.0,8.0,8.0,4.0,1.0,5.0,4.0,0.0,-1.0
2024-04-22,-1.0,5.0,0.0,0.0,3.0,4.0,4.0,1.0,13.0,2.0,17.0,6.0,0.0,1.0,28.0,27.0,30.0,31.0,32.0,-1.0
2024-04-21,-1.0,3.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,7.0,6.0,10.0,-1.0
2024-04-20,-1.0,4.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,8.0,7.0,6.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,5.0,3.0,8.0,7.0,4.0,-1.0
2024-04-18,-1.0,17.0,0.0,0.0,18.0,18.0,12.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,8.0,5.0,10.0,9.0,11.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,59.0,52.0,53.0,37.0,35.0,57.0,56.0,57.0,-1.0
2024-04-16,-1.0,5.0,0.0,0.0,6.0,6.0,5.0,2.0,6.0,0.0,35.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,-1.0,5.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,10.0,12.0,9.0,-1.0
2024-04-14,-1.0,3.0,0.0,0.0,8.0,9.0,6.0,2.0,12.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,-1.0
2024-04-13,-1.0,40.0,0.0,0.0,43.0,43.0,39.0,32.0,27.0,13.0,11.0,11.0,6.0,8.0,12.0,8.0,12.0,12.0,15.0,-1.0
2024-04-12,-1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,7.0,8.0,1.0,1.0,8.0,5.0,9.0,8.0,4.0,-1.0
