date,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,0.0,0.0,5.0,4.0,5.0,2.0,2.0,0.0,1.0,0.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-25,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-24,-1.0,1.0,1.0,2.0,1.0,3.0,8.0,8.0,6.0,6.0,6.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-22,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-21,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,69.0,68.0,-1.0
2024-05-20,-1.0,2.0,0.0,4.0,5.0,5.0,3.0,3.0,1.0,9.0,12.0,-1.0
2024-05-19,-1.0,11.0,7.0,8.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-05-18,-1.0,0.0,5.0,6.0,6.0,6.0,4.0,5.0,3.0,3.0,4.0,-1.0
2024-05-17,-1.0,0.0,31.0,32.0,29.0,29.0,33.0,34.0,30.0,30.0,29.0,-1.0
2024-05-16,-1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,1.0,5.0,6.0,4.0,8.0,6.0,6.0,5.0,5.0,2.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,-1.0
