date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-23,-1.0,0.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,8.0,8.0
2024-04-22,-1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,11.0,11.0,12.0,8.0
2024-04-21,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,19.0,18.0,19.0,20.0,31.0,-1.0
2024-04-20,-1.0,1.0,3.0,2.0,4.0,4.0,26.0,25.0,21.0,23.0,22.0,21.0
2024-04-19,-1.0,4.0,4.0,3.0,0.0,2.0,7.0,6.0,4.0,4.0,4.0,4.0
2024-04-18,-1.0,6.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0
2024-04-17,-1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,13.0,13.0
2024-04-16,-1.0,0.0,4.0,3.0,2.0,1.0,6.0,5.0,6.0,7.0,11.0,6.0
2024-04-15,-1.0,3.0,1.0,1.0,2.0,1.0,5.0,4.0,7.0,32.0,50.0,50.0
2024-04-14,-1.0,1.0,0.0,1.0,0.0,1.0,12.0,10.0,18.0,18.0,20.0,17.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,10.0,5.0
2024-04-11,-1.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,8.0,8.0,9.0,9.0
2024-04-10,-1.0,0.0,2.0,2.0,1.0,1.0,7.0,6.0,11.0,11.0,10.0,10.0
2024-04-09,-1.0,12.0,11.0,10.0,11.0,9.0,14.0,16.0,16.0,17.0,18.0,17.0
2024-04-08,-1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,5.0,5.0
2024-04-07,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,19.0,16.0
2024-04-06,-1.0,11.0,8.0,9.0,10.0,7.0,18.0,17.0,14.0,13.0,40.0,40.0
2024-04-05,-1.0,7.0,10.0,10.0,10.0,8.0,5.0,5.0,4.0,5.0,13.0,13.0
2024-04-04,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,8.0,20.0,20.0
2024-04-03,-1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,8.0,8.0,11.0,11.0
2024-04-02,-1.0,8.0,7.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,7.0,7.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0
