date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out
2024-05-09,-1.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-08,-1.0,0.0,-1.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-07,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-06,-1.0,1.0,1.0,1.0,4.0,2.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,6.0,1.0,-1.0,0.0,0.0,0.0,0.0
2024-05-05,-1.0,1.0,-1.0,1.0,4.0,2.0,0.0,-1.0,6.0,6.0,4.0,4.0,4.0,5.0,7.0,-1.0,0.0,0.0,0.0,0.0
2024-05-04,-1.0,1.0,-1.0,6.0,10.0,8.0,6.0,7.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,-1.0,0.0,0.0,0.0,0.0
2024-05-02,-1.0,2.0,-1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,-1.0,-1.0,7.0,-1.0,0.0,0.0,0.0,0.0
2024-04-30,-1.0,0.0,-1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-29,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-28,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,-1.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,-1.0,3.0,3.0,1.0,0.0,-1.0,1.0,1.0,0.0,6.0,7.0,7.0,4.0,-1.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,-1.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-25,-1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,-1.0,0.0,0.0,0.0,0.0
