date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,1.0,4.0,4.0,4.0,3.0,12.0,12.0,13.0,12.0,11.0,12.0,0.0,0.0,38.0,30.0,34.0,35.0,34.0,35.0,34.0,33.0,35.0,-1.0
2024-05-29,-1.0,1.0,7.0,7.0,6.0,6.0,8.0,7.0,9.0,12.0,11.0,13.0,0.0,0.0,16.0,15.0,19.0,19.0,14.0,14.0,17.0,16.0,14.0,-1.0
2024-05-28,-1.0,0.0,4.0,3.0,3.0,2.0,5.0,5.0,7.0,8.0,8.0,9.0,0.0,0.0,7.0,9.0,11.0,12.0,11.0,11.0,20.0,20.0,25.0,-1.0
2024-05-27,-1.0,0.0,2.0,3.0,2.0,4.0,7.0,7.0,12.0,13.0,15.0,15.0,0.0,0.0,16.0,33.0,28.0,29.0,37.0,37.0,39.0,38.0,41.0,-1.0
2024-05-26,-1.0,1.0,2.0,3.0,3.0,3.0,8.0,8.0,9.0,11.0,11.0,11.0,0.0,0.0,16.0,20.0,27.0,28.0,24.0,26.0,34.0,33.0,28.0,-1.0
2024-05-25,-1.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,4.0,5.0,4.0,4.0,0.0,0.0,3.0,15.0,115.0,117.0,122.0,123.0,131.0,130.0,128.0,-1.0
2024-05-24,-1.0,0.0,0.0,10.0,9.0,10.0,12.0,12.0,10.0,16.0,16.0,17.0,0.0,0.0,16.0,18.0,24.0,25.0,36.0,37.0,37.0,37.0,8.0,-1.0
2024-05-23,-1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,7.0,6.0,3.0,4.0,5.0,6.0,5.0,4.0,3.0,-1.0
2024-05-22,-1.0,0.0,2.0,2.0,3.0,10.0,6.0,6.0,13.0,15.0,16.0,16.0,0.0,0.0,31.0,11.0,26.0,26.0,21.0,21.0,20.0,20.0,15.0,-1.0
2024-05-21,-1.0,0.0,3.0,3.0,4.0,3.0,7.0,8.0,12.0,14.0,15.0,16.0,0.0,0.0,20.0,28.0,34.0,35.0,36.0,37.0,40.0,41.0,43.0,-1.0
2024-05-20,-1.0,0.0,0.0,-1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,13.0,12.0,15.0,16.0,18.0,18.0,20.0,21.0,6.0,-1.0
2024-05-19,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,-1.0
2024-05-18,-1.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,4.0,6.0,6.0,7.0,10.0,18.0,22.0,22.0,18.0,-1.0
2024-05-17,-1.0,0.0,4.0,3.0,0.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,12.0,14.0,10.0,11.0,7.0,7.0,4.0,3.0,7.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,33.0,33.0,0.0,0.0,39.0,43.0,38.0,38.0,51.0,52.0,54.0,54.0,62.0,-1.0
2024-05-14,-1.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,6.0,8.0,17.0,17.0,25.0,26.0,30.0,29.0,22.0,-1.0
2024-05-13,-1.0,15.0,17.0,17.0,17.0,16.0,11.0,11.0,11.0,11.0,13.0,13.0,0.0,0.0,23.0,29.0,27.0,27.0,23.0,23.0,28.0,29.0,25.0,-1.0
2024-05-12,-1.0,0.0,0.0,-1.0,0.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,14.0,12.0,11.0,12.0,57.0,58.0,65.0,68.0,59.0,-1.0
2024-05-11,-1.0,1.0,5.0,5.0,6.0,5.0,7.0,7.0,8.0,8.0,8.0,9.0,0.0,0.0,11.0,10.0,11.0,11.0,7.0,6.0,5.0,4.0,1.0,-1.0
2024-05-10,-1.0,0.0,0.0,-1.0,0.0,1.0,8.0,7.0,7.0,8.0,10.0,10.0,0.0,0.0,15.0,18.0,20.0,21.0,22.0,23.0,38.0,38.0,40.0,-1.0
2024-05-09,-1.0,0.0,2.0,3.0,5.0,1.0,4.0,4.0,13.0,7.0,7.0,6.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,6.0,39.0,-1.0
