date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out
2024-04-14,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,-1.0
2024-04-13,-1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,-1.0
2024-04-12,-1.0,3.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0
2024-04-11,-1.0,3.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,0.0,0.0
2024-04-10,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,0.0,0.0
2024-04-09,-1.0,8.0,-1.0,0.0,3.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,13.0,-1.0
2024-04-07,-1.0,6.0,-1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-06,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.0
2024-04-05,-1.0,8.0,-1.0,0.0,-1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,-1.0
2024-04-04,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,9.0,-1.0
2024-04-03,-1.0,7.0,-1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,22.0,20.0,14.0,-1.0
2024-04-02,-1.0,5.0,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-1.0
2024-04-01,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
