date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-05,-1.0,2.0,-1.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,10.0,14.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,-1.0
2024-05-04,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,3.0,2.0,7.0,9.0,6.0,8.0,6.0,7.0,9.0,-1.0
2024-05-03,-1.0,0.0,1.0,1.0,10.0,11.0,8.0,8.0,0.0,0.0,8.0,8.0,4.0,4.0,26.0,27.0,0.0,0.0,0.0,0.0,10.0,10.0,7.0,9.0,7.0,6.0,15.0,19.0,17.0,18.0,16.0,17.0,16.0,-1.0
2024-05-02,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,7.0,4.0,3.0,13.0,14.0,11.0,12.0,10.0,10.0,11.0,-1.0
2024-04-30,-1.0,10.0,11.0,10.0,14.0,14.0,13.0,13.0,0.0,0.0,12.0,11.0,7.0,8.0,12.0,13.0,10.0,12.0,17.0,18.0,19.0,20.0,16.0,18.0,19.0,19.0,19.0,20.0,19.0,20.0,18.0,30.0,33.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,7.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,8.0,9.0,7.0,6.0,7.0,8.0,6.0,6.0,5.0,6.0,8.0,-1.0
2024-04-27,-1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,9.0,10.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,5.0,5.0,4.0,10.0,11.0,8.0,9.0,7.0,7.0,7.0,-1.0
2024-04-26,-1.0,1.0,-1.0,1.0,4.0,4.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,12.0,12.0,12.0,11.0,13.0,11.0,15.0,-1.0,-1.0,25.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,45.0,44.0,0.0,0.0,0.0,0.0,44.0,45.0,41.0,41.0,39.0,43.0,42.0,44.0,41.0,42.0,40.0,40.0,39.0,-1.0
