date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-05,-1.0,2.0,4.0,6.0,7.0,8.0,9.0,10.0,8.0,8.0,5.0,5.0,1.0,5.0,3.0,3.0,4.0,4.0,1.0,-1.0
2024-05-04,-1.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,1.0,5.0,4.0,7.0,7.0,9.0,9.0,7.0,8.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,0.0,9.0,8.0,11.0,11.0,12.0,13.0,14.0,15.0,12.0,13.0,14.0,11.0,11.0,12.0,12.0,11.0,9.0,-1.0
2024-04-26,-1.0,3.0,5.0,5.0,6.0,6.0,7.0,8.0,7.0,7.0,3.0,4.0,2.0,3.0,5.0,6.0,7.0,8.0,8.0,-1.0
2024-04-24,-1.0,2.0,0.0,0.0,6.0,6.0,8.0,8.0,7.0,8.0,4.0,4.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,4.0,4.0,5.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,9.0,6.0,6.0,4.0,-1.0
2024-04-22,-1.0,0.0,6.0,5.0,8.0,8.0,11.0,11.0,10.0,11.0,7.0,7.0,3.0,6.0,4.0,5.0,4.0,4.0,2.0,-1.0
2024-04-21,-1.0,1.0,0.0,16.0,20.0,19.0,21.0,21.0,21.0,21.0,18.0,20.0,20.0,17.0,13.0,13.0,12.0,12.0,10.0,-1.0
2024-04-20,-1.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,-1.0
2024-04-18,-1.0,3.0,7.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,8.0,9.0,8.0,7.0,-1.0
2024-04-17,-1.0,30.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-15,-1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,1.0,0.0,1.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-13,-1.0,4.0,0.0,1.0,3.0,2.0,5.0,6.0,5.0,5.0,4.0,23.0,62.0,62.0,65.0,65.0,68.0,67.0,66.0,-1.0
2024-04-12,-1.0,62.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,8.0,6.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-11,-1.0,56.0,13.0,13.0,14.0,13.0,15.0,16.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-09,-1.0,57.0,12.0,12.0,14.0,14.0,16.0,17.0,20.0,20.0,19.0,19.0,20.0,24.0,22.0,22.0,22.0,22.0,21.0,-1.0
2024-04-08,-1.0,7.0,0.0,1.0,2.0,2.0,4.0,5.0,4.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-04-07,-1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-06,-1.0,6.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,-1.0
2024-04-05,-1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,8.0,25.0,23.0,23.0,24.0,-1.0
2024-04-04,-1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,6.0,7.0,9.0,7.0,6.0,4.0,-1.0
2024-04-03,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,1.0,0.0,1.0,14.0,13.0,12.0,13.0,12.0,12.0,9.0,8.0,7.0,4.0,2.0,3.0,1.0,1.0,0.0,-1.0
2024-04-01,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,-1.0
