date,München_Hbf.in,München_Hbf.out,Berchtesgaden_Hbf.in,Berchtesgaden_Hbf.out,Bischofswiesen.in,Bischofswiesen.out,Bayerisch_Gmain.in,Bayerisch_Gmain.out,Bad_Reichenhall-Kirchberg.in,Bad_Reichenhall-Kirchberg.out,Bad_Reichenhall.in,Bad_Reichenhall.out,Piding.in,Piding.out,Hammerau.in,Hammerau.out,Ainring.in,Ainring.out,Freilassing.in,Freilassing.out,Traunstein.in,Traunstein.out,Übersee.in,Übersee.out,Prien_am_Chiemsee.in,Prien_am_Chiemsee.out,Rosenheim.in,Rosenheim.out,München_Ost.in,München_Ost.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Donauwörth.in,Donauwörth.out,Treuchtlingen.in,Treuchtlingen.out,Ansbach.in,Ansbach.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-19,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,9.0,9.0,4.0,4.0,6.0,7.0,5.0,7.0,2.0,1.0,2.0,0.0,54.0,54.0,50.0,52.0,27.0,25.0,24.0,23.0,25.0,26.0,18.0,18.0,14.0,15.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,-1.0
2024-05-18,0.0,0.0,-1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,5.0,6.0,5.0,4.0,5.0,4.0,2.0,6.0,6.0,7.0,6.0,5.0,5.0,4.0,10.0,14.0,16.0,19.0,19.0,23.0,22.0,25.0,27.0,22.0,23.0,16.0,17.0,14.0,14.0,11.0,11.0,9.0,25.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,12.0,10.0,10.0,15.0,14.0,19.0,18.0,18.0,-1.0
2024-05-17,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,8.0,10.0,6.0,6.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,7.0,-1.0
2024-05-16,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,7.0,8.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,10.0,9.0,13.0,7.0,8.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,8.0,7.0,5.0,8.0,6.0,7.0,0.0,1.0,1.0,2.0,2.0,4.0,7.0,7.0,7.0,7.0,7.0,-1.0
2024-05-15,0.0,0.0,-1.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,10.0,11.0,19.0,18.0,23.0,26.0,32.0,33.0,28.0,29.0,23.0,23.0,28.0,29.0,26.0,26.0,21.0,22.0,18.0,16.0,16.0,15.0,13.0,14.0,6.0,7.0,2.0,2.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,-1.0
2024-05-14,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,19.0,22.0,93.0,125.0,127.0,123.0,124.0,117.0,117.0,120.0,119.0,124.0,127.0,123.0,123.0,124.0,123.0,121.0,132.0,131.0,131.0,124.0,125.0,99.0,98.0,124.0,123.0,129.0,128.0,-1.0,-1.0,-1.0,-1.0
2024-05-13,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,7.0,8.0,5.0,5.0,2.0,1.0,2.0,7.0,14.0,15.0,13.0,15.0,9.0,6.0,8.0,7.0,10.0,11.0,4.0,3.0,0.0,0.0,0.0,-1.0,3.0,3.0,6.0,6.0,5.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,18.0,18.0,14.0,16.0,-1.0,-1.0,20.0,20.0,19.0,18.0,13.0,13.0,15.0,12.0,13.0,20.0,29.0,30.0,23.0,24.0,20.0,20.0,18.0,16.0,24.0,23.0,29.0,30.0,29.0,-1.0
2024-05-10,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0,8.0,8.0,14.0,16.0,11.0,12.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,5.0,11.0,9.0,4.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0,-1.0
2024-05-09,-1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,15.0,16.0,18.0,17.0,24.0,25.0,23.0,24.0,27.0,28.0,26.0,26.0,22.0,23.0,19.0,20.0,14.0,16.0,15.0,15.0,13.0,13.0,8.0,8.0,4.0,4.0,7.0,6.0,9.0,8.0,7.0,-1.0
2024-05-07,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,9.0,13.0,12.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,8.0,54.0,53.0,64.0,70.0,71.0,66.0,67.0,71.0,72.0,73.0,72.0,70.0,71.0,67.0,68.0,65.0,64.0,59.0,58.0,60.0,61.0,55.0,57.0,54.0,55.0,52.0,55.0,59.0,57.0,-1.0,-1.0,-1.0,-1.0
2024-05-06,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,6.0,7.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,6.0,5.0,7.0,5.0,7.0,-1.0
2024-05-05,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,19.0,24.0,22.0,20.0,21.0,26.0,27.0,20.0,19.0,15.0,15.0,14.0,13.0,17.0,17.0,16.0,16.0,21.0,-1.0
2024-05-03,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,31.0,30.0,30.0,29.0,29.0,28.0,27.0,27.0,26.0,26.0,28.0,27.0,28.0,43.0,52.0,54.0,51.0,52.0,46.0,47.0,51.0,52.0,54.0,58.0,54.0,54.0,61.0,59.0,59.0,63.0,62.0,64.0,56.0,57.0,54.0,54.0,49.0,50.0,51.0,51.0,-1.0,-1.0,-1.0,-1.0
2024-04-20,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,26.0,27.0,23.0,23.0,33.0,32.0,34.0,35.0,34.0,34.0,30.0,28.0,25.0,24.0,25.0,26.0,20.0,21.0,16.0,17.0,15.0,15.0,19.0,19.0,27.0,27.0,30.0,-1.0
2024-04-17,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,7.0,6.0,8.0,11.0,11.0,10.0,8.0,8.0,10.0,9.0,14.0,14.0,10.0,19.0,22.0,23.0,23.0,23.0,21.0,21.0,24.0,23.0,22.0,23.0,19.0,20.0,20.0,17.0,18.0,17.0,24.0,24.0,17.0,16.0,18.0,18.0,17.0,18.0,20.0,19.0,23.0,22.0,22.0,-1.0
2024-04-16,0.0,0.0,-1.0,1.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,6.0,2.0,3.0,16.0,16.0,23.0,23.0,19.0,19.0,24.0,24.0,24.0,33.0,34.0,35.0,51.0,49.0,48.0,47.0,48.0,49.0,45.0,46.0,42.0,42.0,42.0,42.0,44.0,44.0,44.0,43.0,45.0,-1.0
2024-04-15,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,7.0,7.0,5.0,12.0,15.0,19.0,20.0,20.0,13.0,13.0,18.0,20.0,19.0,20.0,12.0,16.0,12.0,10.0,7.0,6.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,8.0,8.0,7.0,10.0,-1.0
2024-04-14,0.0,0.0,-1.0,1.0,3.0,3.0,5.0,4.0,4.0,7.0,7.0,6.0,7.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,6.0,4.0,24.0,26.0,26.0,27.0,31.0,30.0,29.0,28.0,27.0,32.0,31.0,27.0,29.0,38.0,35.0,39.0,39.0,38.0,38.0,33.0,33.0,30.0,29.0,28.0,27.0,32.0,32.0,34.0,33.0,33.0,-1.0
2024-04-13,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0,6.0,6.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,24.0,26.0,24.0,24.0,23.0,23.0,23.0,22.0,26.0,25.0,20.0,21.0,23.0,20.0,19.0,18.0,17.0,18.0,10.0,10.0,6.0,6.0,3.0,2.0,5.0,6.0,6.0,5.0,4.0,-1.0
2024-04-12,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,10.0,16.0,18.0,19.0,20.0,16.0,16.0,20.0,21.0,30.0,32.0,30.0,36.0,38.0,36.0,32.0,39.0,37.0,38.0,33.0,33.0,29.0,30.0,27.0,26.0,30.0,30.0,30.0,29.0,28.0,-1.0
2024-04-11,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,6.0,7.0,6.0,5.0,5.0,4.0,5.0,16.0,17.0,18.0,17.0,16.0,24.0,27.0,28.0,26.0,26.0,19.0,19.0,24.0,24.0,21.0,21.0,17.0,19.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0
2024-04-10,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,10.0,10.0,8.0,9.0,2.0,2.0,4.0,5.0,6.0,6.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,-1.0
2024-04-09,0.0,0.0,-1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,9.0,8.0,7.0,7.0,1.0,2.0,1.0,4.0,6.0,6.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,-1.0
2024-04-08,0.0,0.0,-1.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,13.0,21.0,20.0,19.0,18.0,18.0,17.0,15.0,15.0,12.0,12.0,12.0,12.0,7.0,7.0,12.0,12.0,11.0,11.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,6.0,35.0,34.0,38.0,39.0,38.0,40.0,34.0,33.0,30.0,30.0,34.0,33.0,37.0,38.0,37.0,40.0,42.0,-1.0
2024-04-07,0.0,0.0,-1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,20.0,19.0,18.0,18.0,17.0,17.0,16.0,18.0,18.0,19.0,19.0,20.0,19.0,18.0,18.0,22.0,23.0,21.0,22.0,24.0,25.0,26.0,26.0,24.0,25.0,21.0,22.0,18.0,17.0,16.0,16.0,15.0,15.0,9.0,9.0,5.0,4.0,3.0,2.0,8.0,7.0,12.0,11.0,19.0,-1.0
2024-04-06,0.0,0.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,18.0,20.0,19.0,19.0,19.0,11.0,11.0,8.0,7.0,6.0,8.0,3.0,4.0,5.0,3.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,6.0,7.0,6.0,6.0,5.0,-1.0
2024-04-05,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,1.0,25.0,27.0,28.0,25.0,25.0,21.0,21.0,30.0,31.0,28.0,29.0,25.0,26.0,23.0,21.0,17.0,17.0,15.0,16.0,8.0,7.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,-1.0
2024-04-04,0.0,0.0,-1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,6.0,8.0,9.0,9.0,9.0,7.0,7.0,6.0,6.0,4.0,3.0,4.0,4.0,3.0,23.0,25.0,25.0,24.0,25.0,19.0,19.0,27.0,26.0,26.0,25.0,21.0,22.0,21.0,19.0,16.0,15.0,14.0,15.0,8.0,9.0,4.0,4.0,1.0,1.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-04-03,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,21.0,22.0,20.0,20.0,14.0,13.0,16.0,16.0,21.0,20.0,18.0,19.0,16.0,14.0,10.0,9.0,8.0,9.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,4.0,6.0,4.0,4.0,-1.0
2024-04-02,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,8.0,7.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,22.0,23.0,22.0,22.0,16.0,17.0,20.0,18.0,21.0,22.0,18.0,19.0,16.0,14.0,11.0,11.0,10.0,11.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,5.0,4.0,-1.0
2024-04-01,0.0,0.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,25.0,27.0,25.0,25.0,23.0,23.0,26.0,26.0,24.0,25.0,21.0,24.0,21.0,18.0,16.0,17.0,15.0,16.0,9.0,8.0,4.0,4.0,1.0,0.0,2.0,3.0,3.0,6.0,7.0,-1.0
