date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Eisenach.in,Eisenach.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-07,-1.0,18.0,-1.0,21.0,22.0,22.0,17.0,18.0,17.0,17.0,20.0,19.0,18.0,15.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,20.0,-1.0
2024-05-06,-1.0,18.0,-1.0,18.0,22.0,21.0,14.0,14.0,14.0,13.0,14.0,13.0,13.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,20.0,-1.0
2024-05-05,-1.0,1.0,-1.0,4.0,7.0,7.0,35.0,35.0,36.0,35.0,37.0,36.0,36.0,34.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,20.0,-1.0
2024-05-04,-1.0,35.0,-1.0,38.0,-1.0,40.0,35.0,36.0,42.0,42.0,46.0,45.0,44.0,42.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,50.0,-1.0
2024-05-03,-1.0,36.0,-1.0,36.0,-1.0,35.0,31.0,32.0,32.0,31.0,36.0,35.0,32.0,30.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,40.0,-1.0
2024-05-02,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-01,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-30,0.0,0.0,-1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,23.0,16.0,16.0,14.0,14.0,0.0,0.0,13.0,13.0,7.0,-1.0
2024-04-29,0.0,0.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-28,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,12.0,-1.0
