date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,7.0,2.0,2.0,2.0,2.0,8.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,12.0,2.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,1.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,5.0,5.0,6.0,5.0,5.0,1.0,2.0,6.0,6.0,4.0,4.0,3.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,3.0,1.0,4.0,5.0,3.0,5.0,8.0,7.0,4.0,5.0,8.0,7.0,4.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,0.0,0.0,6.0,20.0,15.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,-1.0
2024-04-29,-1.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,3.0,4.0,6.0,5.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,16.0,6.0,6.0,6.0,7.0,8.0,36.0,36.0,39.0,38.0,44.0,45.0,44.0,-1.0
2024-04-26,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,3.0,0.0,0.0,9.0,11.0,9.0,11.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,7.0,6.0,5.0,8.0,7.0,14.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,16.0,18.0,18.0,16.0,13.0,2.0,-1.0,-1.0,54.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,51.0,-1.0
