date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-29,-1.0,14.0,10.0,11.0,-1.0,-1.0,14.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-04-28,-1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,4.0,7.0,6.0,8.0,8.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,7.0,7.0,7.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,36.0,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
2024-04-25,-1.0,3.0,4.0,4.0,-1.0,-1.0,126.0,128.0,72.0,73.0,84.0,85.0,73.0,89.0,0.0,0.0,79.0,79.0,0.0,0.0,110.0,-1.0
2024-04-24,-1.0,0.0,1.0,3.0,13.0,20.0,19.0,21.0,13.0,13.0,8.0,8.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,8.0,-1.0
2024-04-23,-1.0,3.0,0.0,0.0,3.0,3.0,6.0,10.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,4.0,5.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,2.0,2.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-04-19,-1.0,0.0,0.0,10.0,48.0,48.0,47.0,49.0,53.0,53.0,48.0,48.0,0.0,0.0,0.0,0.0,42.0,41.0,0.0,0.0,65.0,-1.0
2024-04-18,-1.0,7.0,4.0,4.0,7.0,5.0,6.0,6.0,45.0,45.0,46.0,45.0,0.0,0.0,0.0,0.0,44.0,42.0,0.0,0.0,41.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,14.0,18.0,19.0,24.0,28.0,12.0,14.0,-1.0,-1.0,0.0,0.0,0.0,0.0,86.0,85.0,0.0,0.0,91.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,6.0,6.0,8.0,15.0,7.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,20.0,-1.0
2024-04-15,-1.0,3.0,0.0,1.0,2.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,0.0,3.0,3.0,7.0,5.0,5.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-13,-1.0,3.0,2.0,8.0,11.0,9.0,11.0,18.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,-1.0
2024-04-12,-1.0,6.0,2.0,2.0,9.0,10.0,11.0,12.0,10.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,6.0,-1.0
2024-04-11,-1.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,-1.0
2024-04-10,-1.0,2.0,0.0,1.0,3.0,3.0,6.0,8.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-09,-1.0,2.0,0.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-04-08,-1.0,2.0,0.0,1.0,2.0,6.0,7.0,29.0,25.0,25.0,22.0,20.0,0.0,0.0,0.0,0.0,17.0,16.0,0.0,0.0,27.0,-1.0
2024-04-07,-1.0,0.0,3.0,3.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,5.0,-1.0
2024-04-06,-1.0,6.0,12.0,12.0,20.0,18.0,18.0,20.0,12.0,12.0,9.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,-1.0
2024-04-05,-1.0,2.0,0.0,1.0,4.0,4.0,5.0,7.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,-1.0
2024-04-04,0.0,0.0,-1.0,4.0,3.0,2.0,6.0,7.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-03,0.0,0.0,-1.0,1.0,13.0,11.0,13.0,17.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,-1.0
2024-04-02,0.0,0.0,-1.0,1.0,0.0,0.0,4.0,5.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-01,0.0,0.0,-1.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,-1.0
