date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-03,-1.0,1.0,6.0,7.0,11.0,9.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-05-02,-1.0,1.0,0.0,0.0,9.0,10.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,22.0,16.0,6.0,8.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-04-30,-1.0,35.0,34.0,34.0,40.0,42.0,46.0,48.0,13.0,15.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0
2024-04-29,-1.0,0.0,4.0,4.0,12.0,11.0,11.0,13.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0
2024-04-28,-1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,1.0,1.0,5.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-04-25,-1.0,1.0,0.0,0.0,17.0,15.0,19.0,21.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,36.0,37.0,38.0,46.0,-1.0
2024-04-24,-1.0,4.0,1.0,1.0,23.0,20.0,20.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,-1.0
2024-04-23,-1.0,3.0,0.0,0.0,5.0,2.0,6.0,8.0,0.0,0.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,19.0,-1.0
2024-04-22,-1.0,12.0,8.0,8.0,13.0,13.0,16.0,17.0,0.0,0.0,37.0,37.0,36.0,31.0,26.0,25.0,23.0,23.0,19.0,20.0,17.0,18.0,19.0,18.0,18.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,11.0,12.0,13.0,-1.0
2024-04-20,-1.0,4.0,0.0,1.0,1.0,2.0,5.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,8.0,-1.0
2024-04-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,0.0,7.0,9.0,4.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,8.0,9.0,10.0,-1.0
2024-04-18,-1.0,28.0,25.0,25.0,-1.0,-1.0,25.0,26.0,0.0,0.0,15.0,16.0,11.0,7.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,4.0,6.0,5.0,5.0,-1.0
2024-04-17,-1.0,30.0,37.0,38.0,-1.0,-1.0,43.0,44.0,0.0,0.0,36.0,36.0,-1.0,-1.0,36.0,35.0,32.0,33.0,27.0,27.0,25.0,25.0,24.0,24.0,24.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,0.0,0.0,13.0,13.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,3.0,1.0,1.0,6.0,5.0,6.0,6.0,0.0,0.0,65.0,64.0,55.0,50.0,49.0,49.0,54.0,54.0,49.0,50.0,48.0,48.0,49.0,48.0,46.0,-1.0
2024-04-14,-1.0,4.0,2.0,1.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,7.0,-1.0
2024-04-13,-1.0,2.0,2.0,2.0,7.0,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-12,-1.0,2.0,0.0,0.0,3.0,4.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,10.0,8.0,9.0,3.0,4.0,3.0,5.0,4.0,5.0,6.0,-1.0
2024-04-11,-1.0,17.0,13.0,15.0,28.0,27.0,27.0,32.0,0.0,0.0,30.0,31.0,31.0,26.0,21.0,20.0,19.0,20.0,14.0,15.0,14.0,15.0,13.0,13.0,14.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,9.0,7.0,7.0,7.0,-1.0
2024-04-09,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,-1.0
2024-04-07,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,-1.0
2024-04-06,-1.0,5.0,6.0,8.0,9.0,8.0,11.0,13.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,7.0,4.0,5.0,6.0,7.0,8.0,8.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-04-04,0.0,0.0,-1.0,3.0,5.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-04-03,0.0,0.0,-1.0,11.0,17.0,19.0,19.0,19.0,0.0,0.0,30.0,28.0,25.0,20.0,14.0,11.0,9.0,10.0,4.0,5.0,2.0,3.0,2.0,3.0,6.0,-1.0
2024-04-02,0.0,0.0,-1.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,21.0,21.0,18.0,15.0,7.0,6.0,6.0,7.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,-1.0
2024-04-01,0.0,0.0,-1.0,15.0,16.0,15.0,15.0,18.0,0.0,0.0,20.0,19.0,4.0,7.0,5.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.0
