date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ansbach.in,Ansbach.out,Crailsheim.in,Crailsheim.out,Ellwangen.in,Ellwangen.out,Aalen_Hbf.in,Aalen_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Mühlacker.in,Mühlacker.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-04-28,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-26,-1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-24,-1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-22,-1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-19,-1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-18,-1.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-17,-1.0,0.0,7.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-16,-1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,14.0,15.0,14.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-15,-1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,13.0,15.0,14.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-04-14,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,5.0,7.0,11.0,12.0,13.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-04-13,-1.0,43.0,66.0,67.0,74.0,73.0,77.0,77.0,77.0,78.0,80.0,80.0,82.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-11,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-10,-1.0,1.0,1.0,1.0,0.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-08,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-07,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,11.0,10.0,5.0,5.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,9.0,11.0,11.0,11.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
