date,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Augustfehn.in,Augustfehn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Hude.in,Hude.out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Verden(Aller).in,Verden(Aller).out,Nienburg(Weser).in,Nienburg(Weser).out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Peine.in,Peine.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Helmstedt.in,Helmstedt.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out
2024-05-09,-1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-05-08,-1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,1.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,18.0,9.0,8.0,11.0,14.0,13.0,11.0,9.0,11.0,11.0,11.0,10.0,0.0,0.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-06,-1.0,0.0,1.0,13.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-01,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-24,-1.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,7.0,9.0,8.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-23,-1.0,0.0,2.0,1.0,1.0,13.0,14.0,14.0,14.0,14.0,14.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,7.0,6.0,6.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-09,-1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,8.0,7.0,7.0,7.0,9.0,9.0,6.0,-1.0
2024-04-08,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,15.0,13.0,11.0,11.0,11.0,13.0,13.0,10.0,-1.0
2024-04-07,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,-1.0
2024-04-06,-1.0,0.0,1.0,1.0,0.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,0.0,-1.0
2024-04-04,-1.0,0.0,1.0,1.0,0.0,1.0,9.0,9.0,9.0,10.0,9.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,12.0,11.0,10.0,10.0,10.0,14.0,13.0,16.0,-1.0
2024-04-03,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,5.0,4.0,-1.0,-1.0,9.0,8.0,8.0,9.0,6.0,-1.0
2024-04-02,-1.0,5.0,3.0,3.0,1.0,1.0,0.0,9.0,9.0,8.0,7.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,18.0,13.0,12.0,11.0,10.0,5.0,5.0,2.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,4.0,-1.0
