date,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,-1.0,2.0,0.0,0.0,0.0,0.0,10.0,12.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,5.0,7.0,-1.0
2024-05-28,-1.0,20.0,0.0,0.0,0.0,0.0,20.0,21.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,10.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,10.0,8.0,7.0,9.0,9.0,9.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,15.0,15.0,18.0,-1.0
2024-05-21,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,5.0,-1.0
2024-05-20,-1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-05-19,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,-1.0
2024-05-18,-1.0,6.0,8.0,8.0,0.0,1.0,12.0,11.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,-1.0
2024-05-17,-1.0,1.0,15.0,14.0,8.0,8.0,12.0,10.0,9.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,0.0,-1.0,1.0,1.0,1.0,-1.0
2024-05-16,-1.0,1.0,10.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,3.0,4.0,-1.0
2024-05-15,-1.0,3.0,8.0,8.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-05-14,-1.0,2.0,5.0,4.0,2.0,1.0,4.0,1.0,1.0,8.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-12,-1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,6.0,-1.0
2024-05-11,-1.0,1.0,22.0,21.0,15.0,14.0,20.0,20.0,37.0,38.0,35.0,36.0,35.0,35.0,37.0,37.0,37.0,39.0,35.0,34.0,40.0,38.0,38.0,-1.0
2024-05-10,-1.0,2.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0
2024-05-09,-1.0,1.0,13.0,14.0,6.0,6.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0
