date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,0.0,1.0,1.0,8.0,7.0,8.0,8.0,6.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-1.0
2024-05-29,-1.0,2.0,7.0,7.0,7.0,7.0,10.0,10.0,9.0,8.0,6.0,5.0,11.0,12.0,0.0,0.0,14.0,13.0,13.0,-1.0
2024-05-27,-1.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,-1.0,81.0,82.0,2.0,1.0,88.0,87.0,0.0,0.0,96.0,95.0,96.0,-1.0
2024-05-26,-1.0,1.0,1.0,2.0,8.0,9.0,14.0,14.0,2.0,9.0,12.0,13.0,43.0,44.0,0.0,0.0,45.0,44.0,46.0,-1.0
2024-05-25,-1.0,0.0,9.0,9.0,18.0,18.0,17.0,17.0,15.0,16.0,19.0,18.0,6.0,7.0,0.0,0.0,10.0,9.0,9.0,-1.0
2024-05-24,-1.0,0.0,6.0,7.0,8.0,8.0,7.0,7.0,12.0,13.0,12.0,13.0,8.0,10.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-23,-1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,23.0,23.0,35.0,35.0,29.0,29.0,0.0,0.0,10.0,9.0,27.0,-1.0
2024-05-22,-1.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,0.0,1.0,2.0,0.0,1.0,8.0,8.0,7.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,-1.0
2024-05-20,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0
2024-05-18,-1.0,-1.0,-1.0,0.0,10.0,10.0,12.0,12.0,12.0,12.0,19.0,21.0,21.0,20.0,0.0,0.0,23.0,23.0,25.0,-1.0
2024-05-17,-1.0,1.0,69.0,79.0,88.0,88.0,88.0,89.0,18.0,17.0,17.0,54.0,87.0,86.0,0.0,0.0,86.0,85.0,85.0,-1.0
2024-05-16,-1.0,0.0,7.0,8.0,16.0,16.0,16.0,16.0,18.0,17.0,23.0,23.0,13.0,13.0,0.0,0.0,28.0,-1.0,11.0,-1.0
2024-05-15,-1.0,1.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,-1.0
2024-05-14,0.0,0.0,-1.0,11.0,11.0,11.0,12.0,12.0,22.0,22.0,26.0,27.0,20.0,20.0,0.0,0.0,23.0,19.0,22.0,-1.0
2024-05-13,0.0,0.0,-1.0,9.0,11.0,10.0,14.0,15.0,23.0,23.0,25.0,25.0,24.0,24.0,0.0,0.0,25.0,24.0,23.0,-1.0
2024-05-12,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,3.0,4.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,0.0,0.0,-1.0,5.0,2.0,2.0,2.0,1.0,7.0,8.0,3.0,2.0,4.0,3.0,0.0,0.0,3.0,3.0,6.0,-1.0
2024-05-10,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,-1.0
2024-05-09,-1.0,0.0,3.0,5.0,4.0,4.0,5.0,6.0,8.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,1.0,6.0,7.0,8.0,7.0,15.0,13.0,21.0,20.0,40.0,39.0,47.0,46.0,0.0,0.0,46.0,44.0,8.0,-1.0
2024-05-07,-1.0,0.0,3.0,15.0,13.0,12.0,15.0,18.0,33.0,34.0,42.0,41.0,29.0,28.0,0.0,0.0,5.0,3.0,27.0,-1.0
2024-05-06,-1.0,0.0,6.0,6.0,7.0,6.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,0.0,10.0,10.0,11.0,-1.0
2024-05-04,-1.0,0.0,12.0,14.0,16.0,15.0,16.0,16.0,14.0,14.0,14.0,14.0,6.0,6.0,0.0,0.0,6.0,5.0,3.0,-1.0
2024-05-03,-1.0,0.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,14.0,9.0,9.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-02,-1.0,0.0,3.0,4.0,6.0,5.0,10.0,10.0,25.0,28.0,30.0,32.0,160.0,160.0,0.0,0.0,164.0,159.0,165.0,-1.0
2024-05-01,-1.0,0.0,7.0,7.0,7.0,7.0,8.0,8.0,10.0,11.0,18.0,20.0,3.0,2.0,0.0,0.0,20.0,-1.0,5.0,-1.0
2024-04-30,-1.0,15.0,16.0,16.0,19.0,19.0,19.0,21.0,75.0,74.0,74.0,73.0,64.0,65.0,0.0,0.0,67.0,65.0,67.0,-1.0
2024-04-29,-1.0,0.0,6.0,7.0,8.0,9.0,10.0,10.0,25.0,24.0,24.0,24.0,14.0,13.0,0.0,0.0,17.0,16.0,15.0,-1.0
2024-04-28,-1.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,62.0,63.0,6.0,5.0,0.0,-1.0,0.0,0.0,71.0,-1.0,-1.0,-1.0
2024-04-27,-1.0,0.0,2.0,3.0,18.0,17.0,19.0,19.0,18.0,17.0,20.0,19.0,14.0,13.0,0.0,0.0,17.0,13.0,17.0,-1.0
2024-04-26,-1.0,1.0,2.0,3.0,3.0,3.0,7.0,7.0,6.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,1.0,5.0,5.0,4.0,3.0,9.0,9.0,7.0,8.0,18.0,21.0,11.0,10.0,0.0,0.0,16.0,-1.0,0.0,0.0
2024-04-24,-1.0,1.0,12.0,12.0,10.0,9.0,9.0,10.0,11.0,12.0,18.0,17.0,10.0,10.0,0.0,0.0,10.0,-1.0,0.0,0.0
2024-04-23,-1.0,1.0,5.0,6.0,6.0,5.0,4.0,7.0,15.0,16.0,29.0,28.0,19.0,19.0,0.0,0.0,19.0,-1.0,0.0,0.0
2024-04-22,-1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,7.0,7.0,9.0,10.0,12.0,11.0,0.0,0.0,5.0,-1.0,0.0,0.0
2024-04-21,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0,10.0,4.0,6.0,1.0,1.0,10.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-20,-1.0,1.0,5.0,5.0,3.0,3.0,6.0,7.0,12.0,13.0,15.0,16.0,2.0,4.0,0.0,0.0,13.0,-1.0,0.0,0.0
2024-04-19,-1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,30.0,31.0,25.0,26.0,0.0,0.0,25.0,-1.0,0.0,0.0
2024-04-18,-1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,10.0,9.0,0.0,0.0,7.0,-1.0,0.0,0.0
2024-04-17,-1.0,0.0,5.0,6.0,3.0,2.0,3.0,3.0,4.0,4.0,21.0,20.0,2.0,1.0,0.0,0.0,16.0,-1.0,0.0,0.0
2024-04-16,-1.0,0.0,7.0,7.0,6.0,6.0,22.0,22.0,24.0,23.0,10.0,9.0,18.0,18.0,0.0,0.0,2.0,-1.0,0.0,0.0
2024-04-15,-1.0,1.0,5.0,6.0,4.0,3.0,3.0,3.0,14.0,15.0,4.0,3.0,5.0,6.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-14,-1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-13,-1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-12,0.0,0.0,-1.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0
2024-04-11,0.0,0.0,-1.0,1.0,4.0,4.0,3.0,3.0,8.0,8.0,21.0,20.0,10.0,9.0,0.0,0.0,57.0,-1.0,0.0,0.0
2024-04-10,0.0,0.0,-1.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,75.0,77.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,0.0
2024-04-08,-1.0,1.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0,31.0,30.0,30.0,29.0,7.0,6.0,0.0,0.0,5.0,-1.0,0.0,-1.0
2024-04-07,-1.0,5.0,4.0,5.0,2.0,2.0,2.0,3.0,13.0,13.0,12.0,11.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0
2024-04-06,-1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0
2024-04-05,-1.0,0.0,1.0,1.0,4.0,4.0,10.0,10.0,7.0,7.0,97.0,105.0,99.0,99.0,95.0,-1.0,61.0,60.0,0.0,0.0
2024-04-04,-1.0,1.0,1.0,3.0,5.0,5.0,7.0,6.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,6.0,5.0,0.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-02,-1.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,2.0,2.0,9.0,9.0,7.0,6.0,1.0,2.0,0.0,1.0,80.0,79.0,0.0,0.0,6.0,5.0,4.0,-1.0
