date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Bad_Bevensen.in,Bad_Bevensen.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,-1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,40.0,0.0,0.0,41.0,40.0,42.0,48.0,45.0,49.0,51.0,49.0,54.0,54.0,54.0,54.0,66.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,5.0,2.0,18.0,18.0,17.0,17.0,8.0,-1.0
2024-05-28,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,13.0,13.0,13.0,12.0,17.0,17.0,18.0,19.0,13.0,-1.0
2024-05-27,-1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,60.0,0.0,0.0,57.0,55.0,70.0,77.0,82.0,82.0,80.0,77.0,82.0,81.0,83.0,84.0,78.0,-1.0
2024-05-26,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,7.0,6.0,5.0,6.0,0.0,1.0,2.0,1.0,6.0,5.0,4.0,5.0,1.0,-1.0
2024-05-24,-1.0,6.0,6.0,6.0,8.0,7.0,0.0,0.0,5.0,4.0,23.0,23.0,22.0,17.0,0.0,0.0,1.0,3.0,9.0,9.0,5.0,1.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,14.0,14.0,15.0,17.0,17.0,0.0,0.0,14.0,13.0,15.0,15.0,10.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,2.0,2.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,67.0,69.0,69.0,66.0,67.0,66.0,0.0,0.0,44.0,-1.0
2024-05-20,-1.0,-1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,1.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,-1.0,-1.0,6.0,11.0,11.0,11.0,4.0,-1.0
2024-05-18,-1.0,5.0,4.0,5.0,6.0,6.0,0.0,0.0,6.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,13.0,-1.0
2024-05-17,-1.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,35.0,34.0,34.0,0.0,0.0,28.0,28.0,25.0,26.0,21.0,20.0,0.0,0.0,14.0,13.0,7.0,9.0,15.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,87.0,-1.0
2024-05-15,-1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,10.0,9.0,7.0,7.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,113.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-14,-1.0,5.0,7.0,7.0,8.0,9.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,15.0,17.0,15.0,23.0,23.0,22.0,22.0,17.0,-1.0
2024-05-11,-1.0,28.0,26.0,33.0,33.0,33.0,0.0,0.0,36.0,40.0,37.0,37.0,33.0,33.0,0.0,0.0,28.0,28.0,29.0,31.0,20.0,24.0,25.0,25.0,28.0,30.0,29.0,28.0,26.0,-1.0
2024-05-10,-1.0,12.0,7.0,13.0,13.0,13.0,0.0,0.0,8.0,8.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,6.0,6.0,7.0,10.0,10.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,25.0,25.0,33.0,32.0,0.0,0.0,18.0,-1.0
2024-05-08,-1.0,4.0,5.0,6.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,8.0,9.0,9.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.0
