date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Bonn-Beuel.in,Bonn-Beuel.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-15,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,4.0,4.0,7.0,6.0,11.0,25.0,28.0,28.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,24.0,20.0,23.0,23.0,24.0,24.0,23.0,23.0,32.0,33.0,0.0,0.0,25.0,25.0,26.0,-1.0
2024-05-10,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,50.0,51.0,48.0,54.0,54.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,56.0,52.0,51.0,51.0,51.0,51.0,48.0,51.0,51.0,50.0,0.0,0.0,47.0,47.0,48.0,-1.0
2024-05-08,-1.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,8.0,5.0,12.0,12.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,36.0,33.0,39.0,39.0,41.0,41.0,64.0,63.0,62.0,61.0,0.0,0.0,58.0,58.0,57.0,-1.0
2024-05-07,-1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-06,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,9.0,10.0,8.0,8.0,6.0,5.0,14.0,13.0,17.0,15.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,23.0,19.0,19.0,19.0,20.0,19.0,18.0,17.0,19.0,21.0,0.0,0.0,22.0,22.0,22.0,-1.0
2024-05-05,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,68.0,77.0,77.0,81.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,83.0,82.0,86.0,86.0,87.0,86.0,87.0,86.0,88.0,88.0,-1.0,-1.0,86.0,86.0,89.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,5.0,7.0,4.0,13.0,13.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,27.0,23.0,25.0,25.0,27.0,27.0,23.0,22.0,22.0,23.0,22.0,22.0,20.0,20.0,19.0,-1.0
2024-05-03,-1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,6.0,3.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,15.0,22.0,27.0,24.0,29.0,28.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,28.0,27.0,58.0,60.0,60.0,60.0,57.0,55.0,55.0,56.0,0.0,0.0,51.0,51.0,50.0,-1.0
2024-05-02,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,12.0,11.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,13.0,16.0,16.0,18.0,17.0,17.0,17.0,18.0,18.0,0.0,0.0,12.0,12.0,12.0,-1.0
2024-05-01,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,17.0,16.0,18.0,19.0,15.0,14.0,15.0,15.0,0.0,0.0,10.0,11.0,10.0,-1.0
2024-04-30,-1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,11.0,8.0,12.0,10.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,25.0,22.0,27.0,26.0,30.0,30.0,27.0,26.0,27.0,28.0,0.0,0.0,20.0,20.0,20.0,-1.0
2024-04-28,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,5.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,-1.0,-1.0,64.0,61.0,62.0,62.0,60.0,61.0,60.0,60.0,59.0,59.0,58.0,59.0,56.0,56.0,56.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,8.0,14.0,12.0,20.0,20.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-26,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,7.0,8.0,7.0,11.0,11.0,11.0,10.0,9.0,9.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-25,-1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,29.0,27.0,27.0,27.0,36.0,37.0,34.0,33.0,34.0,34.0,0.0,0.0,26.0,26.0,26.0,-1.0
2024-04-24,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,14.0,15.0,16.0,15.0,15.0,12.0,12.0,15.0,12.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,-1.0,-1.0,28.0,25.0,26.0,40.0,53.0,54.0,57.0,56.0,60.0,59.0,0.0,0.0,51.0,51.0,52.0,-1.0
2024-04-23,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,16.0,12.0,13.0,12.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,28.0,35.0,35.0,31.0,32.0,33.0,31.0,31.0,31.0,0.0,0.0,23.0,23.0,22.0,-1.0
2024-04-22,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,20.0,22.0,19.0,29.0,29.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,32.0,63.0,72.0,72.0,71.0,71.0,67.0,66.0,65.0,64.0,0.0,0.0,55.0,55.0,54.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,8.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,1.0,2.0,6.0,5.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,8.0,8.0,10.0,-1.0
2024-04-20,-1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,6.0,9.0,11.0,8.0,8.0,4.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,-1.0
