date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out
2024-05-12,-1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,4.0,0.0,1.0,6.0,6.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,-1.0
2024-05-11,-1.0,15.0,13.0,13.0,11.0,12.0,5.0,5.0,1.0,1.0,0.0,3.0,6.0,9.0,8.0,9.0,17.0,17.0,0.0,0.0,16.0,19.0,20.0,20.0,19.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,-1.0
2024-05-09,-1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-05-08,-1.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,-1.0
2024-05-07,-1.0,1.0,3.0,5.0,3.0,3.0,11.0,10.0,11.0,11.0,14.0,15.0,23.0,24.0,26.0,27.0,26.0,25.0,0.0,0.0,22.0,22.0,23.0,23.0,23.0,-1.0
2024-05-06,-1.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,10.0,10.0,11.0,8.0,9.0,7.0,7.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,-1.0
2024-05-05,-1.0,8.0,8.0,9.0,7.0,6.0,1.0,1.0,0.0,-1.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,-1.0
2024-05-04,-1.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,13.0,15.0,10.0,11.0,27.0,27.0,0.0,0.0,25.0,25.0,28.0,27.0,28.0,-1.0
2024-05-03,-1.0,19.0,25.0,27.0,25.0,25.0,28.0,27.0,23.0,23.0,23.0,32.0,32.0,33.0,28.0,45.0,35.0,35.0,0.0,0.0,34.0,36.0,48.0,48.0,48.0,-1.0
2024-05-02,-1.0,6.0,5.0,5.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,-1.0,-1.0,-1.0
2024-05-01,-1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,28.0,30.0,2.0,3.0,1.0,2.0,0.0,0.0,7.0,7.0,9.0,8.0,8.0,-1.0
2024-04-30,-1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,9.0,-1.0,-1.0,18.0,19.0,-1.0,-1.0,0.0,0.0,17.0,18.0,21.0,21.0,-1.0,-1.0
2024-04-29,-1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,9.0,8.0,7.0,10.0,11.0,12.0,7.0,8.0,8.0,8.0,0.0,0.0,8.0,9.0,31.0,30.0,29.0,-1.0
2024-04-28,-1.0,0.0,0.0,7.0,3.0,3.0,1.0,7.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,5.0,5.0,5.0,-1.0
2024-04-27,-1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,12.0,14.0,15.0,10.0,10.0,9.0,9.0,0.0,0.0,5.0,6.0,9.0,8.0,7.0,-1.0
2024-04-26,-1.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,10.0,11.0,7.0,8.0,9.0,9.0,0.0,0.0,12.0,13.0,15.0,14.0,15.0,-1.0
