date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out
2024-04-25,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,8.0,12.0,12.0,12.0,11.0,11.0,0.0,0.0,9.0,9.0,8.0,8.0,7.0,-1.0
2024-04-24,-1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,8.0,8.0,9.0,10.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,8.0,-1.0
2024-04-23,-1.0,1.0,8.0,10.0,9.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,11.0,12.0,9.0,10.0,9.0,9.0,0.0,0.0,9.0,19.0,24.0,25.0,24.0,-1.0
2024-04-18,-1.0,3.0,4.0,5.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,-1.0
2024-04-15,-1.0,1.0,3.0,3.0,5.0,3.0,1.0,0.0,2.0,2.0,2.0,4.0,6.0,6.0,13.0,13.0,12.0,12.0,0.0,0.0,12.0,12.0,29.0,28.0,30.0,-1.0
2024-04-14,-1.0,7.0,5.0,7.0,4.0,7.0,1.0,1.0,0.0,1.0,4.0,14.0,12.0,12.0,8.0,9.0,13.0,12.0,0.0,0.0,14.0,14.0,19.0,19.0,18.0,-1.0
2024-04-13,-1.0,4.0,5.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-12,-1.0,1.0,2.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,-1.0
2024-04-11,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,-1.0
2024-04-10,-1.0,0.0,1.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,7.0,1.0,3.0,11.0,11.0,0.0,0.0,10.0,10.0,13.0,13.0,11.0,-1.0
2024-04-09,-1.0,0.0,3.0,3.0,6.0,6.0,0.0,1.0,5.0,7.0,4.0,5.0,7.0,7.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,-1.0
2024-04-07,-1.0,-1.0,2.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,8.0,6.0,7.0,11.0,13.0,0.0,0.0,13.0,-1.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,7.0,8.0,7.0,9.0,0.0,0.0,6.0,-1.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,7.0,5.0,6.0,8.0,9.0,0.0,0.0,9.0,-1.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,2.0,5.0,5.0,6.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,9.0,10.0,5.0,6.0,5.0,5.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,-1.0,5.0,11.0,12.0,12.0,8.0,10.0,9.0,14.0,0.0,0.0,12.0,-1.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,-1.0,3.0,4.0,7.0,7.0,4.0,5.0,3.0,3.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0
