date,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin-Spandau.in,Berlin-Spandau.out,Ludwigslust.in,Ludwigslust.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out
2024-04-29,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,21.0,20.0,21.0,22.0,22.0,28.0,15.0,15.0,25.0,20.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,6.0,11.0,11.0,11.0,11.0
2024-04-27,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,7.0,2.0,1.0,4.0,4.0,3.0,8.0,14.0,14.0,14.0,14.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,21.0,25.0,26.0,22.0,26.0,28.0,28.0,27.0,26.0,24.0,24.0,22.0,-1.0
2024-04-25,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,5.0,4.0,13.0,13.0,13.0,13.0
2024-04-24,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,9.0,9.0,10.0,11.0,12.0,10.0,8.0,5.0,-1.0,5.0,-1.0
2024-04-23,-1.0,15.0,0.0,0.0,15.0,13.0,11.0,12.0,6.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,2.0
2024-04-22,-1.0,5.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
2024-04-21,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,-1.0,2.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0
2024-04-18,-1.0,1.0,0.0,0.0,1.0,1.0,7.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,9.0,9.0,9.0,9.0
