date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-13,-1.0,1.0,-1.0,1.0,1.0,8.0,11.0,12.0,7.0,8.0,20.0,20.0,35.0,44.0,54.0,55.0,55.0,55.0,0.0,0.0,60.0,-1.0
2024-05-12,-1.0,0.0,-1.0,3.0,-1.0,2.0,13.0,14.0,7.0,8.0,9.0,15.0,13.0,11.0,16.0,16.0,15.0,15.0,0.0,0.0,14.0,-1.0
2024-05-11,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,1.0,-1.0
2024-05-10,-1.0,2.0,-1.0,8.0,8.0,7.0,5.0,5.0,2.0,2.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,0.0,0.0,16.0,-1.0
2024-05-09,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,-1.0,-1.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-08,-1.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,13.0,13.0,17.0,17.0,0.0,0.0,25.0,-1.0
2024-05-07,-1.0,1.0,1.0,4.0,3.0,4.0,3.0,6.0,3.0,1.0,15.0,17.0,16.0,18.0,28.0,26.0,38.0,38.0,0.0,0.0,42.0,-1.0
2024-05-06,-1.0,8.0,8.0,9.0,9.0,8.0,5.0,6.0,2.0,12.0,22.0,23.0,22.0,25.0,32.0,30.0,40.0,41.0,0.0,0.0,40.0,-1.0
2024-05-05,-1.0,5.0,2.0,6.0,6.0,7.0,7.0,8.0,2.0,2.0,4.0,3.0,5.0,6.0,5.0,3.0,10.0,10.0,0.0,0.0,13.0,-1.0
2024-05-04,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,23.0,22.0,21.0,24.0,24.0,0.0,0.0,27.0,-1.0
2024-05-03,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,4.0,5.0,11.0,12.0,38.0,42.0,47.0,47.0,49.0,49.0,0.0,0.0,49.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,8.0,9.0,10.0,17.0,18.0,0.0,0.0,21.0,-1.0
2024-04-30,-1.0,5.0,-1.0,4.0,3.0,4.0,2.0,9.0,4.0,5.0,3.0,4.0,7.0,7.0,19.0,17.0,24.0,25.0,0.0,0.0,25.0,-1.0
2024-04-29,-1.0,1.0,-1.0,0.0,-1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,9.0,7.0,6.0,13.0,13.0,0.0,0.0,16.0,-1.0
2024-04-28,-1.0,1.0,-1.0,7.0,-1.0,7.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,7.0,24.0,25.0,38.0,38.0,0.0,0.0,45.0,-1.0
2024-04-27,-1.0,9.0,9.0,6.0,6.0,5.0,8.0,9.0,4.0,3.0,7.0,6.0,7.0,26.0,35.0,34.0,40.0,41.0,0.0,0.0,44.0,-1.0
2024-04-26,-1.0,28.0,28.0,32.0,28.0,33.0,49.0,50.0,48.0,50.0,54.0,54.0,57.0,56.0,62.0,61.0,66.0,66.0,0.0,0.0,65.0,-1.0
2024-04-25,-1.0,3.0,3.0,6.0,6.0,6.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,8.0,11.0,27.0,39.0,0.0,0.0,41.0,-1.0
2024-04-24,-1.0,1.0,-1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,6.0,8.0,8.0,7.0,7.0,18.0,18.0,0.0,0.0,26.0,-1.0
2024-04-23,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,13.0,13.0,13.0,14.0,19.0,19.0,34.0,34.0,0.0,0.0,34.0,-1.0
2024-04-22,-1.0,1.0,-1.0,2.0,-1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,6.0,7.0,7.0,9.0,8.0,0.0,0.0,9.0,-1.0
2024-04-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-1.0
2024-04-18,-1.0,1.0,1.0,1.0,0.0,1.0,7.0,8.0,5.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,11.0,11.0,0.0,0.0,9.0,-1.0
2024-04-17,-1.0,1.0,-1.0,0.0,-1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,-1.0
2024-04-16,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,-1.0
2024-04-14,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,16.0,18.0,35.0,36.0,34.0,43.0,42.0,41.0,41.0,41.0,0.0,0.0,39.0,-1.0
2024-04-13,-1.0,1.0,-1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,5.0,6.0,6.0,0.0,0.0,5.0,-1.0
2024-04-08,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-07,-1.0,4.0,-1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,-1.0,0.0,0.0
2024-04-06,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,42.0,45.0,44.0,44.0,48.0,50.0,60.0,60.0,66.0,67.0,65.0,-1.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,15.0,15.0,12.0,16.0,15.0,15.0,15.0,16.0,14.0,-1.0,0.0,0.0
2024-04-04,-1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,13.0,16.0,16.0,16.0,28.0,28.0,25.0,-1.0,0.0,0.0
2024-04-03,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,-1.0,0.0,0.0
2024-04-02,-1.0,0.0,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,14.0,16.0,16.0,16.0,16.0,15.0,18.0,-1.0,0.0,0.0
2024-04-01,-1.0,3.0,-1.0,4.0,-1.0,3.0,1.0,11.0,74.0,77.0,75.0,75.0,81.0,90.0,95.0,95.0,95.0,95.0,97.0,-1.0,0.0,0.0
