date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,1.0,5.0,21.0,18.0,19.0,21.0,21.0,21.0,21.0,18.0,17.0,7.0,8.0,0.0,0.0,5.0,4.0,4.0,-1.0
2024-05-29,-1.0,4.0,31.0,31.0,30.0,29.0,31.0,31.0,30.0,29.0,24.0,25.0,24.0,24.0,0.0,0.0,22.0,22.0,19.0,-1.0
2024-05-28,-1.0,1.0,0.0,1.0,3.0,3.0,5.0,6.0,7.0,7.0,9.0,8.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-05-27,-1.0,-1.0,-1.0,0.0,37.0,36.0,37.0,37.0,2.0,4.0,2.0,1.0,27.0,27.0,0.0,0.0,23.0,23.0,26.0,-1.0
2024-05-26,-1.0,-1.0,-1.0,7.0,22.0,22.0,30.0,30.0,14.0,15.0,31.0,31.0,22.0,21.0,0.0,0.0,26.0,21.0,27.0,-1.0
2024-05-25,-1.0,-1.0,-1.0,7.0,5.0,4.0,10.0,9.0,5.0,5.0,6.0,5.0,15.0,15.0,0.0,0.0,28.0,27.0,24.0,-1.0
2024-05-24,-1.0,-1.0,-1.0,2.0,8.0,7.0,11.0,11.0,14.0,14.0,18.0,19.0,11.0,11.0,0.0,0.0,12.0,9.0,11.0,-1.0
2024-05-23,-1.0,0.0,1.0,2.0,23.0,23.0,23.0,23.0,27.0,27.0,26.0,27.0,9.0,8.0,0.0,0.0,6.0,5.0,19.0,-1.0
2024-05-22,-1.0,0.0,2.0,3.0,1.0,0.0,4.0,5.0,1.0,2.0,2.0,2.0,10.0,-1.0,0.0,0.0,7.0,0.0,5.0,-1.0
2024-05-21,-1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,10.0,9.0,5.0,5.0,0.0,0.0,15.0,14.0,7.0,-1.0
2024-05-19,-1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-18,-1.0,-1.0,-1.0,2.0,10.0,9.0,14.0,14.0,13.0,15.0,30.0,29.0,24.0,22.0,0.0,0.0,21.0,20.0,19.0,-1.0
2024-05-17,-1.0,1.0,1.0,2.0,0.0,0.0,9.0,11.0,13.0,14.0,5.0,4.0,18.0,17.0,0.0,0.0,24.0,23.0,26.0,-1.0
2024-05-16,-1.0,1.0,2.0,3.0,9.0,8.0,10.0,10.0,8.0,8.0,5.0,5.0,16.0,17.0,0.0,0.0,9.0,8.0,8.0,-1.0
2024-05-14,0.0,0.0,-1.0,4.0,6.0,6.0,9.0,9.0,13.0,13.0,16.0,26.0,21.0,19.0,0.0,0.0,15.0,13.0,11.0,-1.0
2024-05-13,0.0,0.0,-1.0,1.0,0.0,1.0,3.0,3.0,12.0,12.0,22.0,21.0,12.0,11.0,0.0,0.0,9.0,8.0,9.0,-1.0
2024-05-12,0.0,0.0,-1.0,12.0,14.0,15.0,15.0,16.0,12.0,13.0,8.0,7.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-11,0.0,0.0,-1.0,1.0,2.0,1.0,1.0,2.0,8.0,9.0,8.0,9.0,0.0,-1.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-05-10,-1.0,-1.0,-1.0,39.0,37.0,36.0,38.0,38.0,46.0,46.0,41.0,41.0,34.0,33.0,0.0,0.0,34.0,33.0,31.0,-1.0
2024-05-09,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.0,6.0,5.0,1.0,2.0,7.0,10.0,0.0,0.0,9.0,9.0,6.0,-1.0
2024-05-08,0.0,0.0,-1.0,1.0,3.0,2.0,16.0,15.0,10.0,10.0,22.0,21.0,14.0,15.0,0.0,0.0,16.0,15.0,14.0,-1.0
2024-05-07,0.0,0.0,-1.0,1.0,1.0,1.0,10.0,9.0,12.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,18.0,16.0,-1.0
2024-05-06,0.0,0.0,-1.0,6.0,4.0,3.0,6.0,7.0,2.0,2.0,6.0,5.0,10.0,10.0,0.0,0.0,18.0,18.0,16.0,-1.0
2024-05-05,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,17.0,17.0,31.0,31.0,18.0,18.0,0.0,0.0,1.0,-1.0,18.0,-1.0
2024-05-04,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0,15.0,14.0,12.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0
2024-05-03,0.0,0.0,-1.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,18.0,18.0,16.0,15.0,0.0,0.0,23.0,22.0,13.0,-1.0
2024-05-02,0.0,0.0,-1.0,1.0,2.0,2.0,10.0,10.0,15.0,15.0,26.0,29.0,20.0,20.0,0.0,0.0,20.0,21.0,18.0,-1.0
