date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-25,-1.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,5.0,6.0,12.0,11.0,7.0,7.0,8.0,-1.0
2024-04-24,-1.0,5.0,5.0,5.0,8.0,10.0,8.0,9.0,6.0,7.0,4.0,5.0,4.0,4.0,30.0,29.0,24.0,24.0,36.0,-1.0
2024-04-23,-1.0,3.0,1.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,6.0,6.0,7.0,6.0,1.0,3.0,1.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,3.0,4.0,5.0,6.0,1.0,3.0,0.0,1.0,0.0,2.0,5.0,3.0,0.0,1.0,0.0,-1.0
2024-04-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,5.0,12.0,11.0,7.0,8.0,5.0,-1.0
2024-04-19,-1.0,1.0,0.0,1.0,3.0,5.0,4.0,6.0,4.0,5.0,2.0,4.0,1.0,2.0,5.0,4.0,2.0,6.0,2.0,-1.0
2024-04-18,-1.0,5.0,1.0,2.0,5.0,5.0,10.0,11.0,54.0,56.0,55.0,57.0,62.0,88.0,87.0,87.0,84.0,-1.0,-1.0,-1.0
2024-04-17,-1.0,1.0,0.0,0.0,3.0,7.0,6.0,7.0,12.0,13.0,10.0,11.0,13.0,14.0,13.0,11.0,20.0,21.0,15.0,-1.0
2024-04-15,-1.0,15.0,13.0,14.0,18.0,19.0,18.0,22.0,28.0,30.0,25.0,27.0,26.0,27.0,23.0,22.0,14.0,15.0,18.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,3.0,4.0,3.0,7.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,4.0,6.0,5.0,5.0,2.0,4.0,4.0,6.0,15.0,15.0,12.0,12.0,6.0,7.0,6.0,-1.0
2024-04-12,-1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,6.0,15.0,19.0,19.0,20.0,20.0,31.0,-1.0
2024-04-11,-1.0,7.0,4.0,4.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,8.0,7.0,7.0,4.0,3.0,11.0,11.0,8.0,-1.0
2024-04-10,-1.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,2.0,1.0,3.0,0.0,-1.0
2024-04-09,-1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,5.0,4.0,0.0,1.0,0.0,-1.0
2024-04-08,-1.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0
2024-04-07,0.0,0.0,0.0,0.0,-1.0,2.0,7.0,9.0,9.0,10.0,10.0,11.0,23.0,25.0,22.0,21.0,20.0,22.0,21.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,0.0,1.0,9.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,-1.0,39.0,39.0,42.0,41.0,42.0,39.0,42.0,39.0,40.0,36.0,35.0,32.0,36.0,39.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,21.0,23.0,24.0,24.0,26.0,31.0,36.0,42.0,42.0,38.0,38.0,30.0,29.0,38.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,6.0,4.0,3.0,4.0,2.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,-1.0,1.0,14.0,14.0,9.0,10.0,9.0,11.0,8.0,9.0,6.0,4.0,0.0,1.0,0.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,-1.0,46.0,45.0,46.0,48.0,50.0,47.0,51.0,51.0,52.0,51.0,49.0,42.0,42.0,42.0,-1.0
