date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,1.0,-1.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,4.0,5.0,6.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-05-29,-1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,8.0,10.0,8.0,8.0,3.0,3.0,9.0,9.0,14.0,-1.0
2024-05-27,-1.0,1.0,-1.0,14.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,17.0,11.0,12.0,11.0,16.0,16.0,12.0,12.0,8.0,8.0,6.0,5.0,7.0,-1.0
2024-05-26,-1.0,1.0,0.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,30.0,28.0,29.0,30.0,31.0,32.0,35.0,34.0,39.0,39.0,38.0,40.0,39.0,-1.0
2024-05-25,-1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,1.0,-1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,2.0,2.0,3.0,7.0,8.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,-1.0
2024-05-23,-1.0,1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,14.0,16.0,16.0,18.0,21.0,17.0,17.0,11.0,11.0,10.0,9.0,10.0,-1.0
2024-05-22,-1.0,1.0,1.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,9.0,8.0,9.0,14.0,16.0,11.0,11.0,8.0,8.0,8.0,12.0,6.0,-1.0
2024-05-21,-1.0,2.0,2.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,15.0,9.0,10.0,10.0,9.0,9.0,3.0,4.0,8.0,7.0,7.0,6.0,4.0,-1.0
2024-05-20,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,3.0,23.0,34.0,42.0,42.0,42.0,42.0,41.0,40.0,45.0,42.0,-1.0
