date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Celle.in,Celle.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-19,-1.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,4.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-18,-1.0,8.0,6.0,5.0,4.0,2.0,0.0,0.0,3.0,8.0,10.0,11.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,1.0,8.0,11.0,10.0,7.0,0.0,0.0,8.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,16.0,13.0,15.0,16.0,13.0,0.0,0.0,16.0,18.0,17.0,17.0,4.0,4.0,0.0,0.0,4.0,12.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-15,-1.0,6.0,7.0,7.0,8.0,5.0,0.0,0.0,7.0,9.0,8.0,7.0,3.0,1.0,0.0,0.0,0.0,3.0,8.0,7.0,3.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,2.0,2.0,2.0,8.0,8.0,0.0,0.0,10.0,11.0,8.0,20.0,5.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,1.0,2.0,3.0,8.0,8.0,0.0,0.0,9.0,9.0,5.0,5.0,18.0,18.0,18.0,18.0,17.0,18.0,13.0,13.0,12.0,11.0,8.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-12,-1.0,6.0,3.0,5.0,5.0,2.0,0.0,0.0,3.0,3.0,4.0,6.0,9.0,9.0,0.0,0.0,6.0,7.0,2.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-1.0
2024-05-11,-1.0,0.0,3.0,5.0,14.0,12.0,0.0,0.0,13.0,13.0,10.0,11.0,6.0,6.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,2.0,4.0,5.0,8.0,7.0,0.0,0.0,10.0,9.0,9.0,15.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-09,-1.0,1.0,1.0,1.0,7.0,5.0,0.0,0.0,7.0,17.0,19.0,20.0,22.0,23.0,0.0,0.0,18.0,21.0,12.0,13.0,10.0,10.0,10.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-08,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,30.0,31.0,0.0,0.0,26.0,26.0,16.0,16.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-05-06,-1.0,1.0,2.0,2.0,5.0,4.0,0.0,0.0,7.0,15.0,15.0,17.0,25.0,26.0,0.0,0.0,22.0,22.0,15.0,26.0,20.0,20.0,20.0,20.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-04,-1.0,5.0,2.0,2.0,9.0,8.0,0.0,0.0,12.0,14.0,14.0,14.0,14.0,15.0,0.0,0.0,11.0,13.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-05-03,-1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,9.0,-1.0,-1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,10.0,24.0,25.0,25.0,26.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-1.0
2024-05-02,-1.0,2.0,3.0,3.0,9.0,11.0,0.0,0.0,12.0,22.0,21.0,39.0,39.0,39.0,0.0,0.0,36.0,36.0,26.0,25.0,19.0,19.0,20.0,20.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0
2024-05-01,-1.0,0.0,7.0,8.0,5.0,7.0,0.0,0.0,7.0,8.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-30,-1.0,1.0,0.0,4.0,6.0,5.0,0.0,0.0,9.0,9.0,8.0,7.0,8.0,9.0,0.0,0.0,5.0,6.0,0.0,1.0,11.0,11.0,11.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,13.0,-1.0
2024-04-29,-1.0,4.0,1.0,1.0,9.0,7.0,0.0,0.0,10.0,12.0,10.0,9.0,8.0,8.0,0.0,0.0,3.0,4.0,4.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,4.0,2.0,4.0,6.0,3.0,0.0,0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,7.0,7.0,36.0,35.0,0.0,0.0,45.0,49.0,50.0,49.0,41.0,42.0,0.0,0.0,40.0,41.0,35.0,34.0,29.0,29.0,28.0,28.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-1.0
2024-04-26,-1.0,3.0,10.0,10.0,10.0,7.0,0.0,0.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-25,-1.0,0.0,3.0,4.0,5.0,4.0,0.0,0.0,6.0,13.0,11.0,10.0,11.0,12.0,0.0,0.0,7.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-24,-1.0,-1.0,-1.0,2.0,4.0,5.0,0.0,0.0,6.0,8.0,7.0,6.0,2.0,2.0,0.0,0.0,0.0,7.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-04-23,-1.0,1.0,5.0,8.0,11.0,9.0,0.0,0.0,11.0,11.0,10.0,9.0,9.0,7.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-1.0
2024-04-18,-1.0,3.0,3.0,3.0,10.0,10.0,0.0,0.0,13.0,18.0,17.0,18.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,5.0,7.0,4.0,4.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-16,-1.0,1.0,2.0,1.0,14.0,12.0,0.0,0.0,15.0,16.0,35.0,34.0,37.0,40.0,0.0,0.0,54.0,55.0,45.0,43.0,37.0,37.0,36.0,36.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-1.0
2024-04-15,-1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,4.0,5.0,90.0,89.0,173.0,-1.0,0.0,0.0,-1.0,-1.0,249.0,268.0,273.0,273.0,273.0,272.0,267.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,-1.0
2024-04-14,-1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,4.0,7.0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,5.0,15.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-12,-1.0,10.0,8.0,9.0,12.0,12.0,0.0,0.0,12.0,12.0,12.0,11.0,10.0,10.0,0.0,0.0,6.0,5.0,1.0,2.0,2.0,2.0,4.0,65.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,-1.0
2024-04-11,-1.0,1.0,4.0,4.0,4.0,5.0,0.0,0.0,7.0,8.0,9.0,8.0,1.0,8.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-04-10,-1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,38.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,3.0,0.0,1.0,3.0,1.0,-1.0,0.0,3.0,5.0,6.0,5.0,8.0,6.0,0.0,0.0,8.0,10.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,84.0,-1.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-07,-1.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,7.0,20.0,20.0,23.0,24.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,-1.0
2024-04-06,-1.0,5.0,10.0,10.0,15.0,13.0,0.0,0.0,16.0,17.0,18.0,17.0,40.0,55.0,0.0,0.0,70.0,71.0,62.0,62.0,63.0,62.0,62.0,62.0,59.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-1.0
2024-04-04,0.0,0.0,-1.0,2.0,3.0,3.0,-1.0,0.0,7.0,8.0,12.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,-1.0
2024-04-03,0.0,0.0,-1.0,2.0,3.0,3.0,0.0,0.0,7.0,8.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,3.0,3.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-04-02,-1.0,0.0,-1.0,6.0,4.0,1.0,-1.0,0.0,1.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,3.0,18.0,25.0,23.0,23.0,24.0,25.0,25.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,31.0,-1.0
2024-04-01,0.0,0.0,-1.0,8.0,7.0,4.0,0.0,0.0,4.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,6.0,4.0,4.0,3.0,3.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
