date,Böblingen.in,Böblingen.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Herrenberg.in,Herrenberg.out
2024-05-30,0.0,0.0,-1.0,3.0,3.0,-1.0
2024-05-29,0.0,1.0,0.0,0.0,5.0,-1.0
2024-05-24,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-23,0.0,0.0,-1.0,2.0,8.0,-1.0
2024-05-22,1.0,3.0,-1.0,3.0,6.0,-1.0
2024-05-21,0.0,0.0,-1.0,3.0,21.0,-1.0
2024-05-19,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-18,2.0,2.0,-1.0,4.0,2.0,-1.0
