date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,41.0,38.0,35.0,36.0,37.0,38.0,38.0,38.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,61.0,61.0,59.0,59.0,58.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,5.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,7.0,7.0,6.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,3.0,1.0,1.0,1.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,17.0,22.0,21.0,22.0,22.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,2.0,5.0,-1.0
2024-05-21,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,-1.0
2024-05-20,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,5.0,-1.0
2024-05-18,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,6.0,6.0,7.0,-1.0
2024-05-16,-1.0,2.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,11.0,8.0,8.0,10.0,9.0,17.0,18.0,19.0,19.0,21.0,-1.0
2024-05-15,-1.0,0.0,11.0,11.0,10.0,10.0,9.0,9.0,7.0,8.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,3.0,4.0,-1.0
2024-05-14,-1.0,4.0,12.0,14.0,13.0,14.0,14.0,15.0,15.0,15.0,18.0,20.0,19.0,23.0,19.0,20.0,26.0,25.0,26.0,-1.0
2024-05-13,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,3.0,3.0,5.0,6.0,7.0,-1.0
2024-05-12,-1.0,3.0,6.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,13.0,14.0,9.0,8.0,7.0,7.0,13.0,13.0,13.0,-1.0
2024-05-11,-1.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,17.0,14.0,15.0,14.0,14.0,15.0,-1.0
2024-05-10,-1.0,0.0,2.0,3.0,2.0,4.0,4.0,6.0,5.0,5.0,2.0,2.0,6.0,9.0,9.0,11.0,8.0,8.0,9.0,-1.0
2024-05-09,-1.0,1.0,14.0,15.0,16.0,18.0,17.0,19.0,18.0,19.0,17.0,17.0,14.0,19.0,18.0,19.0,17.0,19.0,14.0,-1.0
2024-05-08,-1.0,2.0,2.0,3.0,7.0,7.0,7.0,8.0,7.0,8.0,5.0,6.0,2.0,6.0,6.0,6.0,3.0,3.0,5.0,-1.0
2024-05-07,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-06,-1.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,0.0,1.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,9.0,4.0,5.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-04-28,-1.0,61.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,-1.0
2024-04-27,-1.0,0.0,20.0,31.0,29.0,29.0,30.0,31.0,29.0,29.0,26.0,27.0,25.0,23.0,19.0,19.0,16.0,16.0,15.0,-1.0
2024-04-26,-1.0,28.0,16.0,17.0,20.0,20.0,21.0,22.0,20.0,20.0,18.0,19.0,18.0,17.0,19.0,20.0,23.0,22.0,21.0,-1.0
2024-04-25,-1.0,15.0,19.0,20.0,19.0,19.0,19.0,19.0,19.0,20.0,18.0,18.0,19.0,19.0,21.0,21.0,21.0,21.0,19.0,-1.0
2024-04-24,-1.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,6.0,8.0,9.0,11.0,10.0,10.0,8.0,-1.0
2024-04-23,-1.0,1.0,8.0,8.0,6.0,6.0,5.0,6.0,5.0,6.0,3.0,2.0,1.0,4.0,2.0,3.0,6.0,5.0,3.0,-1.0
2024-04-22,-1.0,1.0,9.0,9.0,13.0,13.0,12.0,13.0,13.0,13.0,11.0,11.0,9.0,7.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-04-21,-1.0,3.0,26.0,24.0,-1.0,-1.0,81.0,81.0,80.0,80.0,78.0,79.0,77.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,-1.0
