date,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-05-30,-1.0,32.0,21.0,21.0,21.0,25.0,32.0,32.0,27.0,-1.0
2024-05-29,-1.0,7.0,0.0,0.0,11.0,11.0,12.0,10.0,6.0,-1.0
2024-05-28,-1.0,9.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,-1.0
2024-05-27,-1.0,37.0,28.0,28.0,26.0,35.0,37.0,39.0,32.0,-1.0
2024-05-26,-1.0,18.0,8.0,8.0,25.0,25.0,33.0,33.0,28.0,-1.0
2024-05-25,-1.0,7.0,0.0,0.0,15.0,15.0,25.0,26.0,20.0,-1.0
2024-05-24,-1.0,11.0,1.0,1.0,8.0,8.0,15.0,17.0,10.0,-1.0
2024-05-23,-1.0,8.0,0.0,0.0,3.0,2.0,6.0,6.0,1.0,-1.0
2024-05-22,-1.0,25.0,16.0,16.0,16.0,27.0,34.0,34.0,29.0,-1.0
2024-05-20,-1.0,5.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,-1.0
2024-05-19,-1.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0
2024-05-18,-1.0,28.0,17.0,17.0,28.0,27.0,28.0,28.0,23.0,-1.0
2024-05-17,-1.0,39.0,28.0,28.0,28.0,28.0,33.0,33.0,27.0,-1.0
2024-05-16,-1.0,27.0,15.0,15.0,74.0,75.0,78.0,80.0,72.0,-1.0
2024-05-15,-1.0,7.0,0.0,0.0,65.0,66.0,71.0,72.0,66.0,-1.0
2024-05-14,-1.0,6.0,0.0,0.0,15.0,16.0,17.0,16.0,12.0,-1.0
2024-05-13,-1.0,4.0,0.0,0.0,8.0,9.0,13.0,12.0,8.0,-1.0
2024-05-12,-1.0,6.0,0.0,0.0,9.0,10.0,11.0,17.0,6.0,-1.0
2024-05-11,-1.0,25.0,16.0,16.0,33.0,33.0,35.0,35.0,30.0,-1.0
2024-05-10,-1.0,22.0,11.0,11.0,7.0,5.0,7.0,7.0,2.0,-1.0
2024-05-09,-1.0,19.0,10.0,10.0,20.0,19.0,25.0,-1.0,0.0,0.0
2024-05-07,-1.0,7.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0
2024-05-06,-1.0,19.0,11.0,11.0,4.0,4.0,6.0,-1.0,0.0,0.0
2024-05-05,-1.0,6.0,0.0,0.0,16.0,19.0,24.0,-1.0,0.0,0.0
2024-05-04,-1.0,5.0,0.0,0.0,2.0,5.0,10.0,-1.0,0.0,0.0
2024-05-03,-1.0,7.0,0.0,0.0,2.0,0.0,2.0,-1.0,0.0,0.0
2024-05-02,-1.0,6.0,0.0,0.0,6.0,7.0,14.0,13.0,8.0,-1.0
2024-05-01,-1.0,3.0,0.0,0.0,1.0,4.0,6.0,5.0,0.0,-1.0
2024-04-30,-1.0,44.0,36.0,36.0,32.0,39.0,40.0,41.0,35.0,-1.0
2024-04-29,-1.0,11.0,0.0,0.0,5.0,7.0,11.0,11.0,6.0,-1.0
2024-04-28,-1.0,15.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-27,-1.0,20.0,10.0,10.0,15.0,15.0,20.0,21.0,15.0,-1.0
2024-04-26,-1.0,14.0,3.0,3.0,14.0,12.0,18.0,17.0,12.0,-1.0
2024-04-25,-1.0,8.0,0.0,0.0,7.0,6.0,6.0,9.0,0.0,-1.0
2024-04-22,-1.0,9.0,0.0,0.0,10.0,10.0,14.0,14.0,8.0,-1.0
2024-04-21,-1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,-1.0
2024-04-20,-1.0,6.0,0.0,0.0,7.0,7.0,13.0,15.0,8.0,-1.0
2024-04-08,-1.0,10.0,0.0,0.0,6.0,7.0,7.0,9.0,2.0,-1.0
2024-04-07,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-06,-1.0,2.0,0.0,0.0,6.0,6.0,8.0,7.0,2.0,-1.0
2024-04-05,-1.0,1.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,-1.0
2024-04-04,-1.0,8.0,0.0,0.0,13.0,13.0,16.0,16.0,11.0,-1.0
2024-04-01,-1.0,27.0,17.0,17.0,21.0,20.0,22.0,23.0,17.0,-1.0
