date,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Itzehoe.in,Itzehoe.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-10,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,8.0,8.0,0.0,0.0,13.0,15.0,0.0,0.0,0.0,0.0,11.0,13.0,12.0,12.0,11.0,13.0,14.0,14.0,15.0,16.0,0.0,0.0,14.0,-1.0
2024-05-09,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,9.0,11.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,8.0,9.0,0.0,0.0,6.0,-1.0
2024-05-08,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,16.0,18.0,21.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,6.0,8.0,5.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,0.0,0.0,4.0,-1.0
2024-05-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-06,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,4.0,-1.0
2024-05-05,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,27.0,30.0,29.0,29.0,34.0,34.0,0.0,0.0,0.0,0.0,24.0,23.0,20.0,20.0,16.0,17.0,17.0,17.0,20.0,20.0,0.0,0.0,12.0,-1.0
2024-05-04,0.0,-1.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,7.0,0.0,0.0,7.0,-1.0
2024-05-03,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,8.0,8.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,18.0,19.0,18.0,18.0,20.0,20.0,21.0,23.0,27.0,28.0,0.0,0.0,26.0,-1.0
2024-05-02,0.0,0.0,0.0,8.0,6.0,4.0,4.0,4.0,5.0,9.0,7.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,3.0,-1.0
2024-05-01,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,6.0,6.0,6.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,-1.0
