date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-05-14,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,9.0,9.0,0.0,0.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,8.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,10.0,7.0,8.0,-1.0
2024-05-12,-1.0,0.0,1.0,0.0,3.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,20.0,19.0,19.0,18.0,19.0,19.0,19.0,17.0,15.0,15.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,12.0,11.0,10.0,12.0,12.0,11.0,10.0,10.0,11.0,13.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0,12.0,10.0,8.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,-1.0
2024-05-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-06,-1.0,1.0,1.0,0.0,0.0,1.0,5.0,3.0,2.0,2.0,3.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,77.0,75.0,77.0,76.0,76.0,76.0,74.0,69.0,71.0,71.0,71.0,71.0,71.0,70.0,69.0,66.0,71.0,-1.0
2024-05-05,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,-1.0
2024-05-03,-1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,7.0,7.0,6.0,5.0,-1.0
2024-05-02,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,12.0,10.0,10.0,9.0,8.0,8.0,6.0,8.0,11.0,19.0,18.0,18.0,19.0,19.0,17.0,13.0,14.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,12.0,10.0,26.0,7.0,5.0,5.0,5.0,8.0,13.0,11.0,12.0,12.0,17.0,17.0,16.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,25.0,23.0,21.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,16.0,20.0,19.0,19.0,19.0,16.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,5.0,5.0,-1.0
2024-04-29,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,13.0,11.0,13.0,13.0,12.0,13.0,11.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,3.0,-1.0
2024-04-27,-1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,2.0,10.0,15.0,23.0,25.0,25.0,25.0,23.0,18.0,18.0,25.0,28.0,28.0,26.0,26.0,24.0,22.0,20.0,-1.0
2024-04-25,-1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,6.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,-1.0
2024-04-24,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,7.0,5.0,10.0,9.0,8.0,9.0,8.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,9.0,10.0,-1.0
2024-04-23,-1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-04-22,-1.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,4.0,5.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
