date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düren.in,Düren.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-05-05,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,-1.0
2024-05-04,0.0,0.0,-1.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,1.0,2.0,2.0,3.0,6.0,6.0,7.0,7.0,8.0,11.0,11.0,0.0,0.0,10.0,8.0,2.0,2.0,5.0,-1.0
2024-05-03,0.0,0.0,-1.0,16.0,-1.0,15.0,8.0,13.0,9.0,9.0,7.0,7.0,12.0,13.0,0.0,0.0,14.0,14.0,14.0,16.0,18.0,17.0,20.0,19.0,19.0,19.0,18.0,18.0,17.0,18.0,21.0,24.0,0.0,0.0,30.0,28.0,17.0,18.0,30.0,-1.0
2024-05-02,0.0,0.0,-1.0,2.0,2.0,1.0,0.0,1.0,53.0,54.0,56.0,56.0,55.0,55.0,0.0,0.0,54.0,54.0,54.0,54.0,48.0,48.0,48.0,47.0,47.0,47.0,49.0,48.0,50.0,57.0,60.0,60.0,0.0,0.0,52.0,51.0,44.0,44.0,43.0,-1.0
2024-05-01,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,4.0,1.0,62.0,70.0,69.0,68.0,68.0,0.0,0.0,67.0,66.0,87.0,86.0,85.0,91.0,93.0,92.0,93.0,92.0,93.0,96.0,97.0,97.0,101.0,101.0,0.0,0.0,100.0,97.0,86.0,86.0,89.0,-1.0
2024-04-30,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,9.0,8.0,0.0,0.0,11.0,9.0,0.0,0.0,1.0,-1.0
2024-04-29,0.0,0.0,-1.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,11.0,10.0,10.0,12.0,12.0,12.0,18.0,0.0,0.0,12.0,10.0,2.0,1.0,1.0,-1.0
2024-04-28,0.0,0.0,-1.0,6.0,6.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,-1.0
2024-04-27,0.0,0.0,-1.0,4.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-1.0
2024-04-26,0.0,0.0,-1.0,21.0,21.0,22.0,16.0,16.0,7.0,7.0,2.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,6.0,1.0,1.0,2.0,-1.0
2024-04-25,-1.0,10.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,0.0,0.0,6.0,4.0,3.0,1.0,0.0,-1.0
2024-04-23,-1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,17.0,15.0,7.0,8.0,5.0,-1.0
2024-04-22,-1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,14.0,14.0,14.0,14.0,0.0,0.0,18.0,18.0,22.0,23.0,19.0,18.0,19.0,18.0,19.0,18.0,18.0,18.0,17.0,19.0,24.0,24.0,0.0,0.0,22.0,20.0,9.0,8.0,13.0,-1.0
2024-04-21,-1.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,6.0,2.0,1.0,6.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,10.0,10.0,0.0,0.0,10.0,9.0,2.0,1.0,0.0,-1.0
2024-04-19,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,6.0,6.0,5.0,5.0,6.0,6.0,8.0,8.0,9.0,8.0,10.0,13.0,17.0,17.0,0.0,0.0,15.0,13.0,2.0,2.0,10.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,7.0,7.0,0.0,0.0,12.0,13.0,3.0,2.0,1.0,-1.0
2024-04-16,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,10.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,7.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,71.0,70.0,72.0,71.0,74.0,74.0,0.0,0.0,73.0,72.0,77.0,76.0,85.0,87.0,89.0,88.0,89.0,89.0,88.0,87.0,88.0,88.0,93.0,93.0,0.0,0.0,84.0,87.0,0.0,0.0,71.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0,6.0,7.0,7.0,10.0,11.0,16.0,15.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-11,-1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,4.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,-1.0
2024-04-10,-1.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,5.0,4.0,4.0,3.0,0.0,0.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-1.0
2024-04-09,-1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,13.0,51.0,51.0,53.0,53.0,0.0,0.0,-1.0,-1.0,57.0,56.0,48.0,50.0,53.0,52.0,53.0,56.0,-1.0,-1.0,53.0,53.0,53.0,54.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,3.0,3.0,11.0,11.0,3.0,3.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-04-05,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5.0,4.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,4.0,7.0,6.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-03,-1.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,59.0,54.0,62.0,61.0,59.0,-1.0
2024-04-02,-1.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,1.0,0.0,0.0,3.0,-1.0
2024-04-01,0.0,0.0,-1.0,6.0,6.0,4.0,0.0,0.0,76.0,77.0,130.0,134.0,137.0,138.0,126.0,127.0,0.0,0.0,139.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,121.0,119.0,0.0,0.0,106.0,-1.0
