date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Bruchsal.in,Bruchsal.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schorndorf.in,Schorndorf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Lichtenfels.in,Lichtenfels.out,Kronach.in,Kronach.out,Ludwigsstadt.in,Ludwigsstadt.out,Saalfeld(Saale).in,Saalfeld(Saale).out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Jena-Göschwitz.in,Jena-Göschwitz.out,Jena_Paradies.in,Jena_Paradies.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Weißenfels.in,Weißenfels.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-05-19,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,35.0,34.0,35.0,34.0,35.0,33.0,34.0,34.0,35.0,33.0,34.0,34.0,34.0,28.0,31.0,33.0,33.0,36.0,35.0,33.0,33.0,33.0,33.0,35.0,35.0,32.0,31.0,29.0,29.0,31.0,31.0,30.0,29.0,27.0,27.0,27.0,27.0,27.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,6.0,6.0,4.0,3.0,4.0,3.0,7.0,6.0,13.0,13.0,13.0,14.0,12.0,13.0,12.0,13.0,15.0,16.0,17.0,18.0,12.0,10.0,19.0,21.0,26.0,26.0,27.0,28.0,28.0,28.0,27.0,26.0,22.0,21.0,19.0,20.0,18.0,18.0,17.0,16.0,13.0,13.0,13.0,13.0,12.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,3.0,2.0,10.0,10.0,14.0,15.0,18.0,17.0,20.0,20.0,19.0,19.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,8.0,8.0,9.0,9.0,8.0,-1.0
2024-05-15,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,3.0,3.0,5.0,6.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,8.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,17.0,17.0,17.0,17.0,17.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,15.0,22.0,22.0,21.0,21.0,22.0,23.0,22.0,22.0,22.0,23.0,23.0,23.0,18.0,16.0,21.0,22.0,25.0,25.0,23.0,24.0,24.0,24.0,23.0,22.0,18.0,17.0,16.0,16.0,16.0,16.0,16.0,15.0,13.0,14.0,13.0,13.0,12.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,14.0,14.0,11.0,11.0,9.0,10.0,17.0,17.0,20.0,22.0,24.0,24.0,22.0,22.0,19.0,18.0,16.0,16.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,11.0,11.0,12.0,12.0,14.0,14.0,18.0,18.0,17.0,17.0,16.0,15.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,6.0,4.0,4.0,4.0,4.0,3.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,7.0,7.0,7.0,10.0,10.0,19.0,19.0,18.0,19.0,19.0,18.0,16.0,15.0,15.0,16.0,17.0,17.0,16.0,16.0,14.0,15.0,14.0,14.0,15.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,2.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,6.0,5.0,4.0,8.0,9.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,5.0,5.0,7.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,8.0,8.0,6.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,0.0,3.0,3.0,4.0,9.0,9.0,18.0,18.0,17.0,17.0,16.0,15.0,13.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,6.0,7.0,7.0,7.0,6.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0,6.0,4.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,0.0,1.0,0.0,10.0,11.0,11.0,13.0,14.0,12.0,12.0,10.0,10.0,6.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,2.0,2.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,7.0,7.0,19.0,19.0,22.0,22.0,22.0,21.0,19.0,18.0,17.0,17.0,18.0,18.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,7.0,8.0,7.0,6.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,19.0,17.0,17.0,13.0,13.0,13.0,12.0,12.0,12.0,15.0,15.0,20.0,20.0,18.0,18.0,18.0,18.0,20.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,8.0,7.0,9.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,17.0,17.0,17.0,17.0,18.0,18.0,20.0,21.0,20.0,21.0,37.0,39.0,40.0,40.0,40.0,40.0,39.0,38.0,35.0,34.0,33.0,33.0,32.0,32.0,31.0,31.0,28.0,28.0,28.0,28.0,30.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,0.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,3.0,8.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,6.0,7.0,6.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,0.0,2.0,0.0,2.0,10.0,11.0,21.0,23.0,17.0,17.0,23.0,22.0,20.0,18.0,17.0,17.0,19.0,19.0,19.0,18.0,16.0,15.0,15.0,15.0,14.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,4.0,16.0,19.0,20.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,23.0,20.0,21.0,20.0,21.0,26.0,26.0,25.0,25.0,25.0,25.0,24.0,26.0,22.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,19.0,19.0,18.0,18.0,18.0,-1.0
2024-04-18,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,10.0,10.0,13.0,13.0,13.0,13.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,10.0,12.0,15.0,15.0,18.0,20.0,19.0,20.0,22.0,22.0,21.0,20.0,17.0,16.0,15.0,15.0,18.0,18.0,19.0,18.0,16.0,16.0,16.0,16.0,16.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,20.0,20.0,21.0,25.0,26.0,26.0,27.0,26.0,26.0,25.0,24.0,22.0,21.0,20.0,21.0,20.0,20.0,20.0,19.0,17.0,17.0,18.0,17.0,21.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,6.0,13.0,14.0,12.0,13.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,34.0,34.0,72.0,73.0,72.0,72.0,80.0,81.0,80.0,79.0,78.0,78.0,75.0,75.0,0.0,0.0,0.0,0.0,79.0,78.0,75.0,75.0,76.0,76.0,75.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,6.0,6.0,17.0,18.0,16.0,16.0,16.0,17.0,13.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,7.0,6.0,6.0,6.0,5.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,4.0,5.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,6.0,5.0,3.0,3.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0,9.0,4.0,4.0,1.0,1.0,4.0,6.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,8.0,8.0,9.0,9.0,3.0,2.0,1.0,2.0,2.0,2.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,3.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,6.0,7.0,6.0,7.0,6.0,6.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,28.0,35.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0,35.0,34.0,27.0,25.0,26.0,27.0,32.0,32.0,31.0,31.0,29.0,29.0,29.0,29.0,25.0,24.0,23.0,22.0,23.0,22.0,21.0,20.0,26.0,26.0,26.0,26.0,24.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,-1.0
