date,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg(Ems).in,Papenburg(Ems).out,Meppen.in,Meppen.out,Lingen(Ems).in,Lingen(Ems).out,Rheine.in,Rheine.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,-1.0
2024-05-29,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,29.0,-1.0
2024-05-28,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,-1.0
2024-05-27,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-26,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,25.0,27.0,28.0,28.0,28.0,27.0,27.0,29.0,29.0,28.0,28.0,28.0,28.0,27.0,27.0,43.0,-1.0
2024-05-25,0.0,1.0,0.0,1.0,1.0,30.0,32.0,33.0,32.0,31.0,32.0,31.0,26.0,25.0,23.0,23.0,19.0,19.0,22.0,21.0,21.0,21.0,19.0,18.0,17.0,16.0,16.0,17.0,24.0,-1.0
2024-05-23,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,6.0,8.0,-1.0,-1.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,14.0,13.0,14.0,-1.0
2024-05-22,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,15.0,15.0,17.0,17.0,0.0,0.0,15.0,15.0,16.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,12.0,-1.0
2024-05-21,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-05-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,2.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,6.0,17.0,-1.0
2024-05-19,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,10.0,15.0,-1.0,-1.0,28.0,28.0,-1.0,-1.0,30.0,30.0,29.0,29.0,29.0,33.0,34.0,33.0,31.0,-1.0
2024-05-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,6.0,3.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-17,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-16,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,5.0,6.0,7.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,-1.0
2024-05-15,0.0,1.0,5.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,14.0,13.0,14.0,15.0,14.0,15.0,11.0,11.0,14.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,12.0,10.0,8.0,-1.0
2024-05-14,0.0,3.0,3.0,6.0,5.0,6.0,3.0,4.0,3.0,3.0,6.0,5.0,3.0,15.0,30.0,31.0,28.0,28.0,30.0,31.0,30.0,31.0,29.0,29.0,28.0,28.0,27.0,26.0,27.0,-1.0
2024-05-13,0.0,1.0,2.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,8.0,7.0,5.0,32.0,33.0,34.0,37.0,40.0,33.0,33.0,32.0,32.0,40.0,40.0,45.0,44.0,50.0,50.0,48.0,-1.0
2024-05-12,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,8.0,5.0,-1.0,-1.0,-1.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-11,0.0,1.0,0.0,5.0,5.0,6.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,-1.0
2024-05-10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,1.0,9.0,-1.0
2024-05-09,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,17.0,-1.0
2024-05-08,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,5.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,12.0,17.0,18.0,31.0,-1.0
2024-05-06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,16.0,16.0,17.0,14.0,14.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,15.0,14.0,13.0,-1.0
2024-05-05,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,9.0,-1.0
2024-05-04,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,-1.0
2024-05-03,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,4.0,3.0,5.0,4.0,5.0,5.0,12.0,12.0,26.0,26.0,13.0,13.0,12.0,27.0,-1.0,-1.0,30.0,30.0,34.0,33.0,33.0,-1.0
2024-05-01,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,6.0,-1.0,-1.0,21.0,21.0,23.0,23.0,23.0,23.0,21.0,21.0,22.0,24.0,27.0,27.0,28.0,-1.0
2024-04-30,0.0,5.0,7.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,116.0,116.0,116.0,116.0,112.0,112.0,115.0,114.0,115.0,114.0,112.0,111.0,110.0,111.0,113.0,112.0,110.0,-1.0
2024-04-27,0.0,2.0,1.0,1.0,2.0,20.0,22.0,23.0,22.0,20.0,22.0,21.0,26.0,32.0,33.0,34.0,40.0,40.0,40.0,40.0,40.0,41.0,39.0,39.0,38.0,38.0,39.0,38.0,45.0,-1.0
2024-04-25,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,11.0,12.0,10.0,7.0,-1.0
2024-04-24,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,6.0,3.0,1.0,-1.0
2024-04-23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,13.0,12.0,15.0,16.0,19.0,18.0,22.0,-1.0
2024-04-22,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,10.0,45.0,45.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,45.0,45.0,49.0,50.0,53.0,51.0,53.0,-1.0
2024-04-21,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,14.0,14.0,18.0,18.0,20.0,19.0,19.0,-1.0
2024-04-20,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.0
2024-04-18,42.0,46.0,43.0,43.0,43.0,43.0,39.0,39.0,38.0,37.0,37.0,36.0,34.0,33.0,0.0,0.0,33.0,-1.0,0.0,0.0,0.0,0.0,33.0,35.0,35.0,34.0,36.0,34.0,34.0,-1.0
2024-04-17,0.0,1.0,1.0,2.0,1.0,2.0,15.0,15.0,13.0,12.0,17.0,16.0,20.0,19.0,0.0,0.0,22.0,-1.0,0.0,0.0,0.0,0.0,23.0,23.0,27.0,26.0,28.0,26.0,28.0,-1.0
2024-04-16,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,21.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,30.0,29.0,29.0,51.0,76.0,76.0,78.0,-1.0
2024-04-15,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,59.0,62.0,63.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,62.0,67.0,69.0,70.0,71.0,68.0,66.0,-1.0
2024-04-14,0.0,2.0,5.0,7.0,7.0,7.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,-1.0
2024-04-13,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,-1.0
2024-04-12,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,8.0,5.0,8.0,-1.0
2024-04-11,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,7.0,7.0,4.0,4.0,-1.0
2024-04-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,4.0,2.0,1.0,-1.0
2024-04-09,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,7.0,4.0,1.0,-1.0
2024-04-08,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,23.0,23.0,21.0,26.0,-1.0
2024-04-07,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-1.0
2024-04-06,1.0,1.0,3.0,4.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,-1.0
2024-04-05,0.0,1.0,1.0,1.0,19.0,20.0,16.0,16.0,15.0,14.0,13.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-1.0
2024-04-04,1.0,2.0,0.0,6.0,5.0,6.0,3.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-1.0
2024-04-03,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,-1.0
2024-04-02,0.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0
2024-04-01,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,35.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,-1.0
