date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-05-14,0.0,0.0,-1.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,41.0,40.0,39.0,39.0,40.0,38.0,0.0,0.0,45.0,45.0,50.0,51.0,44.0,44.0,47.0,48.0,51.0,51.0,50.0,49.0,50.0,50.0,50.0,50.0,0.0,0.0,44.0,-1.0,-1.0,-1.0
2024-05-13,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,10.0,6.0,0.0,-1.0
2024-05-12,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,0.0,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,9.0,0.0,-1.0
2024-05-10,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,7.0,8.0,10.0,10.0,10.0,10.0,16.0,16.0,0.0,0.0,13.0,10.0,10.0,-1.0
2024-04-27,0.0,0.0,-1.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-04-26,0.0,0.0,-1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,-1.0,-1.0,12.0,13.0,14.0,14.0,13.0,14.0,17.0,18.0,0.0,0.0,11.0,9.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,15.0,14.0,13.0,13.0,0.0,0.0,13.0,12.0,12.0,13.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,6.0,0.0,0.0,5.0,1.0,0.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,11.0,12.0,0.0,0.0,9.0,4.0,0.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,6.0,5.0,5.0,5.0,10.0,13.0,12.0,0.0,0.0,8.0,4.0,0.0,-1.0
