date,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Büchen.in,Büchen.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,7.0,7.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,-1.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,1.0,0.0,-1.0,-1.0,-1.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,13.0,13.0,15.0,15.0,15.0,15.0,18.0,17.0,25.0,25.0,28.0,-1.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,-1.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,67.0,66.0,66.0,59.0,59.0,56.0,57.0,53.0,52.0,52.0,52.0,50.0,-1.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,9.0,-1.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,17.0,17.0,18.0,-1.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,50.0,49.0,56.0,56.0,53.0,53.0,51.0,53.0,60.0,60.0,64.0,-1.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,5.0,5.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,-1.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,-1.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,12.0,12.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,8.0,-1.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,-1.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,-1.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,12.0,12.0,12.0,6.0,7.0,5.0,6.0,4.0,4.0,4.0,4.0,8.0,-1.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,-1.0,-1.0,-1.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0
