date,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,8.0,9.0,6.0,7.0,6.0,6.0,7.0,8.0,8.0,7.0,11.0,11.0,63.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,1.0,11.0,12.0,11.0,11.0,6.0,5.0,8.0,8.0,13.0,-1.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,11.0,2.0,14.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,4.0,4.0,6.0,5.0,4.0,4.0,0.0,0.0,18.0,18.0,24.0,-1.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,7.0,7.0,6.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,6.0,7.0,4.0,5.0,11.0,10.0,10.0,10.0,8.0,7.0,12.0,13.0,9.0,-1.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,8.0,9.0,6.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,9.0,8.0,7.0,-1.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,-1.0
